ocr_version,book_id,catalog_generation,grade,source_pages,sha_verified,text_detected,no_text_detected,unresolved,psm3,psm11,psm6
CN46_OCR_0.1,LTMD-CN4-G1972,1972,4,214,214,214,0,0,201,5,8
CN46_OCR_0.1,LTMD-CN4-G1988,1988,4,214,214,214,0,0,204,3,7
CN46_OCR_0.1,LTMD-CN4-G1993,1993,4,178,178,178,0,0,165,4,9
CN46_OCR_0.1,LTMD-CN4-G2014,2014,4,161,161,161,0,0,153,1,7
CN46_OCR_0.1,LTMD-CN6-G1972,1972,6,210,210,209,1,0,172,5,32
CN46_OCR_0.1,LTMD-CN6-G1988,1988,6,242,242,241,1,0,218,0,23
CN46_OCR_0.1,LTMD-CN6-G1993-CN,1993,6,242,242,236,6,0,208,5,23
CN46_OCR_0.1,LTMD-CN6-G1993-DH,1993,6,250,250,250,0,0,249,0,1
CN46_OCR_0.1,LTMD-CN6-G2014,2014,6,177,177,177,0,0,171,1,5
