audit_version,book_id,viewer_key,catalog_generation,grade,viewer_page,source_image_index,is_terminal_declared_slot,url,http_status,content_type,reachable_image,error
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,32,32,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/032.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,33,33,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/033.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,34,34,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/034.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,35,35,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/035.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,36,36,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/036.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,37,37,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/037.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,38,38,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/038.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,39,39,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/039.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,40,40,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/040.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,41,41,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/041.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,42,42,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/042.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,43,43,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/043.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,44,44,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/044.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,45,45,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/045.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,46,46,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/046.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,47,47,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/047.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,48,48,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/048.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,49,49,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/049.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,50,50,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/050.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,51,51,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/051.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,52,52,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/052.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,53,53,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/053.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,54,54,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/054.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,55,55,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/055.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,56,56,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/056.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,57,57,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/057.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,58,58,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/058.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,59,59,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/059.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,60,60,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/060.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,61,61,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/061.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,62,62,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/062.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,63,63,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/063.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,64,64,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/064.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,65,65,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/065.jpg,206,image/jpeg,1,
