segmenter_version,book_id,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_CN46_0.1,LTMD-CN4-G1972,1455,188,15,0,22,216,195,0,500,507
FRAGSEG_CN46_0.1,LTMD-CN6-G1972,1462,145,16,0,20,277,186,0,443,520
FRAGSEG_CN46_0.1,LTMD-CN4-G1988,1496,187,15,0,24,225,198,0,498,536
FRAGSEG_CN46_0.1,LTMD-CN6-G1988,1493,192,24,1,11,318,226,0,376,537
FRAGSEG_CN46_0.1,LTMD-CN4-G1993,2408,145,40,0,14,371,337,0,428,1218
FRAGSEG_CN46_0.1,LTMD-CN6-G1993-DH,3492,230,98,0,63,732,755,7,436,1401
FRAGSEG_CN46_0.1,LTMD-CN6-G1993-CN,1486,189,25,1,11,324,230,0,382,513
FRAGSEG_CN46_0.1,LTMD-CN4-G2014,2385,129,86,18,29,285,306,38,262,1361
FRAGSEG_CN46_0.1,LTMD-CN6-G2014,3390,154,108,16,40,435,473,42,386,1890
FRAGSEG_CN46_0.1,ALL,19067,1559,427,36,234,3183,2906,87,3711,8483
