manifest_version,page_id,book_id,catalog_generation,grade,viewer_key,viewer_page,source_image_index,source_filename,source_asset_url,asset_status,http_status,content_type,byte_size,sha256,fetch_attempts,position_ratio,position_quartile,page_type_status,error
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP017,LTMD-CN4-G1972,1972,4,H1972P4CI077,17,17,017.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/017.jpg,source_jpeg,200,image/jpeg,44557,24c3021c13cf6599f91bf7fad9e6d9126ca10013bc22905c578a99ea98c76b79,1,0.079070,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP018,LTMD-CN4-G1972,1972,4,H1972P4CI077,18,18,018.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/018.jpg,source_jpeg,200,image/jpeg,57023,f19687af0edf8e78a596b0d3bfbb6370b496dd9f4b57eaf8f5c344124d9b21de,1,0.083721,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP019,LTMD-CN4-G1972,1972,4,H1972P4CI077,19,19,019.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/019.jpg,source_jpeg,200,image/jpeg,38927,f60a328a90aad3d153c3ef79b453169105d7c4608b42a95d3321853b47687b60,1,0.088372,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP020,LTMD-CN4-G1972,1972,4,H1972P4CI077,20,20,020.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/020.jpg,source_jpeg,200,image/jpeg,50379,443939ea66e45d98a2876041d90ca3acab436dd166ab1f8fae47914b728f9141,1,0.093023,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP021,LTMD-CN4-G1972,1972,4,H1972P4CI077,21,21,021.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/021.jpg,source_jpeg,200,image/jpeg,49595,bb783fe1813701e8fc959680026bc0038f4168483ddd42e0265b58e47d4b6ce8,1,0.097674,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP022,LTMD-CN4-G1972,1972,4,H1972P4CI077,22,22,022.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/022.jpg,source_jpeg,200,image/jpeg,48725,75c94955a0d346ec0903a9050bf22c8d6aa126d147825d0060637903d6f453a1,1,0.102326,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP023,LTMD-CN4-G1972,1972,4,H1972P4CI077,23,23,023.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/023.jpg,source_jpeg,200,image/jpeg,52144,dc76f56bc0cae5cc3c0e9acc19129d60d602a1c33d5efd833c06267043fc419d,1,0.106977,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP024,LTMD-CN4-G1972,1972,4,H1972P4CI077,24,24,024.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/024.jpg,source_jpeg,200,image/jpeg,43528,a47fa538ae961b57de1bde334912595cc905244866e3532b83c81d8c6d7f228a,1,0.111628,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP025,LTMD-CN4-G1972,1972,4,H1972P4CI077,25,25,025.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/025.jpg,source_jpeg,200,image/jpeg,39959,72354b4f5a22d8f72ddc788df2949141b963c348c11f2a3dec4bdf9ca7f030ae,1,0.116279,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP026,LTMD-CN4-G1972,1972,4,H1972P4CI077,26,26,026.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/026.jpg,source_jpeg,200,image/jpeg,36186,cec91b4ce8d4ea21ebcfa26b3b5793c18300f33460dc85c3d07e45fbd0927a7d,1,0.120930,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP027,LTMD-CN4-G1972,1972,4,H1972P4CI077,27,27,027.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/027.jpg,source_jpeg,200,image/jpeg,35187,6c91d47d8570b87f2c53c16e76f2acba7b25614acad5782abf2048bbd6a95c5b,1,0.125581,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP028,LTMD-CN4-G1972,1972,4,H1972P4CI077,28,28,028.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/028.jpg,source_jpeg,200,image/jpeg,40962,9639327325ccd643189036956146c58056f3b652f75d752c3cc9c4da1f4c5447,1,0.130233,Q1,unclassified,
