ocr_version,page_id,book_id,catalog_generation,grade,viewer_page,asset_status,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
CN46_OCR_0.1,LTMD-CN4-G1972-VP031,LTMD-CN4-G1972,1972,4,31,source_jpeg,59640,1,psm3:ok:155,3,155,703,86.77,95.40,0.1032,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP032,LTMD-CN4-G1972,1972,4,32,source_jpeg,51364,1,psm3:ok:103,3,103,547,92.48,96.22,0.0291,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP033,LTMD-CN4-G1972,1972,4,33,source_jpeg,34759,1,psm3:ok:0;psm11:ok:82;psm6:ok:151,6,151,260,21.76,20.68,0.9669,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP034,LTMD-CN4-G1972,1972,4,34,source_jpeg,46773,1,psm3:ok:116,3,116,503,88.02,95.04,0.0690,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP035,LTMD-CN4-G1972,1972,4,35,source_jpeg,43559,1,psm3:ok:71,3,71,334,90.42,95.60,0.0563,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP036,LTMD-CN4-G1972,1972,4,36,source_jpeg,55691,1,psm3:ok:219,3,219,943,92.06,95.43,0.0183,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP037,LTMD-CN4-G1972,1972,4,37,source_jpeg,40070,1,psm3:ok:71,3,71,317,85.91,95.47,0.1127,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP038,LTMD-CN4-G1972,1972,4,38,source_jpeg,38142,1,psm3:ok:98,3,98,406,88.15,95.59,0.0714,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP039,LTMD-CN4-G1972,1972,4,39,source_jpeg,45571,1,psm3:ok:112,3,112,493,83.42,93.40,0.1161,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP040,LTMD-CN4-G1972,1972,4,40,source_jpeg,54676,1,psm3:ok:33,3,33,170,91.70,95.12,0.0000,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP041,LTMD-CN4-G1972,1972,4,41,source_jpeg,47976,1,psm3:ok:5,3,5,25,90.09,89.37,0.0000,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP042,LTMD-CN4-G1972,1972,4,42,source_jpeg,52006,1,psm3:ok:134,3,134,575,80.62,93.16,0.1716,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP043,LTMD-CN4-G1972,1972,4,43,source_jpeg,44640,1,psm3:ok:88,3,88,367,71.94,90.09,0.2841,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP044,LTMD-CN4-G1972,1972,4,44,source_jpeg,41480,1,psm3:ok:0;psm11:ok:17;psm6:ok:18,6,18,29,39.68,40.41,0.8333,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP045,LTMD-CN4-G1972,1972,4,45,source_jpeg,55821,1,psm3:ok:178,3,178,860,88.13,93.31,0.0674,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP046,LTMD-CN4-G1972,1972,4,46,source_jpeg,55543,1,psm3:ok:60,3,60,282,88.84,96.06,0.0833,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP047,LTMD-CN4-G1972,1972,4,47,source_jpeg,63580,1,psm3:ok:52,3,52,255,89.21,94.84,0.0577,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP048,LTMD-CN4-G1972,1972,4,48,source_jpeg,51588,1,psm3:ok:41,3,41,211,82.96,92.32,0.1220,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP049,LTMD-CN4-G1972,1972,4,49,source_jpeg,39296,1,psm3:ok:5,3,5,21,91.74,95.76,0.0000,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP050,LTMD-CN4-G1972,1972,4,50,source_jpeg,43350,1,psm3:ok:99,3,99,468,88.77,94.80,0.0606,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP051,LTMD-CN4-G1972,1972,4,51,source_jpeg,46114,1,psm3:ok:142,3,142,619,90.93,95.22,0.0423,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP052,LTMD-CN4-G1972,1972,4,52,source_jpeg,47596,1,psm3:ok:97,3,97,456,87.62,95.47,0.0928,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP053,LTMD-CN4-G1972,1972,4,53,source_jpeg,45584,1,psm3:ok:70,3,70,356,87.28,94.54,0.0714,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP054,LTMD-CN4-G1972,1972,4,54,source_jpeg,48352,1,psm3:ok:116,3,116,520,90.26,95.88,0.0431,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP055,LTMD-CN4-G1972,1972,4,55,source_jpeg,44325,1,psm3:ok:155,3,155,682,86.93,93.52,0.0968,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP056,LTMD-CN4-G1972,1972,4,56,source_jpeg,45045,1,psm3:ok:106,3,106,514,88.19,94.04,0.0755,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP057,LTMD-CN4-G1972,1972,4,57,source_jpeg,48243,1,psm3:ok:3,3,3,12,70.88,96.37,0.3333,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP058,LTMD-CN4-G1972,1972,4,58,source_jpeg,46702,1,psm3:ok:131,3,131,705,88.00,95.65,0.0840,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP059,LTMD-CN4-G1972,1972,4,59,source_jpeg,60510,1,psm3:ok:119,3,119,627,89.56,95.32,0.0420,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP060,LTMD-CN4-G1972,1972,4,60,source_jpeg,56988,1,psm3:ok:151,3,151,684,87.46,95.11,0.0993,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP061,LTMD-CN4-G1972,1972,4,61,source_jpeg,48297,1,psm3:ok:61,3,61,313,85.88,93.26,0.0984,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP062,LTMD-CN4-G1972,1972,4,62,source_jpeg,53807,1,psm3:ok:130,3,130,649,85.22,93.28,0.1077,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP063,LTMD-CN4-G1972,1972,4,63,source_jpeg,55913,1,psm3:ok:115,3,115,501,85.40,93.29,0.0783,text_detected,ok,
