discovery_version,catalog_generation,grade,subject_or_field,viewer_key,source_url,http_status,final_url,content_type,viewer_title,title_science_match,verification_status,catalog_evidence,error
CN46_DISCOVERY_0.1,1972,6,Ciencias Naturales,H1972P6MA094,https://historico.conaliteg.gob.mx/H1972P6MA094.htm,200,https://historico.conaliteg.gob.mx/H1972P6MA094.htm,text/html,MATEMÁTICAS Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"[""CIENCIAS SOCIALES"",""H1972P4CI078"",1972,4], [""ESPAÑOL EJERCICIOS"",""H1972P4ES080"",1972,4], [""ESPAÑOL LECTURAS"",""H1972P4ES081"",1972,4], [""ESPAÑOL EJERCICIOS Y LECTURAS"",""H1972P4ES082"",1972,4], [""MATEMÁTICAS"",""H1972P4MA083"",1972,4], [""CIENCIAS NATURALES"",""H1972P5CI084"",1972,5], [""CIENCIAS SOCIALES"",""H1972P5CI085"",1972,5], [""ESPAÑOL EJERCICIOS"",""H1972P5ES086"",1972,5], [""ESPAÑOL"",""H1972P5ES087"",1972,5], [""ESPAÑOL LECTURAS"",""H1972P5ES088"",1972,5], [""MATEMÁTICAS"",""H1972P5MA089"",1972,5], [""CIENCIAS NAT",
CN46_DISCOVERY_0.1,1988,4,Ciencias Naturales,H1988P4CI119,https://historico.conaliteg.gob.mx/H1988P4CI119.htm,200,https://historico.conaliteg.gob.mx/H1988P4CI119.htm,text/html,CIENCIAS NATURALES Grado 4° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,verified_title,"2P3ES105"",1982,3], [""MATEMATICAS"",""H1982P3MA106"",1982,3], [""MI CUADERNO DE TRABAJO PREESCOLAR"",""H1988K1ES107"",1988,1], [""MI LIBRO DE 1°, PARTE 1"",""H1988P1ES108"",1988,1], [""MI LIBRO DE 1°, PARTE 2"",""H1988P1ES109"",1988,1], [""MI LIBRO DE 1° RECORTABLE, PARTE 1"",""H1988P1ES110"",1988,1], [""MI LIBRO DE 1°, RECORTABLE PARTE 2"",""H1988P1ES111"",1988,1], [""MI LIBRO DE 2°, PARTE 2"",""H1988P2CI112"",1988,2], [""MI LIBRO DE 2° PARTE 1"",""H1988P2CI113"",1988,2], [""ESPAÑOL LECTURAS"",""H1988P2ES114"",1988,2], [""CIENCIAS",
CN46_DISCOVERY_0.1,1988,4,Ciencias Naturales,H1988P4CI120,https://historico.conaliteg.gob.mx/H1988P4CI120.htm,200,https://historico.conaliteg.gob.mx/H1988P4CI120.htm,text/html,CIENCIAS SOCIALES Grado 4° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"06"",1982,3], [""MI CUADERNO DE TRABAJO PREESCOLAR"",""H1988K1ES107"",1988,1], [""MI LIBRO DE 1°, PARTE 1"",""H1988P1ES108"",1988,1], [""MI LIBRO DE 1°, PARTE 2"",""H1988P1ES109"",1988,1], [""MI LIBRO DE 1° RECORTABLE, PARTE 1"",""H1988P1ES110"",1988,1], [""MI LIBRO DE 1°, RECORTABLE PARTE 2"",""H1988P1ES111"",1988,1], [""MI LIBRO DE 2°, PARTE 2"",""H1988P2CI112"",1988,2], [""MI LIBRO DE 2° PARTE 1"",""H1988P2CI113"",1988,2], [""ESPAÑOL LECTURAS"",""H1988P2ES114"",1988,2], [""CIENCIAS SOCIALES"",""H1988P3CI115"",1988,3], [""ESPAÑOL ",
CN46_DISCOVERY_0.1,1988,4,Ciencias Naturales,H1988P4ES121,https://historico.conaliteg.gob.mx/H1988P4ES121.htm,200,https://historico.conaliteg.gob.mx/H1988P4ES121.htm,text/html,"ESPAÑOL, EJERCICIOS Y LECTURAS Grado 4° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.",0,reachable_unconfirmed,"ES107"",1988,1], [""MI LIBRO DE 1°, PARTE 1"",""H1988P1ES108"",1988,1], [""MI LIBRO DE 1°, PARTE 2"",""H1988P1ES109"",1988,1], [""MI LIBRO DE 1° RECORTABLE, PARTE 1"",""H1988P1ES110"",1988,1], [""MI LIBRO DE 1°, RECORTABLE PARTE 2"",""H1988P1ES111"",1988,1], [""MI LIBRO DE 2°, PARTE 2"",""H1988P2CI112"",1988,2], [""MI LIBRO DE 2° PARTE 1"",""H1988P2CI113"",1988,2], [""ESPAÑOL LECTURAS"",""H1988P2ES114"",1988,2], [""CIENCIAS SOCIALES"",""H1988P3CI115"",1988,3], [""ESPAÑOL EJERCICIOS"",""H1988P3ES116"",1988,3], [""ESPAÑOL LECTURA"",""H1",
CN46_DISCOVERY_0.1,1988,4,Ciencias Naturales,H1988P4MA122,https://historico.conaliteg.gob.mx/H1988P4MA122.htm,200,https://historico.conaliteg.gob.mx/H1988P4MA122.htm,text/html,MATEMÁTICAS Grado 4° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"1"",""H1988P1ES108"",1988,1], [""MI LIBRO DE 1°, PARTE 2"",""H1988P1ES109"",1988,1], [""MI LIBRO DE 1° RECORTABLE, PARTE 1"",""H1988P1ES110"",1988,1], [""MI LIBRO DE 1°, RECORTABLE PARTE 2"",""H1988P1ES111"",1988,1], [""MI LIBRO DE 2°, PARTE 2"",""H1988P2CI112"",1988,2], [""MI LIBRO DE 2° PARTE 1"",""H1988P2CI113"",1988,2], [""ESPAÑOL LECTURAS"",""H1988P2ES114"",1988,2], [""CIENCIAS SOCIALES"",""H1988P3CI115"",1988,3], [""ESPAÑOL EJERCICIOS"",""H1988P3ES116"",1988,3], [""ESPAÑOL LECTURA"",""H1988P3ES117"",1988,3], [""MATEMÁTICAS"",""H19",
CN46_DISCOVERY_0.1,1988,6,Ciencias Naturales,H1988P6CI128,https://historico.conaliteg.gob.mx/H1988P6CI128.htm,200,https://historico.conaliteg.gob.mx/H1988P6CI128.htm,text/html,CIENCIAS NATURALES Grado 6° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,verified_title,"E 2° PARTE 1"",""H1988P2CI113"",1988,2], [""ESPAÑOL LECTURAS"",""H1988P2ES114"",1988,2], [""CIENCIAS SOCIALES"",""H1988P3CI115"",1988,3], [""ESPAÑOL EJERCICIOS"",""H1988P3ES116"",1988,3], [""ESPAÑOL LECTURA"",""H1988P3ES117"",1988,3], [""MATEMÁTICAS"",""H1988P3MA118"",1988,3], [""CIENCIAS NATURALES"",""H1988P4CI119"",1988,4], [""CIENCIAS SOCIALES"",""H1988P4CI120"",1988,4], [""ESPAÑOL, EJERCICIOS Y LECTURAS"",""H1988P4ES121"",1988,4], [""MATEMÁTICAS"",""H1988P4MA122"",1988,4], [""CIENCIAS NATURALES"",""H1988P5CI123"",1988,5], [""CIENCIAS ",
CN46_DISCOVERY_0.1,1988,6,Ciencias Naturales,H1988P6CI130,https://historico.conaliteg.gob.mx/H1988P6CI130.htm,200,https://historico.conaliteg.gob.mx/H1988P6CI130.htm,text/html,CIENCIAS SOCIALES Grado 6° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"S SOCIALES"",""H1988P3CI115"",1988,3], [""ESPAÑOL EJERCICIOS"",""H1988P3ES116"",1988,3], [""ESPAÑOL LECTURA"",""H1988P3ES117"",1988,3], [""MATEMÁTICAS"",""H1988P3MA118"",1988,3], [""CIENCIAS NATURALES"",""H1988P4CI119"",1988,4], [""CIENCIAS SOCIALES"",""H1988P4CI120"",1988,4], [""ESPAÑOL, EJERCICIOS Y LECTURAS"",""H1988P4ES121"",1988,4], [""MATEMÁTICAS"",""H1988P4MA122"",1988,4], [""CIENCIAS NATURALES"",""H1988P5CI123"",1988,5], [""CIENCIAS SOCIALES"",""H1988P5CI124"",1988,5], [""ESPAÑOL EJERCICIOS"",""H1988P5ES125"",1988,5], [""ESPAÑOL L",
CN46_DISCOVERY_0.1,1988,6,Ciencias Naturales,H1988P6ES131,https://historico.conaliteg.gob.mx/H1988P6ES131.htm,200,https://historico.conaliteg.gob.mx/H1988P6ES131.htm,text/html,ESPAÑOL EJERCICIOS Grado 6° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"EJERCICIOS"",""H1988P3ES116"",1988,3], [""ESPAÑOL LECTURA"",""H1988P3ES117"",1988,3], [""MATEMÁTICAS"",""H1988P3MA118"",1988,3], [""CIENCIAS NATURALES"",""H1988P4CI119"",1988,4], [""CIENCIAS SOCIALES"",""H1988P4CI120"",1988,4], [""ESPAÑOL, EJERCICIOS Y LECTURAS"",""H1988P4ES121"",1988,4], [""MATEMÁTICAS"",""H1988P4MA122"",1988,4], [""CIENCIAS NATURALES"",""H1988P5CI123"",1988,5], [""CIENCIAS SOCIALES"",""H1988P5CI124"",1988,5], [""ESPAÑOL EJERCICIOS"",""H1988P5ES125"",1988,5], [""ESPAÑOL LECTURA"",""H1988P5ES126"",1988,5], [""MATEMÁTICAS""",
CN46_DISCOVERY_0.1,1988,6,Ciencias Naturales,H1988P6ES132,https://historico.conaliteg.gob.mx/H1988P6ES132.htm,200,https://historico.conaliteg.gob.mx/H1988P6ES132.htm,text/html,ESPAN?OL LECTURAS Grado 6° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"L LECTURA"",""H1988P3ES117"",1988,3], [""MATEMÁTICAS"",""H1988P3MA118"",1988,3], [""CIENCIAS NATURALES"",""H1988P4CI119"",1988,4], [""CIENCIAS SOCIALES"",""H1988P4CI120"",1988,4], [""ESPAÑOL, EJERCICIOS Y LECTURAS"",""H1988P4ES121"",1988,4], [""MATEMÁTICAS"",""H1988P4MA122"",1988,4], [""CIENCIAS NATURALES"",""H1988P5CI123"",1988,5], [""CIENCIAS SOCIALES"",""H1988P5CI124"",1988,5], [""ESPAÑOL EJERCICIOS"",""H1988P5ES125"",1988,5], [""ESPAÑOL LECTURA"",""H1988P5ES126"",1988,5], [""MATEMÁTICAS"",""H1988P5MA127"",1988,5], [""CIENCIAS NATURALE",
CN46_DISCOVERY_0.1,1988,6,Ciencias Naturales,H1988P6MA134,https://historico.conaliteg.gob.mx/H1988P6MA134.htm,200,https://historico.conaliteg.gob.mx/H1988P6MA134.htm,text/html,MATEMÁTICAS Grado 6° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"TEMÁTICAS"",""H1988P3MA118"",1988,3], [""CIENCIAS NATURALES"",""H1988P4CI119"",1988,4], [""CIENCIAS SOCIALES"",""H1988P4CI120"",1988,4], [""ESPAÑOL, EJERCICIOS Y LECTURAS"",""H1988P4ES121"",1988,4], [""MATEMÁTICAS"",""H1988P4MA122"",1988,4], [""CIENCIAS NATURALES"",""H1988P5CI123"",1988,5], [""CIENCIAS SOCIALES"",""H1988P5CI124"",1988,5], [""ESPAÑOL EJERCICIOS"",""H1988P5ES125"",1988,5], [""ESPAÑOL LECTURA"",""H1988P5ES126"",1988,5], [""MATEMÁTICAS"",""H1988P5MA127"",1988,5], [""CIENCIAS NATURALES"",""H1988P6CI128"",1988,6], [""CIENCIAS N",
CN46_DISCOVERY_0.1,1993,4,Ciencias Naturales,H1993P4CI191,https://historico.conaliteg.gob.mx/H1993P4CI191.htm,200,https://historico.conaliteg.gob.mx/H1993P4CI191.htm,text/html,Ciencias Naturales Grado 4° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,verified_title,"y Geografía"",""H1993P3HI178"",1993,3], [""Quintana Roo. Historia y Geografía"",""H1993P3HI179"",1993,3], [""San Luis Potosí. Historia y Geografía"",""H1993P3HI180"",1993,3], [""Sinaloa. Historia y Geografía"",""H1993P3HI181"",1993,3], [""Sonora. Historia y Geografía"",""H1993P3HI182"",1993,3], [""Tabasco. Historia y Geografía"",""H1993P3HI183"",1993,3], [""Tamaulipas. Historia y Geografía"",""H1993P3HI184"",1993,3], [""Tlaxcala. Historia y Geografía"",""H1993P3HI185"",1993,3], [""Veracruz. Historia y Geografía"",""H1993P3HI186""",
CN46_DISCOVERY_0.1,1993,4,Ciencias Naturales,H1993P4CI192,https://historico.conaliteg.gob.mx/H1993P4CI192.htm,200,https://historico.conaliteg.gob.mx/H1993P4CI192.htm,text/html,Conoce nuestra constitución Grado 4° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"storia y Geografía"",""H1993P3HI179"",1993,3], [""San Luis Potosí. Historia y Geografía"",""H1993P3HI180"",1993,3], [""Sinaloa. Historia y Geografía"",""H1993P3HI181"",1993,3], [""Sonora. Historia y Geografía"",""H1993P3HI182"",1993,3], [""Tabasco. Historia y Geografía"",""H1993P3HI183"",1993,3], [""Tamaulipas. Historia y Geografía"",""H1993P3HI184"",1993,3], [""Tlaxcala. Historia y Geografía"",""H1993P3HI185"",1993,3], [""Veracruz. Historia y Geografía"",""H1993P3HI186"",1993,3], [""Yucatán. Historia y Geografía"",""H1993P3HI18",
CN46_DISCOVERY_0.1,1993,4,Ciencias Naturales,H1993P4ES193,https://historico.conaliteg.gob.mx/H1993P4ES193.htm,200,https://historico.conaliteg.gob.mx/H1993P4ES193.htm,text/html,Español Grado 4° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"993,3], [""San Luis Potosí. Historia y Geografía"",""H1993P3HI180"",1993,3], [""Sinaloa. Historia y Geografía"",""H1993P3HI181"",1993,3], [""Sonora. Historia y Geografía"",""H1993P3HI182"",1993,3], [""Tabasco. Historia y Geografía"",""H1993P3HI183"",1993,3], [""Tamaulipas. Historia y Geografía"",""H1993P3HI184"",1993,3], [""Tlaxcala. Historia y Geografía"",""H1993P3HI185"",1993,3], [""Veracruz. Historia y Geografía"",""H1993P3HI186"",1993,3], [""Yucatán. Historia y Geografía"",""H1993P3HI187"",1993,3], [""Zacatecas. Historia y ",
CN46_DISCOVERY_0.1,1993,4,Ciencias Naturales,H1993P4ES194,https://historico.conaliteg.gob.mx/H1993P4ES194.htm,200,https://historico.conaliteg.gob.mx/H1993P4ES194.htm,text/html,Español Lecturas Grado 4° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"fía"",""H1993P3HI180"",1993,3], [""Sinaloa. Historia y Geografía"",""H1993P3HI181"",1993,3], [""Sonora. Historia y Geografía"",""H1993P3HI182"",1993,3], [""Tabasco. Historia y Geografía"",""H1993P3HI183"",1993,3], [""Tamaulipas. Historia y Geografía"",""H1993P3HI184"",1993,3], [""Tlaxcala. Historia y Geografía"",""H1993P3HI185"",1993,3], [""Veracruz. Historia y Geografía"",""H1993P3HI186"",1993,3], [""Yucatán. Historia y Geografía"",""H1993P3HI187"",1993,3], [""Zacatecas. Historia y Geografía"",""H1993P3HI188"",1993,3], [""Matemát",
CN46_DISCOVERY_0.1,1993,4,Ciencias Naturales,H1993P4ES195,https://historico.conaliteg.gob.mx/H1993P4ES195.htm,200,https://historico.conaliteg.gob.mx/H1993P4ES195.htm,text/html,Español Lecturas Grado 4° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"oria y Geografía"",""H1993P3HI181"",1993,3], [""Sonora. Historia y Geografía"",""H1993P3HI182"",1993,3], [""Tabasco. Historia y Geografía"",""H1993P3HI183"",1993,3], [""Tamaulipas. Historia y Geografía"",""H1993P3HI184"",1993,3], [""Tlaxcala. Historia y Geografía"",""H1993P3HI185"",1993,3], [""Veracruz. Historia y Geografía"",""H1993P3HI186"",1993,3], [""Yucatán. Historia y Geografía"",""H1993P3HI187"",1993,3], [""Zacatecas. Historia y Geografía"",""H1993P3HI188"",1993,3], [""Matemáticas"",""H1993P3MA189"",1993,3], [""Ciencias Nat",
CN46_DISCOVERY_0.1,1993,4,Ciencias Naturales,H1993P4GE196,https://historico.conaliteg.gob.mx/H1993P4GE196.htm,200,https://historico.conaliteg.gob.mx/H1993P4GE196.htm,text/html,Geografía Grado 4° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"3], [""Sonora. Historia y Geografía"",""H1993P3HI182"",1993,3], [""Tabasco. Historia y Geografía"",""H1993P3HI183"",1993,3], [""Tamaulipas. Historia y Geografía"",""H1993P3HI184"",1993,3], [""Tlaxcala. Historia y Geografía"",""H1993P3HI185"",1993,3], [""Veracruz. Historia y Geografía"",""H1993P3HI186"",1993,3], [""Yucatán. Historia y Geografía"",""H1993P3HI187"",1993,3], [""Zacatecas. Historia y Geografía"",""H1993P3HI188"",1993,3], [""Matemáticas"",""H1993P3MA189"",1993,3], [""Ciencias Naturales"",""H1993P4CI191"",1993,4], [""Cono",
