view_version,content_unit_id,text_sha256,occurrence_count,book_count,page_count,books,candidate_type_variants,cross_book_reuse,within_book_repeat
CN46_UNIQUE_CONTENT_0.1,CNU-4AF09CEF40FCBF9BF1BA,71e59dd8e670050293a7a3b9c31ae49eef9cbc26418ed882535051cda5947eae,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-AB409A84009F2FA68A1D,71ea814e5ba06c1fb8d8fc0ba70722a9819ffa86a15d32a1707ac61cf569c074,2,2,2,LTMD-CN4-G1972;LTMD-CN4-G1988,question_candidate,1,0
CN46_UNIQUE_CONTENT_0.1,CNU-E0437DE6E25C8312B172,71ec26905b1eae0d03b24bc09fb961b2daadbb60b9e91f8b535bbb5fa84a9d76,2,1,2,LTMD-CN6-G2014,short_residual_candidate,0,1
CN46_UNIQUE_CONTENT_0.1,CNU-4F589E541EFAB02BE12B,71ee45a3c0db9a9865f7313dd3372cf60dca6479d46261f3542eb9346e4a04d6,2,2,2,LTMD-CN4-G2014;LTMD-CN6-G2014,short_residual_candidate,1,0
CN46_UNIQUE_CONTENT_0.1,CNU-4104BA065963A6CDD488,71efce54d61d88d767cdf9d78730c9fafc02d11087d0853113981fb623f3a82f,1,1,1,LTMD-CN4-G2014,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-075AB533FF909CBDC96A,71f7b3b9354764d28e75ec49c8af28468fc96a3e59c75405b744681246b4be1a,1,1,1,LTMD-CN6-G1993-CN,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-5B8C85BA4A8C526F8C24,71f9ebc93afcd663d50fad8f4b7e74fc75bc53163d962c8e35eb499fd4a7fa26,1,1,1,LTMD-CN6-G1993-DH,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-ABA45583A0999BC39C14,71f9f09447ee55f2431987acf4f563d49fc87a26fc05585fc7e103131fe63470,1,1,1,LTMD-CN6-G1993-DH,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-CDCA287FE3B279C80CE6,7201657390ba334f5c89a0e4d7b2e1a3216780908886ff8325e145b2b064ec3d,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-B34E44723B17CAE86B9D,7203e5b7871d1045e4cb49ba0d7552abf2676904cf988e31bac909b0c654b755,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-33FE2A10CECEEE604F4C,7204037af64cff2fc2ad47a888d762eb316d99b4d3f7608b3be087d4b59d54bd,1,1,1,LTMD-CN6-G2014,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-C8C1B470BB2ED39AA510,7204432fecb6694f97dfc46769271018864588af9c163ca53510bb6043333258,2,2,2,LTMD-CN4-G1972;LTMD-CN4-G1988,question_candidate,1,0
CN46_UNIQUE_CONTENT_0.1,CNU-A7C434A3F55199F26B87,720708740413e2741dcddde7ff422eddfa222962c69cfc103b451178c19dee1d,1,1,1,LTMD-CN4-G1993,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-3AC3A08F89E3FBDD31C3,720dc317dc83fed11a993bbad323c1ffa0d6c492196a95126476b72e3d8f70ee,1,1,1,LTMD-CN6-G2014,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-090A67D29D931733316D,720e942c9b2185397d94f24bb0e462c926d6a2f0f301435e5d1c891fc5c2ea3c,1,1,1,LTMD-CN4-G1993,short_residual_candidate,0,0
