scanner_version,page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP013,LTMD-CN4-G1988,1988,4,13,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP014,LTMD-CN4-G1988,1988,4,14,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP015,LTMD-CN4-G1988,1988,4,15,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP016,LTMD-CN4-G1988,1988,4,16,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP199,LTMD-CN4-G1988,1988,4,199,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP200,LTMD-CN4-G1988,1988,4,200,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP201,LTMD-CN4-G1988,1988,4,201,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP202,LTMD-CN4-G1988,1988,4,202,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP203,LTMD-CN4-G1988,1988,4,203,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP204,LTMD-CN4-G1988,1988,4,204,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP205,LTMD-CN4-G1988,1988,4,205,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP206,LTMD-CN4-G1988,1988,4,206,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP207,LTMD-CN4-G1988,1988,4,207,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP208,LTMD-CN4-G1988,1988,4,208,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP209,LTMD-CN4-G1988,1988,4,209,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP210,LTMD-CN4-G1988,1988,4,210,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP211,LTMD-CN4-G1988,1988,4,211,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP212,LTMD-CN4-G1988,1988,4,212,3,1,0,1,0,0,0,0,
