book_id,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
LTMD-CN1-G1972,LTMD-CN1-G1972-VP052,4,5,2,1
LTMD-CN1-G1972,LTMD-CN1-G1972-VP069,6,7,5,1
LTMD-CN1-G1972,LTMD-CN1-G1972-VP080,3,4,3,1
LTMD-CN3-G1972,LTMD-CN3-G1972-VP030,12,13,4,1
LTMD-CN3-G1972,LTMD-CN3-G1972-VP040,11,14,2 4 9,3
LTMD-CN3-G1972,LTMD-CN3-G1972-VP061,8,9,1,1
LTMD-CN3-G1972,LTMD-CN3-G1972-VP075,25,26,3,1
LTMD-CN3-G1982,LTMD-CN3-G1982-VP015,7,8,6,1
LTMD-CN3-G1982,LTMD-CN3-G1982-VP034,12,13,2,1
LTMD-CN3-G1982,LTMD-CN3-G1982-VP062,10,11,1,1
LTMD-CN3-G1982,LTMD-CN3-G1982-VP077,8,9,1,1
LTMD-CN3-G1982,LTMD-CN3-G1982-VP080,9,10,2,1
LTMD-CN3-G1982,LTMD-CN3-G1982-VP104,10,11,8,1
LTMD-CN3-G1982,LTMD-CN3-G1982-VP170,13,14,2,1
LTMD-CN3-G1988,LTMD-CN3-G1988-VP074,8,9,4,1
LTMD-CN3-G1988,LTMD-CN3-G1988-VP100,10,11,9,1
LTMD-CN3-G1988,LTMD-CN3-G1988-VP102,17,18,2,1
LTMD-CN3-G1988,LTMD-CN3-G1988-VP131,11,12,8,1
LTMD-CN3-G1988,LTMD-CN3-G1988-VP142,12,13,1,1
LTMD-CN3-G1988,LTMD-CN3-G1988-VP145,7,8,4,1
LTMD-CN3-G1988,LTMD-CN3-G1988-VP159,14,15,9,1
LTMD-CN3-G1993,LTMD-CN3-G1993-VP069,14,16,2 3,2
LTMD-CN3-G1993,LTMD-CN3-G1993-VP096,22,23,5,1
LTMD-CN3-G1993,LTMD-CN3-G1993-VP174,4,5,4,1
LTMD-CN3-G2011,LTMD-CN3-G2011-VP070,34,36,17 22,2
LTMD-CN3-G2014,LTMD-CN3-G2014-VP030,12,13,12,1
LTMD-CN3-G2014,LTMD-CN3-G2014-VP038,26,27,10,1
LTMD-CN3-G2014,LTMD-CN3-G2014-VP050,22,23,12,1
LTMD-CN3-G2014,LTMD-CN3-G2014-VP118,12,13,3,1
LTMD-CN3-G2019,LTMD-CN3-G2019-VP027,11,14,7 9 11,3
LTMD-CN3-G2019,LTMD-CN3-G2019-VP034,26,27,25,1
LTMD-CN3-G2019,LTMD-CN3-G2019-VP040,41,42,40,1
LTMD-CN3-G2019,LTMD-CN3-G2019-VP108,18,19,18,1
LTMD-CN4-G1982,LTMD-CN4-G1982-VP037,7,8,4,1
LTMD-CN4-G1982,LTMD-CN4-G1982-VP060,11,12,9,1
LTMD-CN4-G1982,LTMD-CN4-G1982-VP210,8,9,8,1
LTMD-CN4-G2011,LTMD-CN4-G2011-VP045,16,17,12,1
LTMD-CN4-G2011,LTMD-CN4-G2011-VP059,33,34,23,1
LTMD-CN4-G2011,LTMD-CN4-G2011-VP141,27,28,8,1
LTMD-CN4-G2019,LTMD-CN4-G2019-VP035,92,94,62 82,2
LTMD-CN4-G2019,LTMD-CN4-G2019-VP059,24,26,20 21,2
LTMD-CN4-G2019,LTMD-CN4-G2019-VP103,19,20,6,1
LTMD-CN4-G2019,LTMD-CN4-G2019-VP124,16,17,13,1
LTMD-CN5-G1982,LTMD-CN5-G1982-VP082,31,32,20,1
LTMD-CN5-G1982,LTMD-CN5-G1982-VP145,30,31,24,1
LTMD-CN5-G2008,LTMD-CN5-G2008-VP045,21,22,1,1
LTMD-CN5-G2008,LTMD-CN5-G2008-VP076,17,18,17,1
LTMD-CN5-G2008,LTMD-CN5-G2008-VP109,32,33,7,1
LTMD-CN5-G2008,LTMD-CN5-G2008-VP124,38,39,27,1
LTMD-CN5-G2011,LTMD-CN5-G2011-VP036,16,17,14,1
LTMD-CN5-G2011,LTMD-CN5-G2011-VP122,50,51,48,1
LTMD-CN5-G2019,LTMD-CN5-G2019-VP037,40,41,7,1
LTMD-CN5-G2019,LTMD-CN5-G2019-VP039,23,27,14 15 16 17,4
LTMD-CN5-G2019,LTMD-CN5-G2019-VP043,28,29,23,1
LTMD-CN5-G2019,LTMD-CN5-G2019-VP085,26,27,6,1
LTMD-CN5-G2019,LTMD-CN5-G2019-VP090,31,32,24,1
LTMD-CN5-G2019,LTMD-CN5-G2019-VP107,29,30,6,1
LTMD-CN5-G2019,LTMD-CN5-G2019-VP109,25,26,4,1
LTMD-CN5-G2019,LTMD-CN5-G2019-VP120,30,32,17 24,2
LTMD-CN5-G2019,LTMD-CN5-G2019-VP140,42,43,32,1
LTMD-CN6-G1982,LTMD-CN6-G1982-VP017,10,14,4 7 9 11,4
LTMD-CN6-G1982,LTMD-CN6-G1982-VP069,17,18,6,1
LTMD-CN6-G1982,LTMD-CN6-G1982-VP078,7,9,3 4,2
LTMD-CN6-G1982,LTMD-CN6-G1982-VP149,10,12,4 8,2
LTMD-CN6-G1982,LTMD-CN6-G1982-VP164,6,7,4,1
LTMD-CN6-G2011,LTMD-CN6-G2011-VP042,38,39,13,1
LTMD-CN6-G2011,LTMD-CN6-G2011-VP053,40,41,19,1
LTMD-CN6-G2011,LTMD-CN6-G2011-VP063,26,27,2,1
LTMD-CN6-G2011,LTMD-CN6-G2011-VP073,12,13,11,1
LTMD-CN6-G2011,LTMD-CN6-G2011-VP077,32,33,32,1
LTMD-CN6-G2011,LTMD-CN6-G2011-VP079,20,21,1,1
LTMD-CN6-G2011,LTMD-CN6-G2011-VP091,58,59,16,1
LTMD-CN6-G2011,LTMD-CN6-G2011-VP114,46,47,33,1
LTMD-CN6-G2011,LTMD-CN6-G2011-VP127,31,32,5,1
LTMD-CN6-G2019,LTMD-CN6-G2019-VP026,24,25,5,1
LTMD-CN6-G2019,LTMD-CN6-G2019-VP028,40,41,9,1
LTMD-CN6-G2019,LTMD-CN6-G2019-VP031,12,13,12,1
LTMD-CN6-G2019,LTMD-CN6-G2019-VP063,18,19,12,1
LTMD-CN6-G2019,LTMD-CN6-G2019-VP086,30,31,12,1
LTMD-CN6-G2019,LTMD-CN6-G2019-VP135,16,17,16,1
