family,category,catalog_generation,stratum,n_fragments,A_count,A_rate,A_per_100,B_count,B_rate,B_per_100,consensus_positive_count,consensus_positive_rate,consensus_positive_per_100,method_sensitive_count,method_sensitive_rate,consensus_negative_count,consensus_negative_rate,comparison_version
position,receiver,1972,mixed_text_image_certain_nonheading,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,1.0,HISTCOMP_0.1
position,instruction_follower,1972,mixed_text_image_certain_nonheading,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,1.0,HISTCOMP_0.1
position,observer,1972,mixed_text_image_certain_nonheading,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,1.0,HISTCOMP_0.1
position,experimenter,1972,mixed_text_image_certain_nonheading,1,0,0.0,0.0,1,1.0,100.0,0,0.0,0.0,1,1.0,0,0.0,HISTCOMP_0.1
position,investigator,1972,mixed_text_image_certain_nonheading,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,1.0,HISTCOMP_0.1
position,reasoner,1972,mixed_text_image_certain_nonheading,1,1,1.0,100.0,0,0.0,0.0,0,0.0,0.0,1,1.0,0,0.0,HISTCOMP_0.1
position,collaborator,1972,mixed_text_image_certain_nonheading,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,1.0,HISTCOMP_0.1
position,decision_maker,1972,mixed_text_image_certain_nonheading,1,0,0.0,0.0,1,1.0,100.0,0,0.0,0.0,1,1.0,0,0.0,HISTCOMP_0.1
position,community_agent,1972,mixed_text_image_certain_nonheading,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,1.0,HISTCOMP_0.1
position,receiver,1988,all_body_fragments,1631,274,0.1679951,16.7995,207,0.126916,12.6916,73,0.04475782,4.4758,335,0.20539546,1223,0.74984672,HISTCOMP_0.1
position,instruction_follower,1988,all_body_fragments,1631,188,0.11526671,11.5267,110,0.06744329,6.7443,14,0.00858369,0.8584,270,0.16554261,1347,0.8258737,HISTCOMP_0.1
position,observer,1988,all_body_fragments,1631,18,0.01103617,1.1036,212,0.12998161,12.9982,7,0.00429185,0.4292,216,0.13243409,1408,0.86327406,HISTCOMP_0.1
position,experimenter,1988,all_body_fragments,1631,3,0.00183936,0.1839,390,0.23911711,23.9117,2,0.00122624,0.1226,389,0.23850399,1240,0.76026977,HISTCOMP_0.1
position,investigator,1988,all_body_fragments,1631,9,0.00551809,0.5518,305,0.18700184,18.7002,6,0.00367872,0.3679,302,0.18516248,1323,0.8111588,HISTCOMP_0.1
position,reasoner,1988,all_body_fragments,1631,43,0.02636419,2.6364,111,0.06805641,6.8056,13,0.00797057,0.7971,128,0.07847946,1490,0.91354997,HISTCOMP_0.1
position,collaborator,1988,all_body_fragments,1631,6,0.00367872,0.3679,191,0.11710607,11.7106,5,0.0030656,0.3066,187,0.11465359,1439,0.88228081,HISTCOMP_0.1
position,decision_maker,1988,all_body_fragments,1631,0,0.0,0.0,240,0.14714899,14.7149,0,0.0,0.0,240,0.14714899,1391,0.85285101,HISTCOMP_0.1
position,community_agent,1988,all_body_fragments,1631,1,0.00061312,0.0613,130,0.0797057,7.9706,0,0.0,0.0,131,0.08031882,1500,0.91968118,HISTCOMP_0.1
position,receiver,1988,nonheading,1062,274,0.25800377,25.8004,207,0.19491525,19.4915,73,0.06873823,6.8738,335,0.31544256,654,0.61581921,HISTCOMP_0.1
position,instruction_follower,1988,nonheading,1062,188,0.17702448,17.7024,110,0.10357815,10.3578,14,0.01318267,1.3183,270,0.25423729,778,0.73258004,HISTCOMP_0.1
position,observer,1988,nonheading,1062,18,0.01694915,1.6949,212,0.19962335,19.9623,7,0.00659134,0.6591,216,0.20338983,839,0.79001883,HISTCOMP_0.1
position,experimenter,1988,nonheading,1062,3,0.00282486,0.2825,390,0.36723164,36.7232,2,0.00188324,0.1883,389,0.36629002,671,0.63182674,HISTCOMP_0.1
position,investigator,1988,nonheading,1062,9,0.00847458,0.8475,305,0.28719397,28.7194,6,0.00564972,0.565,302,0.28436911,754,0.70998117,HISTCOMP_0.1
position,reasoner,1988,nonheading,1062,43,0.04048964,4.049,111,0.10451977,10.452,13,0.01224105,1.2241,128,0.12052731,921,0.86723164,HISTCOMP_0.1
