group,n,uncertain_any_n,uncertain_any_pct,uncertain_action_n,uncertain_action_pct,uncertain_position_n,uncertain_position_pct,both_certain_n,both_certain_pct,skipped_n,skipped_pct,gate_below_threshold_n,gate_below_threshold_pct,gate_buffer_n,gate_buffer_pct,action_top_margin_n,action_top_margin_pct,action_certain_rule_n,action_certain_rule_pct,position_top_margin_n,position_top_margin_pct,position_certain_rule_n,position_certain_rule_pct,zero_action_n,zero_action_pct,zero_position_n,zero_position_pct,diagnostic_version
activity_candidate,199,195,97.9899,189,94.9749,136,68.3417,4,2.0101,9,4.5226,42,21.1055,96,48.2412,42,21.1055,10,5.0251,127,63.8191,63,31.6583,51,25.6281,9,4.5226,SEMB02_UNCERTAINTY_DIAG_0.1
assessment_candidate,14,14,100.0,14,100.0,14,100.0,0,0.0,14,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,100.0,14,100.0,SEMB02_UNCERTAINTY_DIAG_0.1
experiment_candidate,114,111,97.3684,107,93.8596,59,51.7544,3,2.6316,3,2.6316,30,26.3158,57,50.0,17,14.9123,7,6.1404,56,49.1228,55,48.2456,33,28.9474,3,2.6316,SEMB02_UNCERTAINTY_DIAG_0.1
expository_candidate,1504,1493,99.2686,1467,97.5399,1173,77.992,11,0.7314,0,0.0,677,45.0133,715,47.5399,75,4.9867,37,2.4601,1173,77.992,331,22.008,677,45.0133,0,0.0,SEMB02_UNCERTAINTY_DIAG_0.1
heading_candidate,4137,4137,100.0,4137,100.0,4137,100.0,0,0.0,4137,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4137,100.0,4137,100.0,SEMB02_UNCERTAINTY_DIAG_0.1
instruction_candidate,1430,1420,99.3007,1398,97.7622,1097,76.7133,10,0.6993,80,5.5944,666,46.5734,551,38.5315,101,7.0629,32,2.2378,1017,71.1189,333,23.2867,746,52.1678,80,5.5944,SEMB02_UNCERTAINTY_DIAG_0.1
project_candidate,44,43,97.7273,39,88.6364,39,88.6364,1,2.2727,10,22.7273,10,22.7273,11,25.0,8,18.1818,5,11.3636,29,65.9091,5,11.3636,20,45.4545,10,22.7273,SEMB02_UNCERTAINTY_DIAG_0.1
question_candidate,2152,2132,99.0706,2084,96.8401,1671,77.6487,20,0.9294,304,14.1264,825,38.3364,811,37.6859,144,6.6914,68,3.1599,1367,63.5223,481,22.3513,1129,52.4628,304,14.1264,SEMB02_UNCERTAINTY_DIAG_0.1
