domain,aggregate_family,catalog_generation,stratum,n_fragments,A_count,A_rate,B_count,B_rate,consensus_positive_count,consensus_positive_rate,comparison_version
action,reasoning,2014,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,experimental_inquiry,2014,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,production_interaction,2014,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
action,agency_action,2014,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,reception_execution,1972,all_body_fragments,2809,780,0.27767889,524,0.18654325,120,0.04271983,HISTCOMP_0.1
position,inquiry_reasoning,1972,all_body_fragments,2809,196,0.06977572,1454,0.51762193,87,0.03097188,HISTCOMP_0.1
position,social_agency,1972,all_body_fragments,2809,23,0.00818797,879,0.31292275,14,0.00498398,HISTCOMP_0.1
position,reception_execution,1972,nonheading,1953,780,0.39938556,524,0.26830517,120,0.06144393,HISTCOMP_0.1
position,inquiry_reasoning,1972,nonheading,1953,196,0.10035842,1454,0.74449565,87,0.04454685,HISTCOMP_0.1
position,social_agency,1972,nonheading,1953,23,0.01177675,879,0.4500768,14,0.00716846,HISTCOMP_0.1
position,reception_execution,1972,certain_nonheading,15,1,0.06666667,2,0.13333333,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,1972,certain_nonheading,15,4,0.26666667,14,0.93333333,1,0.06666667,HISTCOMP_0.1
position,social_agency,1972,certain_nonheading,15,0,0.0,9,0.6,0,0.0,HISTCOMP_0.1
position,reception_execution,1972,textual_only_certain_nonheading,14,1,0.07142857,2,0.14285714,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,1972,textual_only_certain_nonheading,14,3,0.21428571,13,0.92857143,1,0.07142857,HISTCOMP_0.1
position,social_agency,1972,textual_only_certain_nonheading,14,0,0.0,8,0.57142857,0,0.0,HISTCOMP_0.1
position,reception_execution,1972,mixed_text_image_certain_nonheading,1,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,1972,mixed_text_image_certain_nonheading,1,1,1.0,1,1.0,0,0.0,HISTCOMP_0.1
position,social_agency,1972,mixed_text_image_certain_nonheading,1,0,0.0,1,1.0,0,0.0,HISTCOMP_0.1
position,reception_execution,1988,all_body_fragments,1631,462,0.2832618,307,0.18822808,87,0.05334151,HISTCOMP_0.1
position,inquiry_reasoning,1988,all_body_fragments,1631,72,0.0441447,752,0.46106683,28,0.01716738,HISTCOMP_0.1
position,social_agency,1988,all_body_fragments,1631,7,0.00429185,487,0.29858982,5,0.0030656,HISTCOMP_0.1
position,reception_execution,1988,nonheading,1062,462,0.43502825,307,0.28907721,87,0.0819209,HISTCOMP_0.1
position,inquiry_reasoning,1988,nonheading,1062,72,0.06779661,752,0.70809793,28,0.02636535,HISTCOMP_0.1
position,social_agency,1988,nonheading,1062,7,0.00659134,487,0.45856874,5,0.0047081,HISTCOMP_0.1
position,reception_execution,1988,certain_nonheading,7,4,0.57142857,2,0.28571429,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,1988,certain_nonheading,7,0,0.0,5,0.71428571,0,0.0,HISTCOMP_0.1
position,social_agency,1988,certain_nonheading,7,0,0.0,3,0.42857143,0,0.0,HISTCOMP_0.1
position,reception_execution,1988,textual_only_certain_nonheading,7,4,0.57142857,2,0.28571429,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,1988,textual_only_certain_nonheading,7,0,0.0,5,0.71428571,0,0.0,HISTCOMP_0.1
position,social_agency,1988,textual_only_certain_nonheading,7,0,0.0,3,0.42857143,0,0.0,HISTCOMP_0.1
position,reception_execution,1988,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,1988,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,social_agency,1988,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,reception_execution,1993,all_body_fragments,2513,860,0.34222045,395,0.15718265,135,0.05372065,HISTCOMP_0.1
position,inquiry_reasoning,1993,all_body_fragments,2513,113,0.04496618,960,0.38201353,48,0.01910068,HISTCOMP_0.1
position,social_agency,1993,all_body_fragments,2513,34,0.01352965,710,0.28253084,28,0.01114206,HISTCOMP_0.1
position,reception_execution,1993,nonheading,1337,860,0.64323111,395,0.29543755,135,0.10097233,HISTCOMP_0.1
position,inquiry_reasoning,1993,nonheading,1337,113,0.08451758,960,0.71802543,48,0.03590127,HISTCOMP_0.1
position,social_agency,1993,nonheading,1337,34,0.02543007,710,0.53103964,28,0.02094241,HISTCOMP_0.1
position,reception_execution,1993,certain_nonheading,15,8,0.53333333,2,0.13333333,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,1993,certain_nonheading,15,2,0.13333333,10,0.66666667,1,0.06666667,HISTCOMP_0.1
position,social_agency,1993,certain_nonheading,15,0,0.0,9,0.6,0,0.0,HISTCOMP_0.1
position,reception_execution,1993,textual_only_certain_nonheading,13,8,0.61538462,2,0.15384615,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,1993,textual_only_certain_nonheading,13,2,0.15384615,9,0.69230769,1,0.07692308,HISTCOMP_0.1
position,social_agency,1993,textual_only_certain_nonheading,13,0,0.0,8,0.61538462,0,0.0,HISTCOMP_0.1
position,reception_execution,1993,mixed_text_image_certain_nonheading,2,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,1993,mixed_text_image_certain_nonheading,2,0,0.0,1,0.5,0,0.0,HISTCOMP_0.1
position,social_agency,1993,mixed_text_image_certain_nonheading,2,0,0.0,1,0.5,0,0.0,HISTCOMP_0.1
position,reception_execution,2014,all_body_fragments,2641,547,0.20711852,395,0.14956456,117,0.0443014,HISTCOMP_0.1
position,inquiry_reasoning,2014,all_body_fragments,2641,130,0.04922378,748,0.28322605,70,0.02650511,HISTCOMP_0.1
position,social_agency,2014,all_body_fragments,2641,22,0.00833018,519,0.19651647,13,0.00492238,HISTCOMP_0.1
position,reception_execution,2014,nonheading,1105,547,0.49502262,395,0.35746606,117,0.10588235,HISTCOMP_0.1
position,inquiry_reasoning,2014,nonheading,1105,130,0.11764706,748,0.67692308,70,0.06334842,HISTCOMP_0.1
position,social_agency,2014,nonheading,1105,22,0.0199095,519,0.46968326,13,0.01176471,HISTCOMP_0.1
position,reception_execution,2014,certain_nonheading,12,3,0.25,3,0.25,1,0.08333333,HISTCOMP_0.1
position,inquiry_reasoning,2014,certain_nonheading,12,3,0.25,8,0.66666667,1,0.08333333,HISTCOMP_0.1
position,social_agency,2014,certain_nonheading,12,0,0.0,6,0.5,0,0.0,HISTCOMP_0.1
position,reception_execution,2014,textual_only_certain_nonheading,12,3,0.25,3,0.25,1,0.08333333,HISTCOMP_0.1
position,inquiry_reasoning,2014,textual_only_certain_nonheading,12,3,0.25,8,0.66666667,1,0.08333333,HISTCOMP_0.1
position,social_agency,2014,textual_only_certain_nonheading,12,0,0.0,6,0.5,0,0.0,HISTCOMP_0.1
position,reception_execution,2014,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,inquiry_reasoning,2014,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
position,social_agency,2014,mixed_text_image_certain_nonheading,0,0,0.0,0,0.0,0,0.0,HISTCOMP_0.1
