page_id,book_id,catalog_generation,viewer_page,source_bytes,source_asset_url,baseline_ocr_class,audit_status
LTMD-CN5-G1972-VP008,LTMD-CN5-G1972,1972,8,51167,https://historico.conaliteg.gob.mx/c/H1972P5CI084/008.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP009,LTMD-CN5-G1972,1972,9,46204,https://historico.conaliteg.gob.mx/c/H1972P5CI084/009.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP010,LTMD-CN5-G1972,1972,10,73947,https://historico.conaliteg.gob.mx/c/H1972P5CI084/010.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP027,LTMD-CN5-G1972,1972,27,40373,https://historico.conaliteg.gob.mx/c/H1972P5CI084/027.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP028,LTMD-CN5-G1972,1972,28,59356,https://historico.conaliteg.gob.mx/c/H1972P5CI084/028.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP029,LTMD-CN5-G1972,1972,29,52694,https://historico.conaliteg.gob.mx/c/H1972P5CI084/029.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP030,LTMD-CN5-G1972,1972,30,65759,https://historico.conaliteg.gob.mx/c/H1972P5CI084/030.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP038,LTMD-CN5-G1972,1972,38,106523,https://historico.conaliteg.gob.mx/c/H1972P5CI084/038.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP049,LTMD-CN5-G1972,1972,49,78020,https://historico.conaliteg.gob.mx/c/H1972P5CI084/049.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP050,LTMD-CN5-G1972,1972,50,82120,https://historico.conaliteg.gob.mx/c/H1972P5CI084/050.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP054,LTMD-CN5-G1972,1972,54,93966,https://historico.conaliteg.gob.mx/c/H1972P5CI084/054.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP055,LTMD-CN5-G1972,1972,55,87833,https://historico.conaliteg.gob.mx/c/H1972P5CI084/055.jpg,no_text_detected,pending
