domain,category,initial_generation,final_generation,stratum,specification,n_initial,n_final,initial_rate,final_rate,difference_pp,prevalence_ratio,direction,directionally_robust,method_sensitive_direction,comparison_version
action,compare,1972,2014,certain_nonheading,consensus,15,12,0.06666667,0.0,-6.6667,0.0,decrease,1,0,HISTCOMP_0.1
action,classify,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,classify,1972,1988,certain_nonheading,B,15,7,0.06666667,0.0,-6.6667,0.0,decrease,0,0,HISTCOMP_0.1
action,classify,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,classify,1988,1993,certain_nonheading,A,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,classify,1988,1993,certain_nonheading,B,7,15,0.0,0.06666667,6.6667,,increase,0,0,HISTCOMP_0.1
action,classify,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,classify,1993,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,classify,1993,2014,certain_nonheading,B,15,12,0.06666667,0.0,-6.6667,0.0,decrease,0,0,HISTCOMP_0.1
action,classify,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,classify,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,classify,1972,2014,certain_nonheading,B,15,12,0.06666667,0.0,-6.6667,0.0,decrease,0,0,HISTCOMP_0.1
action,classify,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,measure,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,measure,1972,1988,certain_nonheading,B,15,7,0.13333333,0.28571429,15.2381,2.142857,increase,0,0,HISTCOMP_0.1
action,measure,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,measure,1988,1993,certain_nonheading,A,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,measure,1988,1993,certain_nonheading,B,7,15,0.28571429,0.06666667,-21.9048,0.233333,decrease,0,0,HISTCOMP_0.1
action,measure,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,measure,1993,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,measure,1993,2014,certain_nonheading,B,15,12,0.06666667,0.25,18.3333,3.75,increase,0,0,HISTCOMP_0.1
action,measure,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,measure,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,measure,1972,2014,certain_nonheading,B,15,12,0.13333333,0.25,11.6667,1.875,increase,0,0,HISTCOMP_0.1
