family,category,catalog_generation,stratum,n_fragments,A_count,A_rate,A_per_100,B_count,B_rate,B_per_100,consensus_positive_count,consensus_positive_rate,consensus_positive_per_100,method_sensitive_count,method_sensitive_rate,consensus_negative_count,consensus_negative_rate,comparison_version
action,observe,1972,all_body_fragments,2809,54,0.01922392,1.9224,307,0.10929156,10.9292,19,0.00676397,0.6764,323,0.11498754,2467,0.87824849,HISTCOMP_0.1
action,describe,1972,all_body_fragments,2809,1,0.000356,0.0356,256,0.09113564,9.1136,0,0.0,0.0,257,0.09149163,2552,0.90850837,HISTCOMP_0.1
action,recall,1972,all_body_fragments,2809,9,0.00320399,0.3204,102,0.03631185,3.6312,2,0.000712,0.0712,107,0.03809185,2700,0.96119616,HISTCOMP_0.1
action,explain,1972,all_body_fragments,2809,103,0.03666785,3.6668,305,0.10857957,10.858,41,0.01459594,1.4596,326,0.11605554,2442,0.86934852,HISTCOMP_0.1
action,compare,1972,all_body_fragments,2809,21,0.00747597,0.7476,103,0.03666785,3.6668,9,0.00320399,0.3204,106,0.03773585,2694,0.95906016,HISTCOMP_0.1
action,classify,1972,all_body_fragments,2809,5,0.00177999,0.178,70,0.0249199,2.492,1,0.000356,0.0356,73,0.0259879,2735,0.97365611,HISTCOMP_0.1
action,measure,1972,all_body_fragments,2809,10,0.00355999,0.356,84,0.02990388,2.9904,3,0.001068,0.1068,88,0.03132787,2718,0.96760413,HISTCOMP_0.1
action,experiment,1972,all_body_fragments,2809,0,0.0,0.0,282,0.1003916,10.0392,0,0.0,0.0,282,0.1003916,2527,0.8996084,HISTCOMP_0.1
action,investigate,1972,all_body_fragments,2809,11,0.00391598,0.3916,157,0.05589178,5.5892,7,0.00249199,0.2492,154,0.05482378,2648,0.94268423,HISTCOMP_0.1
action,predict,1972,all_body_fragments,2809,0,0.0,0.0,207,0.07369171,7.3692,0,0.0,0.0,207,0.07369171,2602,0.92630829,HISTCOMP_0.1
action,infer,1972,all_body_fragments,2809,3,0.001068,0.1068,60,0.02135991,2.136,1,0.000356,0.0356,61,0.02171591,2747,0.97792809,HISTCOMP_0.1
action,discuss,1972,all_body_fragments,2809,22,0.00783197,0.7832,101,0.03595586,3.5956,12,0.00427198,0.4272,99,0.03524386,2698,0.96048416,HISTCOMP_0.1
action,solve,1972,all_body_fragments,2809,7,0.00249199,0.2492,315,0.11213955,11.214,7,0.00249199,0.2492,308,0.10964756,2494,0.88786045,HISTCOMP_0.1
action,create,1972,all_body_fragments,2809,12,0.00427198,0.4272,71,0.0252759,2.5276,6,0.00213599,0.2136,71,0.0252759,2732,0.97258811,HISTCOMP_0.1
action,decide,1972,all_body_fragments,2809,1,0.000356,0.0356,178,0.06336775,6.3368,0,0.0,0.0,179,0.06372375,2630,0.93627625,HISTCOMP_0.1
action,act_on_environment,1972,all_body_fragments,2809,0,0.0,0.0,173,0.06158775,6.1588,0,0.0,0.0,173,0.06158775,2636,0.93841225,HISTCOMP_0.1
action,observe,1972,nonheading,1953,54,0.02764977,2.765,307,0.15719406,15.7194,19,0.00972862,0.9729,323,0.16538658,1611,0.82488479,HISTCOMP_0.1
action,describe,1972,nonheading,1953,1,0.00051203,0.0512,256,0.13108039,13.108,0,0.0,0.0,257,0.13159242,1696,0.86840758,HISTCOMP_0.1
action,recall,1972,nonheading,1953,9,0.00460829,0.4608,102,0.05222734,5.2227,2,0.00102407,0.1024,107,0.05478751,1844,0.94418843,HISTCOMP_0.1
action,explain,1972,nonheading,1953,103,0.05273938,5.2739,305,0.15616999,15.617,41,0.02099334,2.0993,326,0.16692268,1586,0.81208397,HISTCOMP_0.1
action,compare,1972,nonheading,1953,21,0.01075269,1.0753,103,0.05273938,5.2739,9,0.00460829,0.4608,106,0.05427547,1838,0.94111623,HISTCOMP_0.1
action,classify,1972,nonheading,1953,5,0.00256016,0.256,70,0.03584229,3.5842,1,0.00051203,0.0512,73,0.03737839,1879,0.96210958,HISTCOMP_0.1
action,measure,1972,nonheading,1953,10,0.00512033,0.512,84,0.04301075,4.3011,3,0.0015361,0.1536,88,0.04505888,1862,0.95340502,HISTCOMP_0.1
action,experiment,1972,nonheading,1953,0,0.0,0.0,282,0.14439324,14.4393,0,0.0,0.0,282,0.14439324,1671,0.85560676,HISTCOMP_0.1
action,investigate,1972,nonheading,1953,11,0.00563236,0.5632,157,0.08038914,8.0389,7,0.00358423,0.3584,154,0.07885305,1792,0.91756272,HISTCOMP_0.1
action,predict,1972,nonheading,1953,0,0.0,0.0,207,0.10599078,10.5991,0,0.0,0.0,207,0.10599078,1746,0.89400922,HISTCOMP_0.1
action,infer,1972,nonheading,1953,3,0.0015361,0.1536,60,0.03072197,3.0722,1,0.00051203,0.0512,61,0.031234,1891,0.96825397,HISTCOMP_0.1
action,discuss,1972,nonheading,1953,22,0.01126472,1.1265,101,0.05171531,5.1715,12,0.00614439,0.6144,99,0.05069124,1842,0.94316436,HISTCOMP_0.1
action,solve,1972,nonheading,1953,7,0.00358423,0.3584,315,0.16129032,16.129,7,0.00358423,0.3584,308,0.15770609,1638,0.83870968,HISTCOMP_0.1
action,create,1972,nonheading,1953,12,0.00614439,0.6144,71,0.03635433,3.6354,6,0.0030722,0.3072,71,0.03635433,1876,0.96057348,HISTCOMP_0.1
action,decide,1972,nonheading,1953,1,0.00051203,0.0512,178,0.09114183,9.1142,0,0.0,0.0,179,0.09165387,1774,0.90834613,HISTCOMP_0.1
action,act_on_environment,1972,nonheading,1953,0,0.0,0.0,173,0.08858167,8.8582,0,0.0,0.0,173,0.08858167,1780,0.91141833,HISTCOMP_0.1
action,observe,1972,certain_nonheading,15,0,0.0,0.0,3,0.2,20.0,0,0.0,0.0,3,0.2,12,0.8,HISTCOMP_0.1
