validation_id,book_id,catalog_generation,viewer_page,page_id,sample_role,source_asset_url,reference_status,reference_excerpt,reference_word_count,transcriber,reviewer,notes
LTMD-CN5-G1972-VAL01,LTMD-CN5-G1972,1972,4,LTMD-CN5-G1972-VP004,legal,https://historico.conaliteg.gob.mx/c/H1972P5CI084/004.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL02,LTMD-CN5-G1972,1972,7,LTMD-CN5-G1972-VP007,toc,https://historico.conaliteg.gob.mx/c/H1972P5CI084/007.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL03,LTMD-CN5-G1972,1972,26,LTMD-CN5-G1972-VP026,q1_1,https://historico.conaliteg.gob.mx/c/H1972P5CI084/026.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL04,LTMD-CN5-G1972,1972,52,LTMD-CN5-G1972-VP052,q1_2,https://historico.conaliteg.gob.mx/c/H1972P5CI084/052.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL05,LTMD-CN5-G1972,1972,85,LTMD-CN5-G1972-VP085,q2_1,https://historico.conaliteg.gob.mx/c/H1972P5CI084/085.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL06,LTMD-CN5-G1972,1972,109,LTMD-CN5-G1972-VP109,q2_2,https://historico.conaliteg.gob.mx/c/H1972P5CI084/109.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL07,LTMD-CN5-G1972,1972,124,LTMD-CN5-G1972-VP124,q2_3,https://historico.conaliteg.gob.mx/c/H1972P5CI084/124.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL08,LTMD-CN5-G1972,1972,150,LTMD-CN5-G1972-VP150,q3_1,https://historico.conaliteg.gob.mx/c/H1972P5CI084/150.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL09,LTMD-CN5-G1972,1972,174,LTMD-CN5-G1972-VP174,q3_2,https://historico.conaliteg.gob.mx/c/H1972P5CI084/174.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL10,LTMD-CN5-G1972,1972,189,LTMD-CN5-G1972-VP189,q3_3,https://historico.conaliteg.gob.mx/c/H1972P5CI084/189.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL11,LTMD-CN5-G1972,1972,215,LTMD-CN5-G1972-VP215,q4_1,https://historico.conaliteg.gob.mx/c/H1972P5CI084/215.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1972-VAL12,LTMD-CN5-G1972,1972,246,LTMD-CN5-G1972-VP246,q4_2,https://historico.conaliteg.gob.mx/c/H1972P5CI084/246.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL01,LTMD-CN5-G1988,1988,2,LTMD-CN5-G1988-VP002,legal,https://historico.conaliteg.gob.mx/c/H1988P5CI123/002.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL02,LTMD-CN5-G1988,1988,3,LTMD-CN5-G1988-VP003,toc,https://historico.conaliteg.gob.mx/c/H1988P5CI123/003.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL03,LTMD-CN5-G1988,1988,16,LTMD-CN5-G1988-VP016,q1_1,https://historico.conaliteg.gob.mx/c/H1988P5CI123/016.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL04,LTMD-CN5-G1988,1988,33,LTMD-CN5-G1988-VP033,q1_2,https://historico.conaliteg.gob.mx/c/H1988P5CI123/033.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL05,LTMD-CN5-G1988,1988,54,LTMD-CN5-G1988-VP054,q2_1,https://historico.conaliteg.gob.mx/c/H1988P5CI123/054.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL06,LTMD-CN5-G1988,1988,68,LTMD-CN5-G1988-VP068,q2_2,https://historico.conaliteg.gob.mx/c/H1988P5CI123/068.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
