catalog_entry_id,cycle,level,grade,viewer_key,source_object_id,shared_viewer,cataloged_state,reader_shell_state,asset_resolution_state,page_count_state,page_count,source_admission_state,text_access_observation_state,embedded_text_sample_state,ocr_available_state,text_verified_state,semantic_ready_state
CONALITEG-2026-PRIMARIA-G3-P3PAA,2026-2027,primaria,3,P3PAA,CONALITEG:2026:primaria:P3PAA,no,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G3-P3PCA,2026-2027,primaria,3,P3PCA,CONALITEG:2026:primaria:P3PCA,no,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G3-P3PEA,2026-2027,primaria,3,P3PEA,CONALITEG:2026:primaria:P3PEA,no,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G3-P3SDA,2026-2027,primaria,3,P3SDA,CONALITEG:2026:primaria:P3SDA,no,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G4-P0CMA,2026-2027,primaria,4,P0CMA,CONALITEG:2026:primaria:P0CMA,no,cataloged,resolved,resolved_pdf,observed,191,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G4-P0SHA,2026-2027,primaria,4,P0SHA,CONALITEG:2026:primaria:P0SHA,no,cataloged,resolved,resolved_pdf,observed,355,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G4-P3LPM,2026-2027,primaria,4,P3LPM,CONALITEG:2026:primaria:P3LPM,yes,cataloged,resolved,resolved_pdf,observed,99,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G4-P4MLA,2026-2027,primaria,4,P4MLA,CONALITEG:2026:primaria:P4MLA,no,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G4-P4PAA,2026-2027,primaria,4,P4PAA,CONALITEG:2026:primaria:P4PAA,no,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G4-P4PCA,2026-2027,primaria,4,P4PCA,CONALITEG:2026:primaria:P4PCA,no,cataloged,resolved,resolved_pdf,observed,347,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
