probe_version,viewer_key,catalog_generation,grade_code,x_horizontal_url,js_chars,variable_literals,asset_patterns,mentions_ag_pages,mentions_ag_clave,mentions_claves_json,mentions_magazine
LTMD_U1_W3_HORIZONTAL_CONTRACT_0.1,H1993P1ES139,1993,1,https://historico.conaliteg.gob.mx/x_horizontal.js,8290,"{""esc"": ""27"", ""i"": ""0"", ""next"": ""39"", ""previous"": ""37""}","[""claves.json"", ""magazine.js"", ""response.json"", ""turn.html4.min.js"", ""turn.js"", ""zoom.min.js""]",1,1,1,1
LTMD_U1_W3_HORIZONTAL_CONTRACT_0.1,H1993P2ES147,1993,2,https://historico.conaliteg.gob.mx/x_horizontal.js,8290,"{""esc"": ""27"", ""i"": ""0"", ""next"": ""39"", ""previous"": ""37""}","[""claves.json"", ""magazine.js"", ""response.json"", ""turn.html4.min.js"", ""turn.js"", ""zoom.min.js""]",1,1,1,1
LTMD_U1_W3_HORIZONTAL_CONTRACT_0.1,H2014P1LEA,2014,1,https://historico.conaliteg.gob.mx/x_horizontal.js,8290,"{""esc"": ""27"", ""i"": ""0"", ""next"": ""39"", ""previous"": ""37""}","[""claves.json"", ""magazine.js"", ""response.json"", ""turn.html4.min.js"", ""turn.js"", ""zoom.min.js""]",1,1,1,1
LTMD_U1_W3_HORIZONTAL_CONTRACT_0.1,H2014P2LEA,2014,2,https://historico.conaliteg.gob.mx/x_horizontal.js,8290,"{""esc"": ""27"", ""i"": ""0"", ""next"": ""39"", ""previous"": ""37""}","[""claves.json"", ""magazine.js"", ""response.json"", ""turn.html4.min.js"", ""turn.js"", ""zoom.min.js""]",1,1,1,1
