inventory_version,catalog_generation,viewer_count,declared_positions
LTMD_U1_W2_DECLARED_INVENTORY_0.1,1972,6,1350
LTMD_U1_W2_DECLARED_INVENTORY_0.1,1982,4,1032
LTMD_U1_W2_DECLARED_INVENTORY_0.1,1988,4,1018
LTMD_U1_W2_DECLARED_INVENTORY_0.1,1993,10,1724
LTMD_U1_W2_DECLARED_INVENTORY_0.1,2008,6,1224
LTMD_U1_W2_DECLARED_INVENTORY_0.1,2011,6,1140
LTMD_U1_W2_DECLARED_INVENTORY_0.1,2014,12,2760
LTMD_U1_W2_DECLARED_INVENTORY_0.1,2018,8,1704
LTMD_U1_W2_DECLARED_INVENTORY_0.1,2019,8,1704
LTMD_U1_W2_DECLARED_INVENTORY_0.1,ALL,64,13656
