readiness_version,book_id,viewer_key,catalog_generation,grade,viewer_positions_declared,asset_readiness,asset_strategy,alias_to_book_id,resolved_source_assets,terminal_synthetic,internal_unserved_positions,source_url,notes
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN1-G1972,H1972P1CI058,1972,1,99,full_direct,direct_sha256_manifest,,98,1,0,https://historico.conaliteg.gob.mx/H1972P1CI058.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN2-G1972,H1972P2CI064,1972,2,99,full_direct,direct_sha256_manifest,,98,1,0,https://historico.conaliteg.gob.mx/H1972P2CI064.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN3-G1972,H1972P3CI070,1972,3,147,full_direct,direct_sha256_manifest,,146,1,0,https://historico.conaliteg.gob.mx/H1972P3CI070.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,215,full_direct,existing_pilot_or_cn46_manifest,,214,1,0,https://historico.conaliteg.gob.mx/H1972P4CI077.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN5-G1972,H1972P5CI084,1972,5,259,full_direct,existing_pilot_or_cn46_manifest,,258,1,0,https://historico.conaliteg.gob.mx/H1972P5CI084.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,211,full_direct,existing_pilot_or_cn46_manifest,,210,1,0,https://historico.conaliteg.gob.mx/H1972P6CI090.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN3-G1982,H1982P3CI103,1982,3,179,full_direct,direct_sha256_manifest,,178,1,0,https://historico.conaliteg.gob.mx/H1982P3CI103.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN4-G1982,H1982P4CI383,1982,4,215,full_direct,direct_sha256_manifest,,214,1,0,https://historico.conaliteg.gob.mx/H1982P4CI383.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN5-G1982,H1982P5CI389,1982,5,259,full_direct,direct_sha256_manifest,,258,1,0,https://historico.conaliteg.gob.mx/H1982P5CI389.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN6-G1982,H1982P6CI395,1982,6,211,full_direct,direct_sha256_manifest,,210,1,0,https://historico.conaliteg.gob.mx/H1982P6CI395.htm,All source assets directly verified; any final synthetic position explicitly recorded.
