ocr_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,source_image_index,processing_mode,source_provenance,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P021,H2008P1ED252,2008,1,EDUCACION FISICA,21,21,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,260138,1,psm3:ok:82,3,82,403,89.73,96.22,0.0854,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P022,H2008P1ED252,2008,1,EDUCACION FISICA,22,22,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,279806,1,psm3:ok:71,3,71,364,86.79,96.41,0.1127,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P023,H2008P1ED252,2008,1,EDUCACION FISICA,23,23,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,336841,1,psm3:ok:121,3,121,611,94.68,96.76,0.0165,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P024,H2008P1ED252,2008,1,EDUCACION FISICA,24,24,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,248462,1,psm3:ok:28,3,28,120,84.70,95.90,0.1429,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P025,H2008P1ED252,2008,1,EDUCACION FISICA,25,25,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,236591,1,psm3:ok:61,3,61,291,94.28,96.58,0.0328,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P026,H2008P1ED252,2008,1,EDUCACION FISICA,26,26,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,289870,1,psm3:ok:87,3,87,385,88.43,96.41,0.0805,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P027,H2008P1ED252,2008,1,EDUCACION FISICA,27,27,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,265406,1,psm3:ok:48,3,48,200,85.27,95.69,0.1458,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P028,H2008P1ED252,2008,1,EDUCACION FISICA,28,28,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,278845,1,psm3:ok:77,3,77,311,82.21,96.44,0.2078,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P029,H2008P1ED252,2008,1,EDUCACION FISICA,29,29,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,266638,1,psm3:ok:43,3,43,187,89.50,96.56,0.1163,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P030,H2008P1ED252,2008,1,EDUCACION FISICA,30,30,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,240757,1,psm3:ok:31,3,31,125,91.09,96.44,0.0645,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P031,H2008P1ED252,2008,1,EDUCACION FISICA,31,31,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,276480,1,psm3:ok:99,3,99,462,91.88,96.45,0.0505,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P032,H2008P1ED252,2008,1,EDUCACION FISICA,32,32,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,309052,1,psm3:ok:6,3,6,10,21.58,22.95,1.0000,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P033,H2008P1ED252,2008,1,EDUCACION FISICA,33,33,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,288069,1,psm3:ok:49,3,49,231,82.91,96.73,0.1837,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P034,H2008P1ED252,2008,1,EDUCACION FISICA,34,34,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,327814,1,psm3:ok:61,3,61,245,87.12,96.78,0.1148,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P035,H2008P1ED252,2008,1,EDUCACION FISICA,35,35,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,293828,1,psm3:ok:80,3,80,348,92.67,96.78,0.0375,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P036,H2008P1ED252,2008,1,EDUCACION FISICA,36,36,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,321732,1,psm3:ok:130,3,130,677,94.46,96.80,0.0308,text_detected,ok,
