segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1993P4ES193,2828,216,38,0,15,276,568,3,318,1610
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1993P4ES194,1120,104,0,0,0,241,46,0,102,731
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1993P4ES195,2129,180,6,0,7,453,155,3,208,1297
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1993P5ES201,3483,177,60,0,11,517,621,0,564,1710
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1993P5ES202,1191,108,0,0,0,230,48,3,125,785
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1993P6ES211,3852,181,60,1,15,579,763,2,607,1825
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1993P6ES212,1364,101,0,0,1,266,56,0,122,919
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2008P1ES253,1437,128,60,5,9,139,274,102,142,706
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2008P1ES254,39,7,0,0,0,2,1,0,2,34
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2008P2ES261,2376,175,104,16,26,200,494,65,292,1179
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2008P3ES265,2687,191,70,0,10,220,525,0,312,1550
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2008P3ES266,1427,177,0,0,2,219,78,3,129,996
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2008P4ES271,2828,216,37,0,16,278,566,3,316,1612
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2008P4ES272,2129,180,6,0,7,453,155,3,208,1297
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2008P5ES281,2613,169,69,16,8,334,552,52,376,1206
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2008P6ES288,1838,113,35,12,6,250,312,87,226,910
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P1ES297,1915,146,48,18,13,122,357,74,226,1057
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P1ES298,549,54,1,0,1,63,25,0,73,386
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P2ES304,2359,179,44,20,29,238,434,126,274,1194
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P2ES305,763,83,1,0,2,122,45,1,112,480
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P3ES311,2580,146,96,13,27,278,599,91,362,1114
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P3ES312,1123,116,1,1,1,245,103,1,137,634
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P4ES319,2253,140,49,19,8,226,385,77,319,1170
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P4ES320,2008,157,4,0,1,439,144,1,273,1146
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P5ES329,2663,162,72,24,11,364,557,78,316,1241
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P5ES330,2479,164,6,0,6,563,183,2,315,1404
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P6ES339,2866,163,59,21,5,338,481,66,410,1486
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2011P6ES340,2541,149,9,1,5,577,189,4,376,1380
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P1ESA,1814,186,3,0,1,73,225,0,342,1170
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P1ESM,3894,258,242,40,31,612,996,0,262,1711
