segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1972P1MA063,331,96,0,0,0,15,58,0,19,239
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1972P2MA069,861,94,0,0,0,37,28,0,163,633
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1972P3MA076,3043,253,0,0,5,287,422,0,509,1820
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1972P4MA083,2929,224,0,0,7,342,326,0,543,1711
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1972P5MA089,2798,230,4,0,5,236,333,0,433,1787
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1972P6MA094,2454,175,9,0,75,346,303,7,566,1148
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1982P3MA106,2065,215,5,0,25,124,306,0,306,1299
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1988P3MA118,2244,222,8,0,28,151,342,0,312,1403
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1988P4MA122,2876,225,0,0,7,353,325,0,553,1638
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1988P5MA127,2485,223,4,0,5,233,319,0,431,1493
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1988P6MA134,2533,177,9,0,72,347,333,8,556,1208
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P1MA142,118,18,2,0,10,5,15,0,0,86
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P1MA143,302,68,0,0,0,16,25,0,53,208
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P2MA151,1436,141,34,0,2,205,254,0,290,651
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P2MA152,164,23,0,0,2,1,19,0,0,142
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P3MA189,2922,186,55,0,77,242,489,0,826,1233
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P4MA199,2833,184,56,0,75,258,501,0,647,1296
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P5MA207,2882,185,55,0,51,290,514,1,814,1157
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P5MA208,2761,201,62,0,13,321,447,0,514,1404
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P6MA247,3357,180,83,0,34,361,537,0,876,1466
FRAGSEG_LTMD_U1_W2_MATH_0.2,H1993P6MA248,2895,201,66,0,24,264,499,10,701,1331
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2008P1MA255,1301,164,76,0,5,157,121,1,232,709
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2008P2MA262,1281,129,48,1,17,123,181,0,369,542
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2008P3MA267,3072,192,65,0,88,282,492,0,833,1312
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2008P4MA276,2833,184,56,0,75,258,501,0,647,1296
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2008P6MA291,2401,179,48,3,48,281,317,0,709,995
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2008P6MA292,1459,142,89,0,10,155,115,0,300,790
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2011P1MA299,1305,131,52,8,4,93,161,0,237,750
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2011P2MA306,1701,139,47,2,11,131,175,0,360,975
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2011P3MA313,2364,173,71,8,11,230,373,3,546,1122
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2011P4MA324,2453,177,75,10,38,254,360,0,545,1171
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2011P5MA334,2463,180,72,9,25,241,375,0,533,1208
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2011P6MA343,2684,180,90,8,25,291,346,0,684,1240
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2014P1DMA,1089,125,39,0,14,120,59,0,144,713
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2014P1DMM,2376,143,73,0,57,273,311,0,406,1256
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2014P2DMA,1198,177,43,0,15,150,80,0,232,678
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2014P2DMM,2434,168,61,0,55,274,326,0,441,1277
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2014P3DMA,1859,193,53,0,16,172,113,0,332,1173
FRAGSEG_LTMD_U1_W2_MATH_0.2,H2014P3DMM,3682,233,100,0,68,390,508,0,658,1958
