probe_version,viewer_key,catalog_generation,grade_code,title_core,standard_dynamic_architecture,config_present,config_ag_clave_exact,direct_asset_probe_ready,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,manifest_rows,source_probe_state,architecture_probe_error,source_url
LTMD_U1_W10_SOURCE_PROBE_0.1,H1966P6HI380,1966,6,MI LIBRO DE HISTORIA Y CIVISMO,1,1,1,1,259,258,1,0,0,259,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1966P6HI380.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1966P6MA381,1966,6,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA,1,1,1,1,131,130,1,0,0,131,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1966P6MA381.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1966P6MA382,1966,6,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1966P6MA382.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1972P1CI059,1972,1,"CIENCIAS NATURALES, CIENCIAS SOCIALES",1,1,1,1,131,130,1,0,0,131,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1972P1CI059.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1972P3CI071,1972,3,CIENCIAS NATURALES-CIENCIAS SOCIALES,1,1,1,1,227,226,1,0,0,227,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1972P3CI071.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI157,1993,3,Aguascalientes. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI157.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI158,1993,3,Baja California. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI158.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI159,1993,3,Baja California Sur. Historia y Geografía,1,1,1,1,161,160,1,0,0,161,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI159.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI160,1993,3,Campeche. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI160.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI161,1993,3,Chiapas. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI161.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI162,1993,3,Chihuahua. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI162.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI163,1993,3,Distrito Federal. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI163.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI164,1993,3,Coahuila. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI164.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI165,1993,3,Colima. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI165.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI166,1993,3,Durango. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI166.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1993P3HI167,1993,3,Guanajuato. Historia y Geografía,1,1,1,1,163,162,1,0,0,163,asset_probe_completed,,https://historico.conaliteg.gob.mx/H1993P3HI167.htm
