source_object_id,source,source_cycle,cycle_label,level,viewer_key,title,publisher,viewer_url,catalog_entry_count,catalog_grades,public_repo_status,source_checked
CONALITEG:2026:primaria:P0CMA,CONALITEG,2026,2026-2027,primaria,P0CMA,Cartografía de México y el mundo. Multigrado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P0CMA&nivel=primaria,1,4,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P0SHA,CONALITEG,2026,2026-2027,primaria,P0SHA,"Nuestros saberes: México, grandeza y diversidad. Multigrado",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P0SHA&nivel=primaria,1,4,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P1LPM,CONALITEG,2026,2026-2027,primaria,P1LPM,"Un libro sin recetas, para la maestra y el maestro. Fase 3",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1LPM&nivel=primaria,2,1|2,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P1MLA,CONALITEG,2026,2026-2027,primaria,P1MLA,Múltiples lenguajes. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1MLA&nivel=primaria,1,1,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P1PAA,CONALITEG,2026,2026-2027,primaria,P1PAA,Proyectos de Aula. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1PAA&nivel=primaria,1,1,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P1PCA,CONALITEG,2026,2026-2027,primaria,P1PCA,Proyectos Comunitarios. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1PCA&nivel=primaria,1,1,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P1PEA,CONALITEG,2026,2026-2027,primaria,P1PEA,Proyectos Escolares. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1PEA&nivel=primaria,1,1,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P1SDA,CONALITEG,2026,2026-2027,primaria,P1SDA,"Nuestros saberes: Libro para alumnos, maestros y familia. Primer grado",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1SDA&nivel=primaria,1,1,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P1TNA,CONALITEG,2026,2026-2027,primaria,P1TNA,Múltiples lenguajes. Trazos y números. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1TNA&nivel=primaria,1,1,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P1TPA,CONALITEG,2026,2026-2027,primaria,P1TPA,Múltiples lenguajes. Trazos y palabras. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1TPA&nivel=primaria,1,1,catalog_metadata_only,2026-08-31
