viewer_key,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
H2008P1ED252,U1-H2008P1ED252-P035,10,11,1,1
H2008P1ED252,U1-H2008P1ED252-P040,7,10,3 4 5,3
H2008P1ED252,U1-H2008P1ED252-P044,8,9,2,1
H2008P1ED252,U1-H2008P1ED252-P079,10,11,2,1
H2008P1ED252,U1-H2008P1ED252-P090,14,16,3 5,2
H2008P2ED260,U1-H2008P2ED260-P015,8,9,2,1
H2008P2ED260,U1-H2008P2ED260-P020,15,16,11,1
H2008P2ED260,U1-H2008P2ED260-P046,13,14,4,1
H2008P2ED260,U1-H2008P2ED260-P047,7,8,6,1
H2008P2ED260,U1-H2008P2ED260-P054,14,15,8,1
H2008P2ED260,U1-H2008P2ED260-P060,14,15,12,1
H2008P2ED260,U1-H2008P2ED260-P065,24,25,14,1
H2008P2ED260,U1-H2008P2ED260-P081,13,14,4,1
H2008P5ED280,U1-H2008P5ED280-P041,10,11,2,1
H2008P5ED280,U1-H2008P5ED280-P051,8,9,5,1
H2008P5ED280,U1-H2008P5ED280-P087,14,15,8,1
H2008P5ED280,U1-H2008P5ED280-P089,9,10,1,1
H2008P6ED287,U1-H2008P6ED287-P055,15,16,1,1
H2008P6ED287,U1-H2008P6ED287-P102,11,12,11,1
