probe_version,viewer_key,catalog_generation,grade_code,title_core,script_srcs,style_hrefs,img_srcs,anchor_hrefs_sample,asset_tokens,html_chars,source_url
LTMD_U1_W3_SPECIAL_VIEWER_PROBE_0.1,H1993P1ES139,1993,1,Español lecturas,"[""jquery.min.1.7.js"", ""modernizr.2.5.3.min.js"", ""hash.js"", ""https://www.googletagmanager.com/gtag/js?id=UA-44669558-5"", ""https://www.googletagmanager.com/gtag/js?id=G-V4W5080W41"", ""js.js"", ""x_horizontal.js""]","[""/favicon.ico"", ""/favicon.ico"", ""http://historico.conaliteg.gob.mx/H1993P1ES139.htm"", ""http://historico.conaliteg.gob.mx/"", ""/rss.xml"", ""/atom.xml""]","[""./pics/der.png"", ""./pics/h.png"", ""./pics/go.png"", ""./pics/izq.png""]",[],"[""./pics/der.png"", ""./pics/go.png"", ""./pics/h.png"", ""./pics/izq.png"", ""//historico.conaliteg.gob.mx/tw.jpg"", ""//www.conaliteg.gob.mx/images/tw_conaliteg.jpg"", ""hash.js"", ""jquery.min.1.7.js"", ""modernizr.2.5.3.min.js"", ""x_horizontal.js""]",4671,https://historico.conaliteg.gob.mx/H1993P1ES139.htm
LTMD_U1_W3_SPECIAL_VIEWER_PROBE_0.1,H1993P2ES147,1993,2,Español Lecturas,"[""jquery.min.1.7.js"", ""modernizr.2.5.3.min.js"", ""hash.js"", ""https://www.googletagmanager.com/gtag/js?id=UA-44669558-5"", ""https://www.googletagmanager.com/gtag/js?id=G-V4W5080W41"", ""js.js"", ""x_horizontal.js""]","[""/favicon.ico"", ""/favicon.ico"", ""http://historico.conaliteg.gob.mx/H1993P2ES147.htm"", ""http://historico.conaliteg.gob.mx/"", ""/rss.xml"", ""/atom.xml""]","[""./pics/der.png"", ""./pics/h.png"", ""./pics/go.png"", ""./pics/izq.png""]",[],"[""./pics/der.png"", ""./pics/go.png"", ""./pics/h.png"", ""./pics/izq.png"", ""//historico.conaliteg.gob.mx/tw.jpg"", ""//www.conaliteg.gob.mx/images/tw_conaliteg.jpg"", ""hash.js"", ""jquery.min.1.7.js"", ""modernizr.2.5.3.min.js"", ""x_horizontal.js""]",4671,https://historico.conaliteg.gob.mx/H1993P2ES147.htm
LTMD_U1_W3_SPECIAL_VIEWER_PROBE_0.1,H2014P1LEA,2014,1,Español. Libro de lectura,"[""jquery.min.1.7.js"", ""modernizr.2.5.3.min.js"", ""hash.js"", ""https://www.googletagmanager.com/gtag/js?id=UA-44669558-5"", ""https://www.googletagmanager.com/gtag/js?id=G-V4W5080W41"", ""js.js"", ""x_horizontal.js""]","[""/favicon.ico"", ""/favicon.ico"", ""http://historico.conaliteg.gob.mx/H2014P1LEA.htm"", ""http://historico.conaliteg.gob.mx/"", ""/rss.xml"", ""/atom.xml""]","[""./pics/der.png"", ""./pics/h.png"", ""./pics/go.png"", ""./pics/izq.png""]",[],"[""./pics/der.png"", ""./pics/go.png"", ""./pics/h.png"", ""./pics/izq.png"", ""//historico.conaliteg.gob.mx/tw.jpg"", ""//www.conaliteg.gob.mx/images/tw_conaliteg.jpg"", ""hash.js"", ""jquery.min.1.7.js"", ""modernizr.2.5.3.min.js"", ""x_horizontal.js""]",4748,https://historico.conaliteg.gob.mx/H2014P1LEA.htm
LTMD_U1_W3_SPECIAL_VIEWER_PROBE_0.1,H2014P2LEA,2014,2,Español. Libro de lectura,"[""jquery.min.1.7.js"", ""modernizr.2.5.3.min.js"", ""hash.js"", ""https://www.googletagmanager.com/gtag/js?id=UA-44669558-5"", ""https://www.googletagmanager.com/gtag/js?id=G-V4W5080W41"", ""js.js"", ""x_horizontal.js""]","[""/favicon.ico"", ""/favicon.ico"", ""http://historico.conaliteg.gob.mx/H2014P2LEA.htm"", ""http://historico.conaliteg.gob.mx/"", ""/rss.xml"", ""/atom.xml""]","[""./pics/der.png"", ""./pics/h.png"", ""./pics/go.png"", ""./pics/izq.png""]",[],"[""./pics/der.png"", ""./pics/go.png"", ""./pics/h.png"", ""./pics/izq.png"", ""//historico.conaliteg.gob.mx/tw.jpg"", ""//www.conaliteg.gob.mx/images/tw_conaliteg.jpg"", ""hash.js"", ""jquery.min.1.7.js"", ""modernizr.2.5.3.min.js"", ""x_horizontal.js""]",4748,https://historico.conaliteg.gob.mx/H2014P2LEA.htm
