inventory_version,catalog_generation,viewer_count,declared_positions,standard_architecture_count
LTMD_U1_W7_DECLARED_INVENTORY_0.1,2008,8,700,8
LTMD_U1_W7_DECLARED_INVENTORY_0.1,2011,6,820,6
LTMD_U1_W7_DECLARED_INVENTORY_0.1,2014,6,995,6
LTMD_U1_W7_DECLARED_INVENTORY_0.1,2018,4,680,4
LTMD_U1_W7_DECLARED_INVENTORY_0.1,2019,6,996,6
LTMD_U1_W7_DECLARED_INVENTORY_0.1,ALL,30,4191,30
