relationship_version,viewer_key_2018,viewer_key_2019,grade_code,title_core,declared_positions,compared_source_assets,sha256_matches,byte_size_matches,complete_route_resolution,relationship_type,canonical_processing_viewer_key,interpretive_limit
LTMD_U1_W3_SPANISH_2018_2019_ROUTE_IDENTITY_0.1,H2018P3ESA,H2019P3ESA,3,Español,162,161,161,161,1,catalog_entry_resolves_through_paired_2019_asset_route,H2019P3ESA,Operational route resolution only. Catalog identities remain distinct; this does not assign a bibliographic edition year to the 2018 entry.
LTMD_U1_W3_SPANISH_2018_2019_ROUTE_IDENTITY_0.1,H2018P3LEA,H2019P3LEA,3,Español. Libro de lectura,162,161,161,161,1,catalog_entry_resolves_through_paired_2019_asset_route,H2019P3LEA,Operational route resolution only. Catalog identities remain distinct; this does not assign a bibliographic edition year to the 2018 entry.
LTMD_U1_W3_SPANISH_2018_2019_ROUTE_IDENTITY_0.1,H2018P4ESA,H2019P4ESA,4,Español,162,161,161,161,1,catalog_entry_resolves_through_paired_2019_asset_route,H2019P4ESA,Operational route resolution only. Catalog identities remain distinct; this does not assign a bibliographic edition year to the 2018 entry.
LTMD_U1_W3_SPANISH_2018_2019_ROUTE_IDENTITY_0.1,H2018P4LEA,H2019P4LEA,4,Español. Libro de lectura,162,161,161,161,1,catalog_entry_resolves_through_paired_2019_asset_route,H2019P4LEA,Operational route resolution only. Catalog identities remain distinct; this does not assign a bibliographic edition year to the 2018 entry.
LTMD_U1_W3_SPANISH_2018_2019_ROUTE_IDENTITY_0.1,H2018P5ESA,H2019P5ESA,5,Español,178,177,177,177,1,catalog_entry_resolves_through_paired_2019_asset_route,H2019P5ESA,Operational route resolution only. Catalog identities remain distinct; this does not assign a bibliographic edition year to the 2018 entry.
LTMD_U1_W3_SPANISH_2018_2019_ROUTE_IDENTITY_0.1,H2018P5LEA,H2019P5LEA,5,Español. Libro de lectura,162,161,161,161,1,catalog_entry_resolves_through_paired_2019_asset_route,H2019P5LEA,Operational route resolution only. Catalog identities remain distinct; this does not assign a bibliographic edition year to the 2018 entry.
LTMD_U1_W3_SPANISH_2018_2019_ROUTE_IDENTITY_0.1,H2018P6ESA,H2019P6ESA,6,Español,186,185,185,185,1,catalog_entry_resolves_through_paired_2019_asset_route,H2019P6ESA,Operational route resolution only. Catalog identities remain distinct; this does not assign a bibliographic edition year to the 2018 entry.
LTMD_U1_W3_SPANISH_2018_2019_ROUTE_IDENTITY_0.1,H2018P6LEA,H2019P6LEA,6,Español. Libro de lectura,162,161,161,161,1,catalog_entry_resolves_through_paired_2019_asset_route,H2019P6LEA,Operational route resolution only. Catalog identities remain distinct; this does not assign a bibliographic edition year to the 2018 entry.
