recovery_version,viewer_key,catalog_generation,school_cycle,school_cycle_start_year,recovered_statement_value,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,psm_support_count,psm_modes,raw_reprint_tokens,raw_matched_snippets,normalization_rule,year_matches_school_cycle_start,human_validated
LTMD_U1_W7_REPRINT_OCR_CONFUSION_RECOVERY_0.1,H2011P5CI326,2011,2013-2014,2013,third_reprint:2013,2,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,339236,3,3;11;12,relmpresión,"Tercera relmpresión, 2013",only re[iIl1]mpresion-token OCR confusion normalized to reimpresion,1,0
LTMD_U1_W7_REPRINT_OCR_CONFUSION_RECOVERY_0.1,H2014P4FCA,2014,2017-2018,2017,third_reprint:2017,2,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,234168,4,3;4;6;11,reimpresión;relmpresión,"Tercera reimpresión, 2017 || Tercera relmpresión, 2017",only re[iIl1]mpresion-token OCR confusion normalized to reimpresion,1,0
