ocr_version,book_id,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374,178,178,177,1,0,34030,223606
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI375,162,162,162,0,0,43274,428626
