anomaly_version,viewer_key,catalog_generation,grade_code,title_core,viewer_page,declared_positions,source_image_index,source_asset_url,probe_state,http_status,asset_status,is_final_declared_position,attempts,error
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P4MA362,1966,4,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",163,163,163,https://historico.conaliteg.gob.mx/c/H1966P4MA362/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P4MA363,1966,4,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",227,227,227,https://historico.conaliteg.gob.mx/c/H1966P4MA363/227.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P5HI369,1966,5,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,131,131,131,https://historico.conaliteg.gob.mx/c/H1966P5HI369/131.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P5HI370,1966,5,MI LIBRO DE HISTORIA Y CIVISMO,227,227,227,https://historico.conaliteg.gob.mx/c/H1966P5HI370/227.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P5MA371,1966,5,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,259,259,259,https://historico.conaliteg.gob.mx/c/H1966P5MA371/259.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P5MA372,1966,5,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,227,227,227,https://historico.conaliteg.gob.mx/c/H1966P5MA372/227.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P5MA373,1966,5,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",211,211,211,https://historico.conaliteg.gob.mx/c/H1966P5MA373/211.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P6HI379,1966,6,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,131,131,131,https://historico.conaliteg.gob.mx/c/H1966P6HI379/131.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P6HI380,1966,6,MI LIBRO DE HISTORIA Y CIVISMO,259,259,259,https://historico.conaliteg.gob.mx/c/H1966P6HI380/259.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P6MA381,1966,6,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA,131,131,131,https://historico.conaliteg.gob.mx/c/H1966P6MA381/131.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1966P6MA382,1966,6,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA,163,163,163,https://historico.conaliteg.gob.mx/c/H1966P6MA382/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1972P1CI059,1972,1,"CIENCIAS NATURALES, CIENCIAS SOCIALES",131,131,131,https://historico.conaliteg.gob.mx/c/H1972P1CI059/131.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1972P3CI071,1972,3,CIENCIAS NATURALES-CIENCIAS SOCIALES,227,227,227,https://historico.conaliteg.gob.mx/c/H1972P3CI071/227.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
