audit_version,viewer_key,book_id,catalog_generation,grade_code,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H1993P2MA151,U1-H1993P2MA151,1993,2,177,176,1,0,0,12334364,176,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H1993P2MA152,U1-H1993P2MA152,1993,2,67,66,1,0,0,3343288,66,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H1993P3MA189,U1-H1993P3MA189,1993,3,211,210,1,0,0,15033819,210,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H1993P4MA199,U1-H1993P4MA199,1993,4,211,210,1,0,0,14167785,210,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H1993P5MA207,U1-H1993P5MA207,1993,5,211,210,1,0,0,15125784,210,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H1993P5MA208,U1-H1993P5MA208,1993,5,211,210,1,0,0,14993155,210,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H1993P6MA247,U1-H1993P6MA247,1993,6,211,210,1,0,0,15571224,210,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H1993P6MA248,U1-H1993P6MA248,1993,6,211,210,1,0,0,14329474,210,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2008P1MA255,U1-H2008P1MA255,2008,1,243,242,1,0,0,12678930,242,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2008P2MA262,U1-H2008P2MA262,2008,2,171,170,1,0,0,8919687,170,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2008P3MA267,U1-H2008P3MA267,2008,3,227,226,1,0,0,14635526,226,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2008P4MA276,U1-H2008P4MA276,2008,4,209,207,0,2,0,13893114,207,0
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2008P6MA291,U1-H2008P6MA291,2008,6,195,194,1,0,0,52557595,194,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2008P6MA292,U1-H2008P6MA292,2008,6,179,178,1,0,0,42750361,178,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2011P1MA299,U1-H2011P1MA299,2011,1,186,185,1,0,0,17951256,185,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2011P2MA306,U1-H2011P2MA306,2011,2,178,177,1,0,0,48943090,177,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2011P3MA313,U1-H2011P3MA313,2011,3,186,185,1,0,0,50105570,185,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2011P4MA324,U1-H2011P4MA324,2011,4,202,201,1,0,0,46638277,201,1
