architecture_version,scope_version,viewer_key,catalog_generation,grade_code,title_core,html_status,x_js_discovered,x_js_url,x_js_status,ag_pages_signal,ag_clave_signal,claves_json_signal,magazine_js_signal,standard_dynamic_architecture,architecture_signature,source_url
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P2CI112,1988,2,"MI LIBRO DE 2°, PARTE 2",200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1988P2CI112.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P2CI113,1988,2,MI LIBRO DE 2° PARTE 1,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1988P2CI113.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P1LI140,1993,1,Libro Integrado,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P1LI140.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P1LI141,1993,1,Libro Integrado recortable,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P1LI141.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P2LI149,1993,2,Libro Integrado,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P2LI149.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P2LI150,1993,2,Libro Integrado Recortable,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P2LI150.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P4CI192,1993,4,Conoce nuestra constitución,200,0,,0,0,0,0,0,0,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H1993P4CI192.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI215,1993,6,MONOGRAFÍA ESTATAL AGUASCALIENTES,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI215.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI216,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI216.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI217,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA SUR,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI217.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI218,1993,6,MONOGRAFÍA ESTATAL COAHUILA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI218.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI219,1993,6,MONOGRAFÍA ESTATAL COLIMA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI219.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI220,1993,6,MONOGRAFÍA ESTATAL CAMPECHE,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI220.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI221,1993,6,MONOGRAFÍA ESTATAL CHIAPAS,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI221.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI222,1993,6,MONOGRAFÍA ESTATAL CHIHUAHUA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI222.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI223,1993,6,MONOGRAFÍA ESTATAL DISTRITO FEDERAL,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI223.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI224,1993,6,MONOGRAFÍA ESTATAL DURANGO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI224.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI225,1993,6,MONOGRAFÍA ESTATAL ESTADO DE MÉXICO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI225.htm
