analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI177,H1993P3HI182,1993,1993,3,3,1,1,1929,1567,113,0.033402,0.058580,0.072112
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI175,H1993P3HI177,1993,1993,3,3,1,1,1725,1929,112,0.031621,0.064928,0.058061
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI175,H1993P3HI180,1993,1993,3,3,1,1,1725,2039,112,0.030668,0.064928,0.054929
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI168,H1993P3HI180,1993,1993,3,3,1,1,1739,2039,112,0.030551,0.064405,0.054929
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P5MA021,H1966P4HI361,1960,1966,5,4,0,0,2501,2067,112,0.025135,0.044782,0.054185
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI172,H1993P3HI175,1993,1993,3,3,1,1,1576,1725,111,0.034796,0.070431,0.064348
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1993P3HI175,1966,1993,4,3,0,0,2632,1725,111,0.026142,0.042173,0.064348
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI172,H1993P3HI182,1993,1993,3,3,1,1,1576,1567,110,0.036268,0.069797,0.070198
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI168,H1993P3HI182,1993,1993,3,3,1,1,1739,1567,110,0.034418,0.063255,0.070198
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI168,H1993P3HI175,1993,1993,3,3,1,1,1739,1725,110,0.032797,0.063255,0.063768
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI180,H1993P3HI182,1993,1993,3,3,1,1,2039,1567,108,0.030875,0.052967,0.068922
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1993P3HI182,1966,1993,4,3,0,0,2067,1567,108,0.030630,0.052250,0.068922
