viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
H1972P1MA063,146,0,96,7,0,2,1,40
H1972P2MA069,138,5,89,8,0,3,1,32
H1972P3MA076,304,78,175,20,1,5,3,22
H1972P4MA083,258,97,127,11,0,5,2,16
H1972P5MA089,304,60,170,30,0,2,3,39
H1972P6MA094,194,113,62,4,2,1,3,9
H1982P3MA106,272,16,199,26,0,4,3,24
H1988P3MA118,274,25,197,32,0,4,3,13
H1988P4MA122,258,98,127,10,0,9,2,12
H1988P5MA127,288,55,168,16,0,4,3,42
H1988P6MA134,194,121,56,4,2,1,2,8
H1993P1MA142,66,0,18,22,0,6,1,19
H1993P1MA143,146,1,67,19,0,5,2,52
H1993P2MA151,176,44,97,6,0,6,1,22
H1993P2MA152,66,1,22,21,0,1,1,20
H1993P3MA189,210,125,61,15,0,4,2,3
H1993P4MA199,210,119,65,8,0,3,3,12
H1993P5MA207,210,140,45,8,0,4,2,11
H1993P5MA208,210,108,93,2,0,3,3,1
H1993P6MA247,210,139,41,14,0,5,2,9
H1993P6MA248,210,126,75,1,0,5,2,1
H2008P1MA255,242,23,141,16,0,3,2,57
H2008P2MA262,170,31,98,20,0,4,3,14
H2008P3MA267,226,125,67,20,0,1,3,10
H2008P4MA276,209,119,65,8,0,3,2,12
H2008P6MA291,194,128,51,5,0,1,2,7
H2008P6MA292,178,42,100,10,0,6,7,13
H2011P1MA299,185,16,115,23,0,4,2,25
H2011P2MA306,177,41,98,15,0,5,3,15
H2011P3MA313,185,93,80,2,1,6,2,1
H2011P4MA324,201,99,78,13,0,3,3,5
H2011P5MA334,193,100,80,3,0,3,4,3
H2011P6MA343,193,104,76,2,0,5,3,3
H2014P1DMA,145,40,85,11,2,3,2,2
H2014P1DMM,169,87,56,12,1,8,4,1
H2014P2DMA,201,59,118,8,1,5,2,8
H2014P2DMM,193,94,74,9,0,10,4,2
H2014P3DMA,225,54,139,8,1,7,1,15
H2014P3DMM,257,133,100,9,0,8,3,4
H2014P4DMA,257,60,161,7,1,7,1,20
H2014P4DMM,337,191,124,6,0,9,4,3
H2014P5DMA,225,54,152,8,1,5,1,4
H2014P5DMM,297,178,98,1,0,9,4,7
H2014P6DMA,185,46,119,5,1,7,1,6
H2014P6DMM,257,147,86,5,0,10,4,5
H2018P1MAA,225,25,167,3,1,3,3,23
H2018P1MAM,177,155,2,1,0,12,6,1
H2018P2MAA,225,60,142,9,0,3,3,8
H2018P2MAM,177,155,1,0,0,11,8,2
H2019P1MAA,225,25,170,5,1,4,4,16
H2019P1MAM,177,154,3,0,0,12,7,1
H2019P2MAA,225,59,142,8,0,3,4,9
H2019P2MAM,177,156,1,1,0,11,8,0
H2019P3DMA,225,52,141,9,2,2,3,16
H2019P4DMA,257,60,160,7,1,5,3,21
H2019P5DMA,225,49,156,8,1,3,2,6
H2019P6DMA,185,46,118,3,1,7,3,7
ALL,11945,4531,5614,564,21,290,166,759
