inventory_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,source_url
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1972P1CI060,1972,1,CIENCIAS SOCIALES,H1972P1CI060,85,https://historico.conaliteg.gob.mx/H1972P1CI060.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1972P2CI065,1972,2,CIENCIAS SOCIALES,H1972P2CI065,131,https://historico.conaliteg.gob.mx/H1972P2CI065.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1972P3CI072,1972,3,CIENCIAS SOCIALES,H1972P3CI072,115,https://historico.conaliteg.gob.mx/H1972P3CI072.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1972P4CI078,1972,4,CIENCIAS SOCIALES,H1972P4CI078,227,https://historico.conaliteg.gob.mx/H1972P4CI078.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1972P5CI085,1972,5,CIENCIAS SOCIALES,H1972P5CI085,291,https://historico.conaliteg.gob.mx/H1972P5CI085.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1972P6CI091,1972,6,CIENCIAS SOCIALES,H1972P6CI091,211,https://historico.conaliteg.gob.mx/H1972P6CI091.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1982P4CI384,1982,4,CIENCIAS SOCIALES,H1982P4CI384,147,https://historico.conaliteg.gob.mx/H1982P4CI384.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1982P5CI390,1982,5,CIENCIAS SOCIALES,H1982P5CI390,147,https://historico.conaliteg.gob.mx/H1982P5CI390.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1982P6CI396,1982,6,CIENCIAS SOCIALES,H1982P6CI396,269,https://historico.conaliteg.gob.mx/H1982P6CI396.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1988P3CI115,1988,3,CIENCIAS SOCIALES,H1988P3CI115,129,https://historico.conaliteg.gob.mx/H1988P3CI115.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1988P4CI120,1988,4,CIENCIAS SOCIALES,H1988P4CI120,147,https://historico.conaliteg.gob.mx/H1988P4CI120.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1988P5CI124,1988,5,CIENCIAS SOCIALES,H1988P5CI124,147,https://historico.conaliteg.gob.mx/H1988P5CI124.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H1988P6CI130,1988,6,CIENCIAS SOCIALES,H1988P6CI130,211,https://historico.conaliteg.gob.mx/H1988P6CI130.htm
LTMD_U1_W4_DECLARED_INVENTORY_0.1,H2008P2CI256,2008,2,EXPLORACIOÓN DE NATURALEZA Y LA SOCIEDAD,H2008P2CI256,171,https://historico.conaliteg.gob.mx/H2008P2CI256.htm
