book_id,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
U1-H1966P6CI374,178,122,41,6,0,1,5,3
U1-H1966P6CI375,162,136,14,3,0,0,5,4
ALL,340,258,55,9,0,1,10,7
