diagnostic_version,routing_version,viewer_key,catalog_generation,grade_code,title_core,html_status,declared_ref_count,candidate_resource_count,iframe_count,embed_count,object_count,img_count,pdf_candidate_count,image_candidate_count,json_candidate_count,inline_pdf_signal,inline_claves_signal,inline_magazine_signal,source_url
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P4CI192,1993,4,Conoce nuestra constitución,200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H1993P4CI192.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2008P4CI270,2008,4,CONOCE NUESTRA CONSTITUCIÓN,200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2008P4CI270.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2011P4CI316,2011,4,CONOCE NUESTRA CONSTITICIÓN,200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2011P4CI316.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P1CAM,2014,1,"Material de apoyo a la alfabetización inicial, Tiras recortables y cartel con el alfabeto",200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2014P1CAM.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P1EAM,2014,1,Fichero didactico (incluye DVD),200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2014P1EAM.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P2EAM,2014,2,Fichero didactico (incluye DVD),200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2014P2EAM.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P4CCA,2014,4,Conoce nuestra Constitución,200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2014P4CCA.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2018P1CAM,2018,1,Material de apoyo a la alfabetización Inicial. Tiras recortables,200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2018P1CAM.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2018P4CCA,2018,4,Conoce Nuestra Constitución,200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2018P4CCA.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2019P1CAM,2019,1,Material de apoyo a la alfabetización Inicial. Tiras recortables. PrImer grado,200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2019P1CAM.htm
LTMD_U1_W11_NONSTANDARD_HTML_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2019P4CCA,2019,4,Conoce nuestra Constitución,200,16,4,0,0,0,4,0,4,0,0,0,1,https://historico.conaliteg.gob.mx/H2019P4CCA.htm
