audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,viewer_page,declared_positions,source_image_index,source_asset_url,is_final_declared_position,asset_status,probe_state,http_status,content_type,byte_size,sha256,attempts,error
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,18,187,18,https://historico.conaliteg.gob.mx/c/H1993P4HI198/018.jpg,0,source_jpeg,served_image,200,image/jpeg,94908,1c3c5f425b49e210fc8c8df349bbbfda9bd9abdbbc746e5d88799ebacc6d3ea1,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,19,187,19,https://historico.conaliteg.gob.mx/c/H1993P4HI198/019.jpg,0,source_jpeg,served_image,200,image/jpeg,82127,f0ac5d0fce3069d56f7099ab52433909c9830af0b4ab94d686e9766a0d101ffe,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,20,187,20,https://historico.conaliteg.gob.mx/c/H1993P4HI198/020.jpg,0,source_jpeg,served_image,200,image/jpeg,90305,97992f365d0afb4daa7c8ccd6249b88c1c6b7a9165fad7037ec1452db6c29ad3,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,21,187,21,https://historico.conaliteg.gob.mx/c/H1993P4HI198/021.jpg,0,source_jpeg,served_image,200,image/jpeg,95649,6a686ad4ee4c3b48325d6513ca642aaf802ac9acfab7e2a3b7c7e0b4eea6a58a,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,22,187,22,https://historico.conaliteg.gob.mx/c/H1993P4HI198/022.jpg,0,source_jpeg,served_image,200,image/jpeg,104255,fbb93fc5df0e4652544b1d771e0359864d11e914f6066b1f6910505f18678117,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,23,187,23,https://historico.conaliteg.gob.mx/c/H1993P4HI198/023.jpg,0,source_jpeg,served_image,200,image/jpeg,83884,59728ed24078d967002d51ecd013b06c1b8d5d3726b0fab28db961992d824967,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,24,187,24,https://historico.conaliteg.gob.mx/c/H1993P4HI198/024.jpg,0,source_jpeg,served_image,200,image/jpeg,89714,669f44507b416a11acffe2f897f4d372d3d464f4e4ca48152330e133db063b30,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,25,187,25,https://historico.conaliteg.gob.mx/c/H1993P4HI198/025.jpg,0,source_jpeg,served_image,200,image/jpeg,83979,24775909a963efcc03daa7663bbfae1f26af9eea302c34c3fe7ea22e2034cfaa,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,26,187,26,https://historico.conaliteg.gob.mx/c/H1993P4HI198/026.jpg,0,source_jpeg,served_image,200,image/jpeg,68383,bd9ae786680d3bbf03706c7b763eef0a0dbeda64fa2f45b265a26c9de4e38d7b,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,27,187,27,https://historico.conaliteg.gob.mx/c/H1993P4HI198/027.jpg,0,source_jpeg,served_image,200,image/jpeg,132294,ef091d27f4e4ee041ce0165caf0282d0451a7824855a1ae306773b090bd9ae2e,1,
