recovery_version,viewer_key,viewer_page,original_source_asset_url,original_asset_status,original_http_status,recovery_reference_viewer_key,effective_source_asset_url,effective_sha256,effective_byte_size,live_sha256,live_byte_size,fetch_attempts,error,candidate_live_verified,same_position_served_target_pages_exact,live_neighbor_anchor_count,recovery_status
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,H2008P4GE273,70,https://historico.conaliteg.gob.mx/c/H2008P4GE273/070.jpg,internal_unserved,404,H1993P4GE196,https://historico.conaliteg.gob.mx/c/H1993P4GE196/070.jpg,2beb7f4e45328a039762e51aa4f3a5aa38ff495bc340adbbbc1a942c5257bf8c,89717,2beb7f4e45328a039762e51aa4f3a5aa38ff495bc340adbbbc1a942c5257bf8c,89717,1,,1,159,20,cryptographically_recovered_same_position_reference
LTMD_U1_W6_H2008P4GE273_GAP_RECOVERY_0.1,H2008P4GE273,117,https://historico.conaliteg.gob.mx/c/H2008P4GE273/117.jpg,internal_unserved,404,H1993P4GE196,https://historico.conaliteg.gob.mx/c/H1993P4GE196/117.jpg,f7eff3d623db1dc2a3708f75ee06ba966e3524147b7abed1a05b277ee949278f,98913,f7eff3d623db1dc2a3708f75ee06ba966e3524147b7abed1a05b277ee949278f,98913,1,,1,159,20,cryptographically_recovered_same_position_reference
