snapshot_version,observed_utc,viewer_key,catalog_generation,grade_code,title_core,source_decision,reason_code,declared_positions_gate,ag_pages_live,claves_json_sha256,claves_json_content_type,viewer_url,viewer_http_status,viewer_content_type,viewer_byte_size,viewer_sha256,viewer_html_title,viewer_present,configuration_present
LTMD_U1_W7_WITHHELD_VIEWER_PRESENCE_0.1,2026-08-31T19:39:23.438705+00:00,H2014P5FCA,2014,5,Formación Cívica y Ética,withheld_source_gap,isolated_internal_unserved,225,225,7fb55e583ee5190fd2153d95764426114f86946ea93d8545c07d5f03d7674037,application/json,https://historico.conaliteg.gob.mx/H2014P5FCA.htm,200,text/html,4800,d50b0d52a39594a90dd642fb92b8bede70c2810cec4930b7fcfcc5c2a2e99055,Formación Cívica y Ética Grado 5° Generación 2014 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1
LTMD_U1_W7_WITHHELD_VIEWER_PRESENCE_0.1,2026-08-31T19:39:23.438705+00:00,H2018P3FCA,2018,3,Formación Cívica y Ética,withheld_source_subtree_unserved,official_route_sample_3of3_404,114,114,7fb55e583ee5190fd2153d95764426114f86946ea93d8545c07d5f03d7674037,application/json,https://historico.conaliteg.gob.mx/H2018P3FCA.htm,200,text/html,4969,fda108c0e226f6eab970b6b250b95448fe893fb0fd96fe07777cb04ea1211dd9,Formación Cívica y Ética.. Grado 3° Generación 2018 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1
LTMD_U1_W7_WITHHELD_VIEWER_PRESENCE_0.1,2026-08-31T19:39:23.438705+00:00,H2018P4FCA,2018,4,Formación Cívica y Ética,withheld_source_subtree_unserved,official_route_sample_3of3_404,130,130,7fb55e583ee5190fd2153d95764426114f86946ea93d8545c07d5f03d7674037,application/json,https://historico.conaliteg.gob.mx/H2018P4FCA.htm,200,text/html,4969,0293019f55e7418bb755aba04d6a3a54488f9d60244bb23c7dd24918a27e464f,Formación Cívica y Ética.. Grado 4° Generación 2018 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1
LTMD_U1_W7_WITHHELD_VIEWER_PRESENCE_0.1,2026-08-31T19:39:23.438705+00:00,H2018P5FCA,2018,5,Formación Cívica y Ética,withheld_source_subtree_unserved,official_route_sample_3of3_404,226,226,7fb55e583ee5190fd2153d95764426114f86946ea93d8545c07d5f03d7674037,application/json,https://historico.conaliteg.gob.mx/H2018P5FCA.htm,200,text/html,4978,86485f5ee8e1b22dadcdaa6842430cc1ea665489190d640773cb0cb582313b91,Formación Cívica y Ética .. Grado 5° Generación 2018 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1
LTMD_U1_W7_WITHHELD_VIEWER_PRESENCE_0.1,2026-08-31T19:39:23.438705+00:00,H2018P6FCA,2018,6,Formación Cívica y Ética,withheld_source_subtree_unserved,official_route_sample_3of3_404,210,210,7fb55e583ee5190fd2153d95764426114f86946ea93d8545c07d5f03d7674037,application/json,https://historico.conaliteg.gob.mx/H2018P6FCA.htm,200,text/html,4969,02c1b10eeb0a316fdd2c7136a9eaa1cda23dbb6396b8f79923da25dfd2e2790a,Formación Cívica y Ética.. Grado 6° Generación 2018 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1
