coverage_version,wave_priority,wave_label,queue_status,operational_domain,viewer_key,catalog_generation,grade_code,title_core,asset_status,effective_fragseg_coverage,coverage_inherited_from_viewer,source_url
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P3MA189,1993,3,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P3MA189.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1993P4CI191,1993,4,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H1993P4CI191.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P4MA199,1993,4,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P4MA199.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1993P5CI200,1993,5,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H1993P5CI200.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P5MA207,1993,5,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P5MA207.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P5MA208,1993,5,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P5MA208.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1993P6CI209,1993,6,Ciencias Naturales y desarrollo humano,full_direct_processed,1,,https://historico.conaliteg.gob.mx/H1993P6CI209.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1993P6CI210,1993,6,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H1993P6CI210.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P6MA247,1993,6,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P6MA247.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P6MA248,1993,6,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P6MA248.htm
