classifier_version,viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P2MA005,114,21,77,5,0,3,1,7
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P3ES006,210,56,111,18,0,6,2,17
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P3HI010,130,80,40,5,0,1,1,3
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P3MA011,194,88,76,5,0,9,2,14
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P3MA012,218,63,128,4,0,10,1,12
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P4ES014,234,78,114,13,0,2,3,24
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P4HI017,194,167,16,4,0,0,4,3
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P4MA018,154,45,83,15,0,1,3,7
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P4MA019,210,156,36,6,1,5,3,3
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P5MA020,258,96,112,9,0,5,4,32
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1960P5MA021,210,165,24,5,0,8,2,6
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P2MA349,114,26,71,3,0,3,3,8
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3ES351,210,61,110,16,0,7,3,13
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3HI354,130,83,36,4,0,1,3,3
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3MA355,218,72,116,4,0,10,3,13
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3MA356,210,106,84,2,0,10,3,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3MA357,194,87,83,5,0,9,1,9
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P4ES359,234,84,109,13,0,3,4,21
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P4HI361,192,171,12,4,0,0,4,1
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P4MA362,162,45,87,10,0,2,4,14
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P4MA363,226,164,45,2,1,5,4,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P5HI369,130,28,88,3,0,1,5,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P5HI370,226,187,24,5,0,2,4,4
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P5MA371,258,104,108,4,0,4,4,34
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P5MA372,226,178,31,5,0,7,4,1
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P5MA373,210,155,33,5,0,8,2,7
