book_id,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
LTMD-CN3-G2008,178,110,42,10,0,6,3,7
LTMD-CN4-G2008,177,126,19,15,0,10,2,5
ALL,355,236,61,25,0,16,5,12
