inventory_version,catalog_generation,viewer_count,declared_positions
LTMD_U1_W4_DECLARED_INVENTORY_0.1,1972,6,1060
LTMD_U1_W4_DECLARED_INVENTORY_0.1,1982,3,563
LTMD_U1_W4_DECLARED_INVENTORY_0.1,1988,4,634
LTMD_U1_W4_DECLARED_INVENTORY_0.1,2008,1,171
LTMD_U1_W4_DECLARED_INVENTORY_0.1,ALL,14,2428
