admissibility_version,book_id,viewer_key,catalog_generation,grade_code,title_core,identity_reconciliation_state,source_admissible,source_status,source_reason,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,direct_asset_ready,semantic_state,alias_state,source_url
LTMD_U1_W9_EDUCACION_FISICA_SOURCE_ADMISSIBILITY_0.1,H2008P1ED252,H2008P1ED252,2008,1,EDUCACION FISICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,115,114,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2008P1ED252.htm
LTMD_U1_W9_EDUCACION_FISICA_SOURCE_ADMISSIBILITY_0.1,H2008P2ED260,H2008P2ED260,2008,2,EDUCACION FISICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,107,106,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2008P2ED260.htm
LTMD_U1_W9_EDUCACION_FISICA_SOURCE_ADMISSIBILITY_0.1,H2008P5ED280,H2008P5ED280,2008,5,EDUCACIÓN FÍSICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,115,114,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2008P5ED280.htm
LTMD_U1_W9_EDUCACION_FISICA_SOURCE_ADMISSIBILITY_0.1,H2008P6ED287,H2008P6ED287,2008,6,EDUCACIÓN FÍSICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,115,114,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2008P6ED287.htm
