inventory_version,catalog_generation,viewer_count,declared_positions
LTMD_U1_W10_DECLARED_INVENTORY_0.1,1960,11,2137
LTMD_U1_W10_DECLARED_INVENTORY_0.1,1966,19,3639
LTMD_U1_W10_DECLARED_INVENTORY_0.1,1972,2,358
LTMD_U1_W10_DECLARED_INVENTORY_0.1,1993,32,5214
LTMD_U1_W10_DECLARED_INVENTORY_0.1,2008,1,163
LTMD_U1_W10_DECLARED_INVENTORY_0.1,2011,2,332
LTMD_U1_W10_DECLARED_INVENTORY_0.1,2014,2,331
LTMD_U1_W10_DECLARED_INVENTORY_0.1,ALL,69,12174
