audit_version,source_book_id,source_viewer_key,source_target_page,candidate_viewer_key,candidate_generation,candidate_offset,anchor_count_available,anchor_count_compared,anchor_hash_matches,anchor_hash_mismatches,candidate_target_page,candidate_target_reachable,candidate_target_sha256,candidate_target_byte_size,decision
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H1993P3CI153,1993,-1,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H1993P3CI153,1993,0,6,6,6,0,94,1,024dcfc2426b2d69f156a5efe42f7d8e9c8bd68ebe3c35464b7ef48732f246d9,80036,accepted_cryptographic_alignment
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H1993P3CI153,1993,1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H1993P3CI153,1993,2,6,2,0,2,96,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H1993P3CI153,1993,3,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2011P3CI307,2011,-3,6,2,0,2,91,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2011P3CI307,2011,-2,6,2,0,2,92,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2011P3CI307,2011,-1,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2011P3CI307,2011,0,6,2,0,2,94,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2011P3CI307,2011,1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2011P3CI307,2011,2,6,2,0,2,96,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2011P3CI307,2011,3,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2014P3CNA,2014,-3,6,2,0,2,91,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2014P3CNA,2014,-2,6,2,0,2,92,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2014P3CNA,2014,-1,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2014P3CNA,2014,0,6,2,0,2,94,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2014P3CNA,2014,1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2014P3CNA,2014,2,6,2,0,2,96,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2014P3CNA,2014,3,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2018P3CNA,2018,-3,6,2,0,2,91,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2018P3CNA,2018,-2,6,2,0,2,92,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2018P3CNA,2018,-1,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2018P3CNA,2018,0,6,2,0,2,94,0,,,rejected_anchor_screen
