analysis_version,text_sha256,token_count,char_count,occurrence_count,viewer_count,catalog_generation_count,grade_count,first_fragment_id
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,07596f19dc0cb28c855858990484dd2eec54e4b015465a2c3cfcbe9c847a7fcb,1,8,3,3,1,3,U1-H2008P1ED252-P112-F007
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,18f5384d58bcb1bba0bcd9e6a6781d1a6ac2cc280c330ecbab6cb7931b721552,1,1,3,2,1,2,U1-H2008P5ED280-P065-F005
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,1da51b8d8ff98f6a48f80ae79fe3ca6c26e1abb7b7d125259255d6d2b875ea08,1,2,3,3,1,3,U1-H2008P1ED252-P091-F008
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,222a093369b096ebb012fb9d5ba885d7187f9634b3770a673a0fa16855ee54a2,1,9,3,1,1,1,U1-H2008P2ED260-P033-F005
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,23f663630e2f28250c09d7a0c370f55eebf635772f9ce27e46797ab8ef297f4b,1,2,3,2,1,2,U1-H2008P2ED260-P103-F011
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,267c23695b6e8fc29bd88b9f5d1962d3d208fa9c2fafd974614e6ab3b84fa55c,1,2,3,3,1,3,U1-H2008P1ED252-P111-F010
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,38a8503090e5e282c62138df6c9a6f69d44da34adb2b287bfcb05d65f876e7e2,12,79,3,1,1,1,U1-H2008P6ED287-P055-F015
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,3a11228cb39dd6567ee8bd759157fdad805718aa9b835090058d2a43825057bb,1,1,3,2,1,2,U1-H2008P2ED260-P041-F004
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,3f79bb7b435b05321651daefd374cdc681dc06faa65e374e38337b88ca046dea,1,1,3,3,1,3,U1-H2008P2ED260-P007-F014
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,4846fede3f49026f6afffa7fcbb800c8ce10a7a0b6fb36d18861e2faceff3ba6,2,20,3,3,1,3,U1-H2008P1ED252-P108-F008
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,1,2,3,2,1,2,U1-H2008P1ED252-P023-F011
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,540dd397b2d380dcc3f59796c4facc43379929f1a3b5e6cc9a218274391b635b,1,2,3,3,1,3,U1-H2008P1ED252-P111-F014
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,5cfc1d6091c5684bcf0288d7cce6dd0723004c36ffca668b40ee70714fdb807a,2,10,3,1,1,1,U1-H2008P6ED287-P057-F002
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,5ea520900c3ccd183abb3936f1462ded76ca7fbffef45b89e736c09e276c0f98,8,56,3,3,1,3,U1-H2008P1ED252-P107-F009
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25,1,2,3,3,1,3,U1-H2008P1ED252-P037-F003
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d,1,2,3,3,1,3,U1-H2008P1ED252-P092-F007
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,9e3dc96b1ebf49092e88680ce390be6f0ec096a7607c770b74ab24cd02aefbed,3,26,3,3,1,3,U1-H2008P1ED252-P112-F003
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,a68b412c4282555f15546cf6e1fc42893b7e07f271557ceb021821098dd66c1b,1,2,3,3,1,3,U1-H2008P1ED252-P064-F003
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,b1993cd414bd1f922f8d1db85f1c72d7db9f238ccc99a3fd4cdf9f1acc6bd36f,2,10,3,2,1,2,U1-H2008P5ED280-P097-F001
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc,1,2,3,3,1,3,U1-H2008P1ED252-P085-F013
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,b57f7b0db8b9b0dcbbf753480bd4bcaa97e81e41c214c0e3db85c5ae0f315546,3,22,3,1,1,1,U1-H2008P1ED252-P036-F008
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,b6cb1069c3484df57bbf6ca296030eacc3d0d9121da1be9358cb3c92d3257975,1,3,3,3,1,3,U1-H2008P1ED252-P112-F001
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,b8b7f7935dc857b7a8d61c3f28b844d05bc26441db7aa8e55579fee96aa9e3e8,8,53,3,3,1,3,U1-H2008P1ED252-P107-F002
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,bbb965ab0c80d6538cf2184babad2a564a010376712012bd07b0af92dcd3097d,1,2,3,3,1,3,U1-H2008P1ED252-P083-F009
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,bd31b67845fc504f7d4d89518f1d836fff36c31af1bc0cf7b3d95728615bafa1,7,47,3,3,1,3,U1-H2008P1ED252-P108-F009
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,bd43c62d6ccc0ceb731444123576f0ee21f5f66bfd673edacd95e52e724b4fa6,1,2,3,1,1,1,U1-H2008P2ED260-P022-F009
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,c092d1ce7f55becf78108db6dc4b1fd9bcbfee27e3ea2b07bbe260a3f0f62228,9,56,3,3,1,3,U1-H2008P1ED252-P108-F003
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,c106367c7fb9ac21f093c6e3d30e4b4d1e98c952fe371bec4c08cdf98e355c0a,3,15,3,1,1,1,U1-H2008P2ED260-P041-F014
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,c4694f2e93d5c4e7d51f9c5deb75e6cc8be5e1114178c6a45b6fc2c566a0aa8c,1,1,3,2,1,2,U1-H2008P2ED260-P065-F017
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,c977dbe785221d34114d345fdf8ff4e18bb4af66750751dbea29407f9738735f,1,2,3,2,1,2,U1-H2008P1ED252-P111-F006
LTMD_U1_W9_EDUCACION_FISICA_EXACT_REUSE_0.1,e3aa996ca878af20ffd548e64d2c8f591a972e99428ef0bf7672c02a9a8bbfa9,10,68,3,3,1,3,U1-H2008P1ED252-P108-F007
