ocr_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1966P6HI380,1966,6,MI LIBRO DE HISTORIA Y CIVISMO,direct_canonical,258,258,258,0,0,64902,488176
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1966P6MA381,1966,6,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA,direct_canonical,130,130,130,0,0,20048,102348
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1966P6MA382,1966,6,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA,direct_canonical,162,162,159,3,0,15301,77111
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1972P1CI059,1972,1,"CIENCIAS NATURALES, CIENCIAS SOCIALES",direct_canonical,130,130,128,2,0,3142,13777
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1972P3CI071,1972,3,CIENCIAS NATURALES-CIENCIAS SOCIALES,direct_canonical,226,226,226,0,0,27111,155843
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI157,1993,3,Aguascalientes. Historia y Geografía,direct_canonical,162,162,162,0,0,24985,133140
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI158,1993,3,Baja California. Historia y Geografía,direct_canonical,162,162,158,4,0,10610,87997
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI159,1993,3,Baja California Sur. Historia y Geografía,direct_canonical,160,160,159,1,0,20507,115457
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI160,1993,3,Campeche. Historia y Geografía,direct_canonical,162,162,162,0,0,24160,123511
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI161,1993,3,Chiapas. Historia y Geografía,direct_canonical,162,162,161,1,0,18859,141970
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI162,1993,3,Chihuahua. Historia y Geografía,direct_canonical,162,162,162,0,0,23816,142224
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI163,1993,3,Distrito Federal. Historia y Geografía,direct_canonical,162,162,162,0,0,24581,196821
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI164,1993,3,Coahuila. Historia y Geografía,direct_canonical,162,162,162,0,0,23352,151174
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI165,1993,3,Colima. Historia y Geografía,direct_canonical,162,162,162,0,0,24223,135040
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI166,1993,3,Durango. Historia y Geografía,direct_canonical,162,162,162,0,0,27205,153616
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI167,1993,3,Guanajuato. Historia y Geografía,direct_canonical,162,162,162,0,0,29967,166717
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI168,1993,3,Guerrero. Historia y Geografía,direct_canonical,160,160,160,0,0,21951,116982
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI169,1993,3,Hidalgo. Historia y Geografía,direct_canonical,162,162,162,0,0,21517,108852
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI170,1993,3,Jalisco. Historia y Geografía,direct_canonical,162,162,162,0,0,25610,168411
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI171,1993,3,México. Historia y Geografía,direct_canonical,162,162,162,0,0,25757,148769
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI172,1993,3,Michoacán. Historia y Geografía,direct_canonical,162,162,161,1,0,24711,139402
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI173,1993,3,Morelos. Historia y Geografía,direct_canonical,162,162,162,0,0,25744,176125
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI174,1993,3,Nayarit. Historia y Geografía,direct_canonical,162,162,162,0,0,22214,120294
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI175,1993,3,Nuevo León. Historia y Geografía,direct_canonical,162,162,162,0,0,24823,125036
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI176,1993,3,Oaxaca. Historia y Geografía,direct_canonical,162,162,162,0,0,25168,145433
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI177,1993,3,Puebla. Historia y Geografía,direct_canonical,162,162,162,0,0,25915,164434
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI178,1993,3,Querétaro. Historia y Geografía,direct_canonical,162,162,162,0,0,21545,134559
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI179,1993,3,Quintana Roo. Historia y Geografía,direct_canonical,162,162,162,0,0,27230,177200
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI180,1993,3,San Luis Potosí. Historia y Geografía,direct_canonical,162,162,162,0,0,27053,181421
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI181,1993,3,Sinaloa. Historia y Geografía,direct_canonical,162,162,162,0,0,19843,126549
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI182,1993,3,Sonora. Historia y Geografía,direct_canonical,162,162,161,1,0,26202,129056
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI183,1993,3,Tabasco. Historia y Geografía,direct_canonical,162,162,162,0,0,22750,143858
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI184,1993,3,Tamaulipas. Historia y Geografía,direct_canonical,162,162,162,0,0,26436,138058
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI185,1993,3,Tlaxcala. Historia y Geografía,direct_canonical,162,162,162,0,0,21881,200712
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI186,1993,3,Veracruz. Historia y Geografía,direct_canonical,162,162,162,0,0,24605,182547
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI187,1993,3,Yucatán. Historia y Geografía,direct_canonical,162,162,160,2,0,11582,59536
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1993P3HI188,1993,3,Zacatecas. Historia y Geografía,direct_canonical,164,164,164,0,0,23368,141618
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H2008P1CI249,2008,1,EXPLORACION DE LA NATURALEZA Y LA SOCIEDAD,direct_canonical,162,162,160,2,0,9403,57362
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H2011P1CI293,2011,1,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,direct_canonical,169,169,168,1,0,14167,73459
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H2011P2CI300,2011,2,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,direct_canonical,161,161,159,2,0,15916,77991
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H2014P2ENA,2014,2,Exploración de la Naturaleza y la Sociedad,direct_canonical,161,161,160,1,0,17970,102672
