batch_plan_version,batch_id,batch_global_order,catalog_generation,batch_sequence,viewer_key,grade_code,title_core,declared_positions,batch_declared_positions,source_url
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1982-B01,5,1982,3,H1982P3ES105,3,ESPAÑOL LECTURAS,115,2149,https://historico.conaliteg.gob.mx/H1982P3ES105.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1982-B01,5,1982,4,H1982P4ES385,4,ESPAÑOL EJERCICIOS,227,2149,https://historico.conaliteg.gob.mx/H1982P4ES385.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1982-B01,5,1982,5,H1982P4ES386,4,ESPAÑOL LECTURAS,131,2149,https://historico.conaliteg.gob.mx/H1982P4ES386.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1982-B01,5,1982,6,H1982P4ES387,4,ESPAÑOL EJERCICIOS Y LECTURAS,323,2149,https://historico.conaliteg.gob.mx/H1982P4ES387.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1982-B01,5,1982,7,H1982P5ES391,5,ESPAÑOL EJERCICIOS,291,2149,https://historico.conaliteg.gob.mx/H1982P5ES391.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1982-B01,5,1982,8,H1982P5ES392,5,ESPAÑOL,291,2149,https://historico.conaliteg.gob.mx/H1982P5ES392.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1982-B01,5,1982,9,H1982P5ES393,5,ESPAÑOL LECTURAS,129,2149,https://historico.conaliteg.gob.mx/H1982P5ES393.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1982-B01,5,1982,10,H1982P6ES397,6,ESPAÑOL EJERCICIOS,179,2149,https://historico.conaliteg.gob.mx/H1982P6ES397.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1982-B01,5,1982,11,H1982P6ES398,6,ESPAÑOL LECTURAS,105,2149,https://historico.conaliteg.gob.mx/H1982P6ES398.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1988-B01,6,1988,1,H1988P2ES114,2,ESPAÑOL LECTURAS,145,1472,https://historico.conaliteg.gob.mx/H1988P2ES114.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1988-B01,6,1988,2,H1988P3ES116,3,ESPAÑOL EJERCICIOS,211,1472,https://historico.conaliteg.gob.mx/H1988P3ES116.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1988-B01,6,1988,3,H1988P3ES117,3,ESPAÑOL LECTURA,115,1472,https://historico.conaliteg.gob.mx/H1988P3ES117.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1988-B01,6,1988,4,H1988P4ES121,4,"ESPAÑOL, EJERCICIOS Y LECTURAS",321,1472,https://historico.conaliteg.gob.mx/H1988P4ES121.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1988-B01,6,1988,5,H1988P5ES125,5,ESPAÑOL EJERCICIOS,195,1472,https://historico.conaliteg.gob.mx/H1988P5ES125.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1988-B01,6,1988,6,H1988P5ES126,5,ESPAÑOL LECTURA,131,1472,https://historico.conaliteg.gob.mx/H1988P5ES126.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1988-B01,6,1988,7,H1988P6ES131,6,ESPAÑOL EJERCICIOS,239,1472,https://historico.conaliteg.gob.mx/H1988P6ES131.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1988-B01,6,1988,8,H1988P6ES132,6,ESPAN?OL LECTURAS,115,1472,https://historico.conaliteg.gob.mx/H1988P6ES132.htm
