scope_version,viewer_key,catalog_generation,grade_code,title_core,source_url,operational_domain,documentary_disposition,retention_class,tracking_issue,source_probe_eligible
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1966P5HI369,1966,5,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,https://historico.conaliteg.gob.mx/H1966P5HI369.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1966P5HI370,1966,5,MI LIBRO DE HISTORIA Y CIVISMO,https://historico.conaliteg.gob.mx/H1966P5HI370.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1966P5MA371,1966,5,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,https://historico.conaliteg.gob.mx/H1966P5MA371.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1966P5MA372,1966,5,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,https://historico.conaliteg.gob.mx/H1966P5MA372.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1966P5MA373,1966,5,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",https://historico.conaliteg.gob.mx/H1966P5MA373.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1966P6HI379,1966,6,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,https://historico.conaliteg.gob.mx/H1966P6HI379.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1966P6HI380,1966,6,MI LIBRO DE HISTORIA Y CIVISMO,https://historico.conaliteg.gob.mx/H1966P6HI380.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1966P6MA381,1966,6,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA,https://historico.conaliteg.gob.mx/H1966P6MA381.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1966P6MA382,1966,6,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA,https://historico.conaliteg.gob.mx/H1966P6MA382.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1972P1CI059,1972,1,"CIENCIAS NATURALES, CIENCIAS SOCIALES",https://historico.conaliteg.gob.mx/H1972P1CI059.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1972P3CI071,1972,3,CIENCIAS NATURALES-CIENCIAS SOCIALES,https://historico.conaliteg.gob.mx/H1972P3CI071.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI157,1993,3,Aguascalientes. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI157.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI158,1993,3,Baja California. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI158.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI159,1993,3,Baja California Sur. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI159.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI160,1993,3,Campeche. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI160.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI161,1993,3,Chiapas. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI161.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI162,1993,3,Chihuahua. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI162.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI163,1993,3,Distrito Federal. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI163.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI164,1993,3,Coahuila. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI164.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI165,1993,3,Colima. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI165.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI166,1993,3,Durango. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI166.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI167,1993,3,Guanajuato. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI167.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI168,1993,3,Guerrero. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI168.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI169,1993,3,Hidalgo. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI169.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI170,1993,3,Jalisco. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI170.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI171,1993,3,México. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI171.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI172,1993,3,Michoacán. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI172.htm,integrados_multiarea,required_ftrl_processing,,,1
