audit_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P5MA373,1966,5,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1966P5MA373,211,210,1,0,0,11439081,210,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P6HI379,1966,6,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,H1966P6HI379,131,130,1,0,0,7840888,130,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P6HI380,1966,6,MI LIBRO DE HISTORIA Y CIVISMO,H1966P6HI380,259,258,1,0,0,18900918,258,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P6MA381,1966,6,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA,H1966P6MA381,131,130,1,0,0,5988198,130,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P6MA382,1966,6,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA,H1966P6MA382,163,162,1,0,0,6866685,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1972P1CI059,1972,1,"CIENCIAS NATURALES, CIENCIAS SOCIALES",H1972P1CI059,131,130,1,0,0,6730603,130,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1972P3CI071,1972,3,CIENCIAS NATURALES-CIENCIAS SOCIALES,H1972P3CI071,227,226,1,0,0,12347831,226,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI157,1993,3,Aguascalientes. Historia y Geografía,H1993P3HI157,163,162,1,0,0,11492932,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI158,1993,3,Baja California. Historia y Geografía,H1993P3HI158,163,162,1,0,0,9896074,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI159,1993,3,Baja California Sur. Historia y Geografía,H1993P3HI159,161,160,1,0,0,10006678,160,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI160,1993,3,Campeche. Historia y Geografía,H1993P3HI160,163,162,1,0,0,11192128,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI161,1993,3,Chiapas. Historia y Geografía,H1993P3HI161,163,162,1,0,0,10707233,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI162,1993,3,Chihuahua. Historia y Geografía,H1993P3HI162,163,162,1,0,0,11253118,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI163,1993,3,Distrito Federal. Historia y Geografía,H1993P3HI163,163,162,1,0,0,11456187,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI164,1993,3,Coahuila. Historia y Geografía,H1993P3HI164,163,162,1,0,0,10643803,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI165,1993,3,Colima. Historia y Geografía,H1993P3HI165,163,162,1,0,0,11278079,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI166,1993,3,Durango. Historia y Geografía,H1993P3HI166,163,162,1,0,0,12320828,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI167,1993,3,Guanajuato. Historia y Geografía,H1993P3HI167,163,162,1,0,0,11218818,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI168,1993,3,Guerrero. Historia y Geografía,H1993P3HI168,161,160,1,0,0,11354620,160,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI169,1993,3,Hidalgo. Historia y Geografía,H1993P3HI169,163,162,1,0,0,11299437,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI170,1993,3,Jalisco. Historia y Geografía,H1993P3HI170,163,162,1,0,0,11638401,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI171,1993,3,México. Historia y Geografía,H1993P3HI171,163,162,1,0,0,11260992,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI172,1993,3,Michoacán. Historia y Geografía,H1993P3HI172,163,162,1,0,0,12212384,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI173,1993,3,Morelos. Historia y Geografía,H1993P3HI173,163,162,1,0,0,11286712,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI174,1993,3,Nayarit. Historia y Geografía,H1993P3HI174,163,162,1,0,0,11765624,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI175,1993,3,Nuevo León. Historia y Geografía,H1993P3HI175,163,162,1,0,0,11618285,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI176,1993,3,Oaxaca. Historia y Geografía,H1993P3HI176,163,162,1,0,0,10703962,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI177,1993,3,Puebla. Historia y Geografía,H1993P3HI177,163,162,1,0,0,12784568,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI178,1993,3,Querétaro. Historia y Geografía,H1993P3HI178,163,162,1,0,0,10459245,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI179,1993,3,Quintana Roo. Historia y Geografía,H1993P3HI179,163,162,1,0,0,12123262,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI180,1993,3,San Luis Potosí. Historia y Geografía,H1993P3HI180,163,162,1,0,0,11619845,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI181,1993,3,Sinaloa. Historia y Geografía,H1993P3HI181,163,162,1,0,0,10539537,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI182,1993,3,Sonora. Historia y Geografía,H1993P3HI182,163,162,1,0,0,10607087,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI183,1993,3,Tabasco. Historia y Geografía,H1993P3HI183,163,162,1,0,0,11030350,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI184,1993,3,Tamaulipas. Historia y Geografía,H1993P3HI184,163,162,1,0,0,11300799,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI185,1993,3,Tlaxcala. Historia y Geografía,H1993P3HI185,163,162,1,0,0,11457444,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI186,1993,3,Veracruz. Historia y Geografía,H1993P3HI186,163,162,1,0,0,12440287,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI187,1993,3,Yucatán. Historia y Geografía,H1993P3HI187,163,162,1,0,0,10372666,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1993P3HI188,1993,3,Zacatecas. Historia y Geografía,H1993P3HI188,165,164,1,0,0,11962186,164,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H2008P1CI249,2008,1,EXPLORACION DE LA NATURALEZA Y LA SOCIEDAD,H2008P1CI249,163,162,1,0,0,61402057,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H2011P1CI293,2011,1,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,H2011P1CI293,170,169,1,0,0,24074231,158,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H2011P2CI300,2011,2,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,H2011P2CI300,162,161,1,0,0,51802727,161,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H2014P1ENA,2014,1,Exploración de la Naturaleza y la Sociedad,H2014P1ENA,169,168,0,1,0,95990850,168,0
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H2014P2ENA,2014,2,Exploración de la Naturaleza y la Sociedad,H2014P2ENA,162,161,1,0,0,87726329,161,1
