analysis_version,text_sha256,token_count,char_count,occurrence_count,viewer_count,catalog_generation_count,grade_count,first_fragment_id
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,062a9c40fbef2a3facde2ed90524b28e3c557e97f10096d2b25db907ae4fffed,13,84,10,10,3,4,U1-H2011P3ED309-P095-F001
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,220b106dc0a2aa3b82ca145909c64cb97ffab221877b77ee7b2ac75771e9862e,1,6,10,10,3,5,U1-H2008P2ED259-P096-F006
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,267c23695b6e8fc29bd88b9f5d1962d3d208fa9c2fafd974614e6ab3b84fa55c,1,2,10,7,2,5,U1-H2008P2ED259-P095-F007
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,39cbff80c5e92c861b3c3ae0e62b2f0593ceedc4ae55a785c8407167d087390c,2,20,10,10,4,6,U1-H2008P2ED259-P094-F001
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,1,1,10,5,4,2,U1-H2008P2ED259-P019-F013
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,07596f19dc0cb28c855858990484dd2eec54e4b015465a2c3cfcbe9c847a7fcb,1,8,9,9,3,4,U1-H2008P5ED279-P104-F007
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,3f39ca6ca11f5c2af2e4e0f99ffd1d7cd4b1ce9019510b2ca83cb55e4588c672,2,11,9,5,2,4,U1-H2011P5ED327-P096-F013
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,46f6f586d1e23d24fc9b26148d3ab86c9a5d1f6fe1ee6128916a1e2b774998e8,4,16,9,3,2,2,U1-H2008P5ED279-P067-F002
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,4c4fa2169be471dca36f60d2d29c00bea2648b9cb74a89a5ee1d05fac7bd9888,1,8,9,9,3,4,U1-H2008P5ED279-P104-F006
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,65c74c15a686187bb6bbf9958f494fc6b80068034a659a9ad44991b08c58f2d2,1,1,9,5,3,4,U1-H2008P2ED259-P051-F010
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,c977dbe785221d34114d345fdf8ff4e18bb4af66750751dbea29407f9738735f,1,2,9,9,3,5,U1-H2011P2ED302-P053-F002
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,0901ffc506556258046b04bea03d372990cd34eae0e7fc295edbdf07693477b8,15,74,8,8,2,4,U1-H2014P3EAA-P087-F018
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,23f663630e2f28250c09d7a0c370f55eebf635772f9ce27e46797ab8ef297f4b,1,2,8,6,4,3,U1-H2008P5ED279-P103-F011
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,2f1c17f263ece23713455bad0afdfd75c24e709ab19fb80a7600f5ee545d977c,3,22,8,3,2,3,U1-H2008P5ED279-P067-F017
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,4f3a67a084e374199a16a735f20492b2f89d38fed0fb303de0fedfeb2dc946a0,8,44,8,8,2,4,U1-H2014P3EAA-P087-F007
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,63c59d98581d05b9008c99cf19f6115e17dc2c9c6b5b2bddac895b0ac3562de3,2,15,8,8,3,4,U1-H2008P5ED279-P104-F005
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,695f9b59d0e2b640c0494a3f8d0ba6df5b544f1e28acb2a4c2db1298f5a8b066,7,53,8,8,3,4,U1-H2008P5ED279-P104-F008
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,6bc54f13bea593dc5e1c8e6b16249e669d1ce99cbeac65f2a10f36e1d86f1fd4,1,2,8,6,3,4,U1-H2008P5ED279-P103-F005
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,7e92e6d426caeed627f33cc7ab60f228fcd791f3af4494318686a8e2af47f903,1,11,8,8,3,3,U1-H2011P4ED317-P036-F006
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,abf0a7b452e473e7449bcfb7e241eafa03f989a48f1996af46e98f81b1ca8c68,8,54,8,8,2,4,U1-H2014P3EAA-P087-F012
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,b6cb1069c3484df57bbf6ca296030eacc3d0d9121da1be9358cb3c92d3257975,1,3,8,8,3,5,U1-H2008P2ED259-P096-F001
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,c8dd363137bd188ea5df8942c8a22e424d5d8d6591d520721bdf2c04ed4bcfec,12,61,8,2,1,2,U1-H2011P3ED309-P023-F001
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,ed9710f434f00ce0ae3412048bedd128f64926b0ee8386b58544dc4c4eb51efd,4,22,8,3,2,2,U1-H2008P5ED279-P049-F021
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,eda916d762b6f117c6fed8445c97131d8dcee436012b804e30621fe99ceb699a,2,10,8,8,2,4,U1-H2014P3EAA-P087-F027
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,f5671de06fdb46f00974b03e79e7a58e96fd7e04b3eee6398e65d0fa0769b730,7,53,8,8,2,4,U1-H2014P3EAA-P087-F015
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,099bb21c7255821aad56e33361dc4ef47a8b7b8f6a207d9bfd6ffad73d73eedc,3,19,7,3,3,1,U1-H2008P5ED279-P022-F018
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,48f6d55b8dba7bcc68bff39907a0134b9b2248763f56ab22209c577d15c604eb,3,18,7,7,2,4,U1-H2011P3ED309-P096-F010
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,4edc541279d43729fad4e2386c6ace8cf2f107150160722348fbeb451faa6eb8,5,25,7,2,1,2,U1-H2011P3ED309-P023-F017
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,517f1260251c72bc4b53436fca572326f9bb9654784c665e154ab9709054ebe0,1,14,7,2,1,2,U1-H2011P1ED295-P037-F001
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,5e0c5ea903b9702b0c2f24ed872bd899bd5587c48c3ca617bd3052728d477881,4,29,7,7,4,3,U1-H2008P5ED279-P048-F015
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,7b5050a1373ee7735ae615bc908e4eb7ba64a30f786934a2c45c7bfca8d10c3f,1,8,7,3,2,3,U1-H2011P1ED295-P021-F008
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,7fde2ecf12ccfff62931ab0ce96d7bc252f4253d2bfee14e0ae1e9292217fb54,2,9,7,6,3,3,U1-H2011P4ED317-P036-F018
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,9b5259e6a492967ed1c87bf1b2f2ee361323ec41a3b63776d2d13924b59af23c,1,7,7,2,2,1,U1-H2008P5ED279-P033-F001
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,a1fce4363854ff888cff4b8e7875d600c2682390412a8cf79b37d0b11148b0fa,1,1,7,5,3,3,U1-H2011P3ED309-P038-F006
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,bc491918a96ae65075db56fa3e2280896c53503d5b9a6e5abfd27662d8350101,3,21,7,7,2,4,U1-H2011P3ED309-P096-F011
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,bf9a2b983b41928a9b74ed63d8e17961c331421d1371ea7ec7ee1deb497d0eb3,3,20,7,2,2,1,U1-H2008P5ED279-P049-F017
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,e3b7e7a038be142c2a042fc1f7374d00fe4caaf7b6b65a3175e33d11644b7499,1,3,7,7,2,4,U1-H2014P3EAA-P087-F028
