admissibility_version,book_id,viewer_key,catalog_generation,grade_code,title_core,identity_reconciliation_state,source_admissible,source_status,source_reason,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,direct_asset_ready,semantic_state,alias_state,source_url
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2008P2ED259,H2008P2ED259,2008,2,EDUCACIÓN ARTÍSTICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,99,98,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2008P2ED259.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2008P5ED279,H2008P5ED279,2008,5,EDUCACIÓN ARTÍSTICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,107,106,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2008P5ED279.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2011P1ED295,H2011P1ED295,2011,1,EDUCACIÓN ARTÍSTICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,82,81,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2011P1ED295.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2011P2ED302,H2011P2ED302,2011,2,EDUCACIÓN ARTÍSTICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,90,89,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2011P2ED302.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2011P3ED309,H2011P3ED309,2011,3,EDUCACIÓN ARTÍSTICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,98,97,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2011P3ED309.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2011P4ED317,H2011P4ED317,2011,4,EDUCACIÓN ARTÍSTICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,98,97,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2011P4ED317.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2011P5ED327,H2011P5ED327,2011,5,EDUCACIÓN ARTÍSTICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,98,97,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2011P5ED327.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2011P6CI337,H2011P6CI337,2011,6,EDUCACIÓN ARTÍSTICA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,98,97,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2011P6CI337.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2014P3EAA,H2014P3EAA,2014,3,Educación Artística,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,90,89,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2014P3EAA.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2014P4EAA,H2014P4EAA,2014,4,Educación Artística,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,90,89,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2014P4EAA.htm
LTMD_U1_W8_ARTES_SOURCE_ADMISSIBILITY_0.1,H2014P5EAA,H2014P5EAA,2014,5,Educación Artística,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; standard architecture; served source JPEG sequence has no internal gaps or probe errors,90,89,1,0,0,1,WAITING_HUMAN_REFERENCE,no_alias,https://historico.conaliteg.gob.mx/H2014P5EAA.htm
