scope_version,viewer_key,catalog_generation,grade_code,title_core,source_url,operational_domain
LTMD_U1_W11_OTROS_SCOPE_0.1,H1960P1ES001,1960,1,MI CUADERNO DE TRABAJO DE 1ER AÑO,https://historico.conaliteg.gob.mx/H1960P1ES001.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1960P1ES002,1960,1,MI LIBRO DE 1ER AÑO,https://historico.conaliteg.gob.mx/H1960P1ES002.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1960P2ES004,1960,2,MI LIBRO DE 2° AÑO,https://historico.conaliteg.gob.mx/H1960P2ES004.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1966P1ES346,1966,1,MI LIBRO DE 1er AÑO,https://historico.conaliteg.gob.mx/H1966P1ES346.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1966P2ES348,1966,2,MI LIBRO DE 2° AÑO,https://historico.conaliteg.gob.mx/H1966P2ES348.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P1ES096,1982,1,MI LIBRO RECORTABLE PARTE 1,https://historico.conaliteg.gob.mx/H1982P1ES096.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P1ES097,1982,1,MI LIBRO RECORTABLE PARTE 2,https://historico.conaliteg.gob.mx/H1982P1ES097.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P1ES098,1982,1,MI LIBRO PARTE 2,https://historico.conaliteg.gob.mx/H1982P1ES098.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P1ES099,1982,1,MI LIBRO PARTE 1,https://historico.conaliteg.gob.mx/H1982P1ES099.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P2ES101,1982,2,MI LIBRO PARTE 2,https://historico.conaliteg.gob.mx/H1982P2ES101.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P2ES102,1982,2,MI LIBRO DE SEGUNDO,https://historico.conaliteg.gob.mx/H1982P2ES102.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P1ES108,1988,1,"MI LIBRO DE 1°, PARTE 1",https://historico.conaliteg.gob.mx/H1988P1ES108.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P1ES109,1988,1,"MI LIBRO DE 1°, PARTE 2",https://historico.conaliteg.gob.mx/H1988P1ES109.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P1ES110,1988,1,"MI LIBRO DE 1° RECORTABLE, PARTE 1",https://historico.conaliteg.gob.mx/H1988P1ES110.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P1ES111,1988,1,"MI LIBRO DE 1°, RECORTABLE PARTE 2",https://historico.conaliteg.gob.mx/H1988P1ES111.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P2CI112,1988,2,"MI LIBRO DE 2°, PARTE 2",https://historico.conaliteg.gob.mx/H1988P2CI112.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P2CI113,1988,2,MI LIBRO DE 2° PARTE 1,https://historico.conaliteg.gob.mx/H1988P2CI113.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P1LI140,1993,1,Libro Integrado,https://historico.conaliteg.gob.mx/H1993P1LI140.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P1LI141,1993,1,Libro Integrado recortable,https://historico.conaliteg.gob.mx/H1993P1LI141.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P2LI149,1993,2,Libro Integrado,https://historico.conaliteg.gob.mx/H1993P2LI149.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P2LI150,1993,2,Libro Integrado Recortable,https://historico.conaliteg.gob.mx/H1993P2LI150.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P4CI192,1993,4,Conoce nuestra constitución,https://historico.conaliteg.gob.mx/H1993P4CI192.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI215,1993,6,MONOGRAFÍA ESTATAL AGUASCALIENTES,https://historico.conaliteg.gob.mx/H1993P6HI215.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI216,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA,https://historico.conaliteg.gob.mx/H1993P6HI216.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI217,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA SUR,https://historico.conaliteg.gob.mx/H1993P6HI217.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI218,1993,6,MONOGRAFÍA ESTATAL COAHUILA,https://historico.conaliteg.gob.mx/H1993P6HI218.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI219,1993,6,MONOGRAFÍA ESTATAL COLIMA,https://historico.conaliteg.gob.mx/H1993P6HI219.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI220,1993,6,MONOGRAFÍA ESTATAL CAMPECHE,https://historico.conaliteg.gob.mx/H1993P6HI220.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI221,1993,6,MONOGRAFÍA ESTATAL CHIAPAS,https://historico.conaliteg.gob.mx/H1993P6HI221.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI222,1993,6,MONOGRAFÍA ESTATAL CHIHUAHUA,https://historico.conaliteg.gob.mx/H1993P6HI222.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI223,1993,6,MONOGRAFÍA ESTATAL DISTRITO FEDERAL,https://historico.conaliteg.gob.mx/H1993P6HI223.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI224,1993,6,MONOGRAFÍA ESTATAL DURANGO,https://historico.conaliteg.gob.mx/H1993P6HI224.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI225,1993,6,MONOGRAFÍA ESTATAL ESTADO DE MÉXICO,https://historico.conaliteg.gob.mx/H1993P6HI225.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI226,1993,6,MONOGRAFÍA ESTATAL GUANAJUATO,https://historico.conaliteg.gob.mx/H1993P6HI226.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI227,1993,6,MONOGRAFÍA ESTATAL GUERRERO,https://historico.conaliteg.gob.mx/H1993P6HI227.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI228,1993,6,MONOGRAFÍA ESTATAL HIDALGO,https://historico.conaliteg.gob.mx/H1993P6HI228.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI229,1993,6,MONOGRAFÍA ESTATAL JALISCO,https://historico.conaliteg.gob.mx/H1993P6HI229.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI230,1993,6,MONOGRAFÍA ESTATAL MICHOACÁN,https://historico.conaliteg.gob.mx/H1993P6HI230.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI231,1993,6,MONOGRAFÍA ESTATAL MORELOS,https://historico.conaliteg.gob.mx/H1993P6HI231.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI232,1993,6,MONOGRAFÍA ESTATAL NAYARIT,https://historico.conaliteg.gob.mx/H1993P6HI232.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI233,1993,6,MONOGRAFÍA ESTATAL NUEVO LEÓN,https://historico.conaliteg.gob.mx/H1993P6HI233.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI234,1993,6,MONOGRAFÍA ESTATAL OAXACA,https://historico.conaliteg.gob.mx/H1993P6HI234.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI235,1993,6,MONOGRAFÍA ESTATAL PUEBLA,https://historico.conaliteg.gob.mx/H1993P6HI235.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI236,1993,6,MONOGRAFÍA ESTATAL QUERÉTARO,https://historico.conaliteg.gob.mx/H1993P6HI236.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI237,1993,6,MONOGRAFÍA ESTATAL QUINTANA ROO,https://historico.conaliteg.gob.mx/H1993P6HI237.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI238,1993,6,MONOGRAFÍA ESTATAL SAN LUIS POTOSÍ,https://historico.conaliteg.gob.mx/H1993P6HI238.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI239,1993,6,MONOGRAFÍA ESTATAL SINALOA,https://historico.conaliteg.gob.mx/H1993P6HI239.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI240,1993,6,MONOGRAFÍA ESTATAL SONORA,https://historico.conaliteg.gob.mx/H1993P6HI240.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI241,1993,6,MONOGRAFÍA ESTATAL TABASCO,https://historico.conaliteg.gob.mx/H1993P6HI241.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI242,1993,6,MONOGRAFÍA ESTATAL TAMAULIPAS,https://historico.conaliteg.gob.mx/H1993P6HI242.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI243,1993,6,MONOGRAFÍA ESTATAL TLAXCALA,https://historico.conaliteg.gob.mx/H1993P6HI243.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI244,1993,6,MONOGRAFÍA ESTATAL VERACRUZ,https://historico.conaliteg.gob.mx/H1993P6HI244.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI245,1993,6,MONOGRAFÍA ESTATAL YUCATÁN,https://historico.conaliteg.gob.mx/H1993P6HI245.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI246,1993,6,MONOGRAFÍA ESTATAL ZACATECAS,https://historico.conaliteg.gob.mx/H1993P6HI246.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2008P4CI270,2008,4,CONOCE NUESTRA CONSTITUCIÓN,https://historico.conaliteg.gob.mx/H2008P4CI270.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2008P5MA285,2008,5,MATEMAÁTICAS,https://historico.conaliteg.gob.mx/H2008P5MA285.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P1ED296,2011,1,EDUCACIÓN FÍSCIA,https://historico.conaliteg.gob.mx/H2011P1ED296.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P2ED303,2011,2,EDUCACIÓN FÍSCIA,https://historico.conaliteg.gob.mx/H2011P2ED303.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P3ED310,2011,3,EDUCACIÓN FÍSCIA,https://historico.conaliteg.gob.mx/H2011P3ED310.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P4CI316,2011,4,CONOCE NUESTRA CONSTITICIÓN,https://historico.conaliteg.gob.mx/H2011P4CI316.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P4ED318,2011,4,EDUCACIÓN FÍSCIA,https://historico.conaliteg.gob.mx/H2011P4ED318.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P5ED328,2011,5,EDUCACIÓN FÍSCIA,https://historico.conaliteg.gob.mx/H2011P5ED328.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P6ED338,2011,6,EDUCACIÓN FÍSCIA,https://historico.conaliteg.gob.mx/H2011P6ED338.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P1CAM,2014,1,"Material de apoyo a la alfabetización inicial, Tiras recortables y cartel con el alfabeto",https://historico.conaliteg.gob.mx/H2014P1CAM.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P1EAM,2014,1,Fichero didactico (incluye DVD),https://historico.conaliteg.gob.mx/H2014P1EAM.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P2EAM,2014,2,Fichero didactico (incluye DVD),https://historico.conaliteg.gob.mx/H2014P2EAM.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3AGS,2014,3,La entidad donde vivo Aguascalientes,https://historico.conaliteg.gob.mx/H2014P3AGS.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3BCN,2014,3,La entidad donde vivo Baja California Norte,https://historico.conaliteg.gob.mx/H2014P3BCN.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3BCS,2014,3,La entidad donde vivo Baja California Sur,https://historico.conaliteg.gob.mx/H2014P3BCS.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CAM,2014,3,La entidad donde vivo Campeche,https://historico.conaliteg.gob.mx/H2014P3CAM.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CDM,2014,3,La entidad donde vivo Ciudad de México,https://historico.conaliteg.gob.mx/H2014P3CDM.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CHH,2014,3,La entidad donde vivo Chihuahua,https://historico.conaliteg.gob.mx/H2014P3CHH.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3CHP,2014,3,La entidad donde vivo Chiapas,https://historico.conaliteg.gob.mx/H2014P3CHP.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3COA,2014,3,La entidad donde vivo Coahuila,https://historico.conaliteg.gob.mx/H2014P3COA.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3COL,2014,3,La entidad donde vivo Colima,https://historico.conaliteg.gob.mx/H2014P3COL.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3DUR,2014,3,La entidad donde vivo Durango,https://historico.conaliteg.gob.mx/H2014P3DUR.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3GRO,2014,3,La entidad donde vivo Guerrero,https://historico.conaliteg.gob.mx/H2014P3GRO.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3GTO,2014,3,La entidad donde vivo Guanajuato,https://historico.conaliteg.gob.mx/H2014P3GTO.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3HID,2014,3,La entidad donde vivo Hidalgo,https://historico.conaliteg.gob.mx/H2014P3HID.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3JAL,2014,3,La entidad donde vivo Jalisco,https://historico.conaliteg.gob.mx/H2014P3JAL.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3MEX,2014,3,La entidad donde vivo México,https://historico.conaliteg.gob.mx/H2014P3MEX.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3MIC,2014,3,La entidad donde vivo Michoacán,https://historico.conaliteg.gob.mx/H2014P3MIC.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3MOR,2014,3,La entidad donde vivo Morelos,https://historico.conaliteg.gob.mx/H2014P3MOR.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3NAY,2014,3,La entidad donde vivo Nayarit,https://historico.conaliteg.gob.mx/H2014P3NAY.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3NLE,2014,3,La entidad donde vivo Nuevo León,https://historico.conaliteg.gob.mx/H2014P3NLE.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3OAX,2014,3,La entidad donde vivo Oaxaca,https://historico.conaliteg.gob.mx/H2014P3OAX.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3PUE,2014,3,La entidad donde vivo Puebla,https://historico.conaliteg.gob.mx/H2014P3PUE.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3QRO,2014,3,La entidad donde vivo Quintana Roo,https://historico.conaliteg.gob.mx/H2014P3QRO.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3QUE,2014,3,La entidad donde vivo Querétaro,https://historico.conaliteg.gob.mx/H2014P3QUE.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3SIN,2014,3,La entidad donde vivo Sinaloa,https://historico.conaliteg.gob.mx/H2014P3SIN.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3SLP,2014,3,La entidad donde vivo San Luis Potosí,https://historico.conaliteg.gob.mx/H2014P3SLP.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3SON,2014,3,La entidad donde vivo Sonora,https://historico.conaliteg.gob.mx/H2014P3SON.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3TAB,2014,3,La entidad donde vivo Tabasco,https://historico.conaliteg.gob.mx/H2014P3TAB.htm,otros_no_clasificados
LTMD_U1_W11_OTROS_SCOPE_0.1,H2014P3TAM,2014,3,La entidad donde vivo Tamaulipas,https://historico.conaliteg.gob.mx/H2014P3TAM.htm,otros_no_clasificados
