viewer_key,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
H1960P1ES001,U1-H1960P1ES001-P046,6,7,3,1
H1960P1ES001,U1-H1960P1ES001-P102,3,4,2,1
H1960P1ES001,U1-H1960P1ES001-P117,12,13,12,1
H1960P1ES001,U1-H1960P1ES001-P119,23,24,18,1
H1960P1ES001,U1-H1960P1ES001-P121,8,9,2,1
H1960P1ES002,U1-H1960P1ES002-P086,10,11,7,1
H1960P1ES002,U1-H1960P1ES002-P188,9,12,1 5 9,3
H1960P2ES004,U1-H1960P2ES004-P036,13,14,3,1
H1960P2ES004,U1-H1960P2ES004-P039,7,8,5,1
H1960P2ES004,U1-H1960P2ES004-P068,9,10,1,1
H1960P2ES004,U1-H1960P2ES004-P071,6,7,3,1
H1960P2ES004,U1-H1960P2ES004-P076,8,10,1 3,2
H1960P2ES004,U1-H1960P2ES004-P143,8,9,5,1
H1966P1ES346,U1-H1966P1ES346-P012,5,6,5,1
H1966P1ES346,U1-H1966P1ES346-P056,6,7,4,1
H1966P1ES346,U1-H1966P1ES346-P094,10,11,1,1
H1966P1ES346,U1-H1966P1ES346-P144,8,9,1,1
H1966P1ES346,U1-H1966P1ES346-P150,6,7,3,1
H1966P1ES346,U1-H1966P1ES346-P176,5,6,3,1
H1966P1ES346,U1-H1966P1ES346-P189,46,47,44,1
H1966P1ES346,U1-H1966P1ES346-P190,42,43,31,1
H1966P2ES348,U1-H1966P2ES348-P098,8,9,2,1
H1966P2ES348,U1-H1966P2ES348-P116,20,21,1,1
H1966P2ES348,U1-H1966P2ES348-P140,14,15,1,1
H1966P2ES348,U1-H1966P2ES348-P153,5,6,1,1
H1982P1ES097,U1-H1982P1ES097-P089,7,10,1 8 9,3
H1982P1ES097,U1-H1982P1ES097-P103,4,5,4,1
H1982P1ES098,U1-H1982P1ES098-P048,11,12,10,1
H1982P1ES098,U1-H1982P1ES098-P072,9,10,8,1
H1982P1ES098,U1-H1982P1ES098-P073,7,8,7,1
H1982P1ES098,U1-H1982P1ES098-P107,14,15,11,1
H1982P1ES098,U1-H1982P1ES098-P112,14,19,5 7 12 14 16,5
H1982P1ES098,U1-H1982P1ES098-P113,16,17,7,1
H1982P1ES098,U1-H1982P1ES098-P144,4,5,4,1
H1982P1ES098,U1-H1982P1ES098-P172,5,6,1,1
H1982P1ES098,U1-H1982P1ES098-P208,10,11,4,1
H1982P1ES099,U1-H1982P1ES099-P030,4,5,3,1
H1982P1ES099,U1-H1982P1ES099-P037,2,3,2,1
H1982P1ES099,U1-H1982P1ES099-P039,4,5,3,1
H1982P1ES099,U1-H1982P1ES099-P095,1,2,1,1
H1982P1ES099,U1-H1982P1ES099-P104,4,5,2,1
H1982P2ES101,U1-H1982P2ES101-P040,14,16,10 11,2
H1982P2ES101,U1-H1982P2ES101-P056,11,13,7 11,2
H1982P2ES101,U1-H1982P2ES101-P063,13,14,7,1
H1982P2ES101,U1-H1982P2ES101-P085,12,13,10,1
H1982P2ES101,U1-H1982P2ES101-P098,15,16,15,1
H1982P2ES101,U1-H1982P2ES101-P103,11,12,8,1
H1982P2ES101,U1-H1982P2ES101-P120,12,13,11,1
H1982P2ES101,U1-H1982P2ES101-P174,3,4,3,1
H1982P2ES101,U1-H1982P2ES101-P176,12,13,10,1
H1982P2ES101,U1-H1982P2ES101-P177,19,22,3 5 10,3
H1982P2ES101,U1-H1982P2ES101-P214,15,16,12,1
H1982P2ES101,U1-H1982P2ES101-P216,8,9,5,1
H1982P2ES101,U1-H1982P2ES101-P234,10,11,10,1
H1982P2ES101,U1-H1982P2ES101-P251,12,15,5 6 11,3
H1982P2ES101,U1-H1982P2ES101-P272,11,12,9,1
H1982P2ES101,U1-H1982P2ES101-P309,15,17,8 16,2
H1982P2ES102,U1-H1982P2ES102-P077,21,22,4,1
H1982P2ES102,U1-H1982P2ES102-P079,7,11,4 5 8 9,4
H1988P1ES108,U1-H1988P1ES108-P037,4,5,2,1
H1988P1ES108,U1-H1988P1ES108-P104,4,5,2,1
H1988P1ES109,U1-H1988P1ES109-P042,9,10,4,1
H1988P1ES109,U1-H1988P1ES109-P050,11,12,10,1
H1988P1ES109,U1-H1988P1ES109-P109,14,15,11,1
H1988P1ES109,U1-H1988P1ES109-P114,11,13,7 10,2
H1988P1ES109,U1-H1988P1ES109-P146,4,5,4,1
H1988P1ES109,U1-H1988P1ES109-P210,10,11,4,1
H1988P1ES110,U1-H1988P1ES110-P077,3,4,1,1
H1988P1ES111,U1-H1988P1ES111-P113,11,14,9 10 13,3
H1988P2CI112,U1-H1988P2CI112-P017,28,29,6,1
H1988P2CI112,U1-H1988P2CI112-P040,13,15,9 10,2
H1988P2CI112,U1-H1988P2CI112-P041,10,11,5,1
H1988P2CI112,U1-H1988P2CI112-P042,9,10,6,1
H1988P2CI112,U1-H1988P2CI112-P063,11,13,10 11,2
H1988P2CI112,U1-H1988P2CI112-P099,10,11,9,1
H1988P2CI112,U1-H1988P2CI112-P124,15,16,1,1
H1988P2CI112,U1-H1988P2CI112-P146,6,7,3,1
H1988P2CI112,U1-H1988P2CI112-P164,7,8,7,1
H1988P2CI112,U1-H1988P2CI112-P176,12,14,6 11,2
H1988P2CI112,U1-H1988P2CI112-P177,12,13,3,1
H1988P2CI112,U1-H1988P2CI112-P245,5,6,1,1
H1988P2CI112,U1-H1988P2CI112-P249,10,11,6,1
H1988P2CI112,U1-H1988P2CI112-P272,9,10,7,1
H1988P2CI112,U1-H1988P2CI112-P276,9,10,9,1
H1988P2CI112,U1-H1988P2CI112-P277,8,9,4,1
H1988P2CI113,U1-H1988P2CI113-P023,5,6,4,1
H1988P2CI113,U1-H1988P2CI113-P026,20,23,6 11 20,3
H1988P2CI113,U1-H1988P2CI113-P062,11,12,11,1
H1988P2CI113,U1-H1988P2CI113-P064,9,10,6,1
H1988P2CI113,U1-H1988P2CI113-P083,15,16,15,1
H1988P2CI113,U1-H1988P2CI113-P095,17,18,5,1
H1988P2CI113,U1-H1988P2CI113-P098,10,11,6,1
H1988P2CI113,U1-H1988P2CI113-P173,15,16,11,1
H1988P2CI113,U1-H1988P2CI113-P222,14,16,8 15,2
H1988P2CI113,U1-H1988P2CI113-P223,17,21,15 17 19 20,4
H1988P2CI113,U1-H1988P2CI113-P231,7,10,3 5 7,3
H1988P2CI113,U1-H1988P2CI113-P242,10,11,9,1
H1988P2CI113,U1-H1988P2CI113-P243,7,9,4 7,2
H1988P2CI113,U1-H1988P2CI113-P250,10,11,10,1
H1988P2CI113,U1-H1988P2CI113-P262,11,12,11,1
H1988P2CI113,U1-H1988P2CI113-P283,9,11,4 8,2
H1988P2CI113,U1-H1988P2CI113-P314,16,19,6 8 12,3
H1993P1LI140,U1-H1993P1LI140-P015,1,2,1,1
H1993P1LI140,U1-H1993P1LI140-P034,4,5,2,1
H1993P1LI140,U1-H1993P1LI140-P129,8,9,8,1
H1993P1LI141,U1-H1993P1LI141-P016,4,7,2 3 4,3
H1993P2LI149,U1-H1993P2LI149-P092,4,5,1,1
H1993P4CI192,U1-H1993P4CI192-P016,10,11,10,1
H1993P4CI192,U1-H1993P4CI192-P030,8,9,7,1
H1993P4CI192,U1-H1993P4CI192-P031,8,9,4,1
H1993P6HI216,U1-H1993P6HI216-P025,10,11,5,1
H1993P6HI217,U1-H1993P6HI217-P025,14,15,14,1
H1993P6HI217,U1-H1993P6HI217-P219,14,15,8,1
H1993P6HI218,U1-H1993P6HI218-P096,6,7,1,1
H1993P6HI218,U1-H1993P6HI218-P109,8,9,7,1
H1993P6HI218,U1-H1993P6HI218-P126,7,8,4,1
H1993P6HI218,U1-H1993P6HI218-P229,10,11,10,1
H1993P6HI219,U1-H1993P6HI219-P041,8,9,6,1
H1993P6HI219,U1-H1993P6HI219-P080,16,17,13,1
H1993P6HI220,U1-H1993P6HI220-P037,5,6,3,1
H1993P6HI220,U1-H1993P6HI220-P043,7,8,3,1
H1993P6HI220,U1-H1993P6HI220-P076,14,15,7,1
H1993P6HI221,U1-H1993P6HI221-P158,8,9,5,1
H1993P6HI221,U1-H1993P6HI221-P255,61,63,1 2,2
H1993P6HI221,U1-H1993P6HI221-P259,17,18,1,1
H1993P6HI222,U1-H1993P6HI222-P014,9,10,8,1
H1993P6HI222,U1-H1993P6HI222-P032,15,16,1,1
H1993P6HI222,U1-H1993P6HI222-P096,14,15,9,1
H1993P6HI223,U1-H1993P6HI223-P020,9,10,5,1
H1993P6HI223,U1-H1993P6HI223-P044,9,10,7,1
H1993P6HI223,U1-H1993P6HI223-P106,12,13,5,1
H1993P6HI223,U1-H1993P6HI223-P187,7,8,4,1
H1993P6HI223,U1-H1993P6HI223-P214,18,19,16,1
H1993P6HI224,U1-H1993P6HI224-P197,7,8,5,1
H1993P6HI225,U1-H1993P6HI225-P127,14,15,1,1
H1993P6HI225,U1-H1993P6HI225-P130,6,7,3,1
H1993P6HI225,U1-H1993P6HI225-P157,21,22,8,1
H1993P6HI225,U1-H1993P6HI225-P180,13,14,1,1
H1993P6HI226,U1-H1993P6HI226-P007,33,34,32,1
H1993P6HI226,U1-H1993P6HI226-P036,8,9,5,1
H1993P6HI226,U1-H1993P6HI226-P197,15,16,7,1
H1993P6HI227,U1-H1993P6HI227-P154,5,6,4,1
H1993P6HI227,U1-H1993P6HI227-P188,17,18,13,1
H1993P6HI227,U1-H1993P6HI227-P236,16,18,5 14,2
H1993P6HI228,U1-H1993P6HI228-P019,10,11,1,1
H1993P6HI228,U1-H1993P6HI228-P096,8,9,5,1
H1993P6HI228,U1-H1993P6HI228-P115,8,9,6,1
H1993P6HI228,U1-H1993P6HI228-P221,12,13,6,1
H1993P6HI229,U1-H1993P6HI229-P007,37,41,8 11 26 31,4
H1993P6HI229,U1-H1993P6HI229-P071,12,13,1,1
H1993P6HI229,U1-H1993P6HI229-P156,8,9,6,1
H1993P6HI229,U1-H1993P6HI229-P162,11,12,10,1
H1993P6HI229,U1-H1993P6HI229-P170,7,8,6,1
H1993P6HI229,U1-H1993P6HI229-P195,19,20,11,1
H1993P6HI230,U1-H1993P6HI230-P105,19,20,9,1
H1993P6HI230,U1-H1993P6HI230-P265,76,77,9,1
H1993P6HI231,U1-H1993P6HI231-P038,12,13,9,1
H1993P6HI231,U1-H1993P6HI231-P129,12,13,4,1
H1993P6HI231,U1-H1993P6HI231-P146,25,26,11,1
H1993P6HI231,U1-H1993P6HI231-P265,69,70,60,1
H1993P6HI232,U1-H1993P6HI232-P153,10,11,1,1
H1993P6HI232,U1-H1993P6HI232-P159,18,19,1,1
H1993P6HI233,U1-H1993P6HI233-P089,13,14,1,1
H1993P6HI233,U1-H1993P6HI233-P132,12,13,7,1
H1993P6HI234,U1-H1993P6HI234-P019,8,9,1,1
H1993P6HI234,U1-H1993P6HI234-P061,13,14,1,1
H1993P6HI234,U1-H1993P6HI234-P158,8,9,5,1
H1993P6HI234,U1-H1993P6HI234-P166,9,10,4,1
H1993P6HI234,U1-H1993P6HI234-P194,11,16,11 12 13 14 15,5
H1993P6HI234,U1-H1993P6HI234-P271,29,30,16,1
H1993P6HI235,U1-H1993P6HI235-P007,30,32,8 11,2
H1993P6HI235,U1-H1993P6HI235-P032,7,8,1,1
H1993P6HI235,U1-H1993P6HI235-P168,11,12,3,1
H1993P6HI236,U1-H1993P6HI236-P020,6,7,1,1
H1993P6HI236,U1-H1993P6HI236-P119,10,11,1,1
H1993P6HI237,U1-H1993P6HI237-P115,26,27,9,1
H1993P6HI237,U1-H1993P6HI237-P245,5,6,1,1
H1993P6HI239,U1-H1993P6HI239-P035,11,12,9,1
H1993P6HI240,U1-H1993P6HI240-P023,12,13,11,1
H1993P6HI240,U1-H1993P6HI240-P052,5,6,4,1
H1993P6HI240,U1-H1993P6HI240-P134,10,11,8,1
H1993P6HI240,U1-H1993P6HI240-P220,12,13,3,1
H1993P6HI240,U1-H1993P6HI240-P238,16,17,16,1
H1993P6HI240,U1-H1993P6HI240-P248,23,24,5,1
H1993P6HI240,U1-H1993P6HI240-P249,28,29,4,1
H1993P6HI241,U1-H1993P6HI241-P074,17,18,3,1
H1993P6HI241,U1-H1993P6HI241-P127,7,8,6,1
H1993P6HI241,U1-H1993P6HI241-P128,10,11,1,1
H1993P6HI241,U1-H1993P6HI241-P152,10,11,7,1
