ocr_version,page_id,book_id,catalog_generation,grade,viewer_page,asset_status,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP029,U1-H1966P6CI374,1966,6,29,source_jpeg,55398,1,psm3:ok:243,3,243,1159,79.13,94.88,0.2140,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP030,U1-H1966P6CI374,1966,6,30,source_jpeg,57910,1,psm3:ok:218,3,218,1078,87.87,96.08,0.0780,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP031,U1-H1966P6CI374,1966,6,31,source_jpeg,53325,1,psm3:ok:226,3,226,964,92.48,96.25,0.0265,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP032,U1-H1966P6CI374,1966,6,32,source_jpeg,36293,1,psm3:ok:65,3,65,279,90.39,95.81,0.0462,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP033,U1-H1966P6CI374,1966,6,33,source_jpeg,49906,1,psm3:ok:118,3,118,461,81.54,95.50,0.1780,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP034,U1-H1966P6CI374,1966,6,34,source_jpeg,52693,1,psm3:ok:189,3,189,897,87.80,94.66,0.0899,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP035,U1-H1966P6CI374,1966,6,35,source_jpeg,44901,1,psm3:ok:62,3,62,317,91.95,95.57,0.0484,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP036,U1-H1966P6CI374,1966,6,36,source_jpeg,58010,1,psm3:ok:105,3,105,5077,90.77,94.86,0.0095,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP037,U1-H1966P6CI374,1966,6,37,source_jpeg,49068,1,psm3:ok:157,3,157,763,91.55,96.04,0.0382,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP038,U1-H1966P6CI374,1966,6,38,source_jpeg,50243,1,psm3:ok:148,3,148,681,88.49,95.66,0.0541,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP039,U1-H1966P6CI374,1966,6,39,source_jpeg,59100,1,psm3:ok:211,3,211,952,92.77,95.64,0.0142,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP040,U1-H1966P6CI374,1966,6,40,source_jpeg,46459,1,psm3:ok:123,3,123,549,89.81,94.87,0.0569,text_detected,ok,
