inventory_version,catalog_generation,viewer_count,declared_positions,standard_architecture_count
LTMD_U1_W6_DECLARED_INVENTORY_0.1,1960,4,332,4
LTMD_U1_W6_DECLARED_INVENTORY_0.1,1966,7,805,7
LTMD_U1_W6_DECLARED_INVENTORY_0.1,1993,6,810,5
LTMD_U1_W6_DECLARED_INVENTORY_0.1,2008,5,757,5
LTMD_U1_W6_DECLARED_INVENTORY_0.1,2011,5,858,5
LTMD_U1_W6_DECLARED_INVENTORY_0.1,2014,5,866,5
LTMD_U1_W6_DECLARED_INVENTORY_0.1,2018,5,866,5
LTMD_U1_W6_DECLARED_INVENTORY_0.1,2019,5,866,5
LTMD_U1_W6_DECLARED_INVENTORY_0.1,ALL,42,6160,41
