recovery_version,source_viewer_key,source_book_id,source_generation,source_grade_code,source_target_page,recovery_viewer_key,recovery_generation,fixed_offset,mapped_target_page,recovered_asset_url,recovered_sha256,recovered_byte_size,anchor_hash_matches,anchor_hash_mismatches,interpretive_limit
LTMD_U1_W2_MATH_INTERNAL_RECOVERY_0.1,H2008P4MA276,U1-H2008P4MA276,2008,4,86,H1993P4MA199,1993,0,86,https://historico.conaliteg.gob.mx/c/H1993P4MA199/086.jpg,2c4254ae5c89186b290d2f444723e5f839a6a4aa384030d9a66394349e6d69e1,53391,6,0,Technical asset recovery only; not full bibliographic identity.
LTMD_U1_W2_MATH_INTERNAL_RECOVERY_0.1,H2008P4MA276,U1-H2008P4MA276,2008,4,163,H1993P4MA199,1993,0,163,https://historico.conaliteg.gob.mx/c/H1993P4MA199/163.jpg,697e45b490e718c8e0dcccb2d00a2094c415155fd50c0be5e3123a554582ba15,50185,6,0,Technical asset recovery only; not full bibliographic identity.
