segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,other_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W11_0.1,H2011P2ED303,796,71,81,0,11,71,106,0,0,76,451
FRAGSEG_LTMD_U1_W11_0.1,H2011P3ED310,959,98,43,0,11,108,137,0,0,105,555
FRAGSEG_LTMD_U1_W11_0.1,H2011P4CI316,577,52,5,0,1,84,48,0,2,45,392
FRAGSEG_LTMD_U1_W11_0.1,H2011P4ED318,1186,97,81,0,23,152,152,0,0,133,645
FRAGSEG_LTMD_U1_W11_0.1,H2011P5ED328,1061,86,49,0,13,139,200,0,1,97,562
FRAGSEG_LTMD_U1_W11_0.1,H2011P6ED338,1056,96,92,1,15,106,150,0,2,136,554
FRAGSEG_LTMD_U1_W11_0.1,H2014P1CAM,46,8,0,0,5,0,0,0,0,0,41
FRAGSEG_LTMD_U1_W11_0.1,H2014P3AGS,2622,138,106,8,4,388,336,0,4,286,1490
FRAGSEG_LTMD_U1_W11_0.1,H2014P3BCN,2080,138,83,10,5,343,222,0,10,201,1206
FRAGSEG_LTMD_U1_W11_0.1,H2014P3BCS,2293,140,130,15,9,391,260,0,7,190,1291
FRAGSEG_LTMD_U1_W11_0.1,H2014P3CAM,2439,146,72,5,10,488,338,0,6,131,1389
FRAGSEG_LTMD_U1_W11_0.1,H2014P3CDM,2573,144,84,8,2,583,337,0,18,233,1308
FRAGSEG_LTMD_U1_W11_0.1,H2014P3CHH,1895,144,74,13,3,285,287,0,5,245,983
FRAGSEG_LTMD_U1_W11_0.1,H2014P3CHP,2028,138,37,15,2,322,278,0,8,148,1218
FRAGSEG_LTMD_U1_W11_0.1,H2014P3COA,2300,142,75,5,5,453,313,0,7,160,1282
FRAGSEG_LTMD_U1_W11_0.1,H2014P3DUR,1971,147,215,15,4,404,249,0,10,81,993
FRAGSEG_LTMD_U1_W11_0.1,H2014P3GRO,2235,149,91,11,3,381,265,0,7,193,1284
FRAGSEG_LTMD_U1_W11_0.1,H2014P3GTO,2760,142,60,15,6,482,365,0,17,131,1684
FRAGSEG_LTMD_U1_W11_0.1,H2014P3HID,2175,145,72,12,2,389,297,0,19,116,1268
FRAGSEG_LTMD_U1_W11_0.1,H2014P3JAL,2119,138,174,12,5,296,323,0,11,65,1233
FRAGSEG_LTMD_U1_W11_0.1,H2014P3MEX,3985,144,103,13,6,593,508,0,17,303,2442
FRAGSEG_LTMD_U1_W11_0.1,H2014P3MIC,2853,144,120,27,12,314,383,0,6,208,1783
FRAGSEG_LTMD_U1_W11_0.1,H2014P3NAY,1790,137,44,4,5,324,193,0,3,56,1161
FRAGSEG_LTMD_U1_W11_0.1,H2014P3NLE,1762,145,55,13,2,296,240,0,4,151,1001
FRAGSEG_LTMD_U1_W11_0.1,H2014P3OAX,2115,144,84,15,9,413,240,0,9,148,1197
FRAGSEG_LTMD_U1_W11_0.1,H2014P3PUE,2274,124,95,18,6,404,276,0,5,183,1287
FRAGSEG_LTMD_U1_W11_0.1,H2014P3QRO,2443,139,122,4,10,489,332,0,7,165,1314
FRAGSEG_LTMD_U1_W11_0.1,H2014P3QUE,2343,141,109,16,3,432,272,1,6,226,1278
FRAGSEG_LTMD_U1_W11_0.1,H2014P3SIN,2113,136,73,9,3,375,237,0,5,143,1268
FRAGSEG_LTMD_U1_W11_0.1,H2014P3SLP,2716,143,86,17,6,442,300,0,5,100,1760
FRAGSEG_LTMD_U1_W11_0.1,H2014P3SON,2269,128,157,18,8,388,342,0,10,144,1202
FRAGSEG_LTMD_U1_W11_0.1,H2014P3TAB,2142,133,116,13,19,386,280,0,10,150,1168
FRAGSEG_LTMD_U1_W11_0.1,H2014P3TAM,2546,134,105,24,6,480,295,0,27,160,1449
FRAGSEG_LTMD_U1_W11_0.1,H2014P3TLA,1973,109,101,16,2,339,252,0,5,141,1117
FRAGSEG_LTMD_U1_W11_0.1,H2014P3VER,3593,145,120,30,6,425,441,0,9,298,2264
FRAGSEG_LTMD_U1_W11_0.1,H2014P3YUC,3088,142,116,29,6,367,346,0,7,321,1896
FRAGSEG_LTMD_U1_W11_0.1,H2014P3ZAC,2484,145,107,16,11,473,324,0,8,114,1431
