analysis_version,target_viewer,candidate_viewer,viewer_page,target_sha256,candidate_sha256,target_byte_size,candidate_byte_size
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,22,86524c4766aef170326ab4d638f7df20e3f2f756ec7b39bb1ffa152db188ce0d,3fd53d30fe172535b545ab99d94efb7ac286fd4af273ffba99bd9ca77bd3b8e1,311422,271739
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,23,e834238c7bf1f4bb6e64c56ff9b6263493613b017ac91a62aeb37fe8c7cc64eb,64ddeedbbc0cca0ba62f761b5d62bc21a8dd68f965c006b60791993350aa9a1a,550472,258236
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,24,7bb12c6c739245dc743e2626d150ed82f8773377b3024dbc2c033c777193e021,3d93bc9b183ead614174bf678243c8e40b977805dff97d1defe6055270311543,404113,245042
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,25,6b5ffbabee0930ec122fa32e3929b3f62e31b5ac0ee98b45037418ffbd63d37e,acdfb2ea0ef225fd4117e9590acc1caf9b5b03c9107da31cd18f8a6868974b12,176783,258224
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,26,2ec4247a954d9c88aad167437be88b341a424a4afedd19c9ba44f99ca80491aa,3ca5b174b611a0db96f931d17f1a4f8b98e236957a02953936a310bda8ff7ce4,425468,276254
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,27,525a7c8290655a8b782e4445656d94ab305d54d392768e3f483b245abf7c24ef,96a0221827711f2c321647b2406a5df1a161e22b7729a9342a5414323cec6b4c,383345,237811
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,28,807907f28cd89db4ba55bacffd31d5a7e09323bf799d41faa4132cdcb9262654,3f72ae6455f79317a414a942bb1751f4c3eef9d3e12a0573bc3fe0386c2e241f,555905,211588
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,29,8d755ab95fa867ebbf08320ba9ca428897e52a72af771fd60c5c556b96e10099,3c98c985bd42450f0b965f0ff8ee72ecb196e01763ba9d65646f16aee04a7984,357339,202173
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,30,9090302161f6b6399c6e6d2f84351a21feb2dad34be7d2763f253d6b88f89928,f48e71e580dbcc52eaa8e1c350b8a6482f74e4852737542d54b35d9652cd41ba,397858,206786
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,31,37db17ccef19db08e8fc67da0a555adbc15c05951b87e18cc29b0576c64a54b6,ea16d7d1c2a3caee0b81d8c2c72ee23fc865fccc9fdc94827bade4acb046c6ec,373075,270857
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,32,183902ea8e0038b5733a0f4b7c268156722a2294f57ab7c1fc4fcb8c09c8c9c3,6e6635ba2d0f5212934e675ee89f1d0a85a6a68d309b8d49af80b3e1bd5efa7c,430351,245542
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,33,08e1ba248fef142a5a8863532959ad7e1aacaf6c820579d5417f149bc1e91720,cbab0525f2e6220ea81b58f37c66f9be1e034fa711fd46efd9f99d55110cbfeb,432552,252339
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,34,9ffb08f801597788430a557a8dd0a2fc3eb31c05321024c70d7c5fee996424dd,1d53b90157fb8ef4f6c8caf4bbffb33de1dcce4f67c13bdc5a874c9c57e49bed,516663,249719
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,35,df60af6986d8cdf39dd35409e201f4e5188d85deb5ac24ff97775fbf99326f63,4ce0a5e35b6d6a9522575f0850df5d0162486e9f034290e38812d746625d8b68,547263,267115
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,36,d2c75ffa9b100e0fd8fb2ab461fd3b0fbf8f7d144c197569fa395603f933259f,70a89a461e65b211ef9617bf0c7a983c7e3e1cf3456cd9e389223135e289c254,466744,260298
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,37,aed4597260ff335a3551c4b0117a80a30dd602d5ef0ef303fd2755239ebec20e,4d08496b2847bd12403d703c40458bf912b1fff16b0edabbad4d049ab2457dd5,568117,198828
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,38,8b4704040a5cb98e57dab385785fe890751e2c85e5b3a2554780146b3165d931,9c3e7e50c26b489d093b2797bf7f3c3f30fc36e894fa68a9e0b79324d9d50b87,535236,245506
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,39,e72a474c3959ce09710fd6553d9b62098e7d2fce2c14d9222d73cfde49ed5ea8,4b29468dec2f64355baa5312dcbf3621f389df361f67cf1458b7a89de2d4a2d2,406786,267541
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,40,cf94a0ba0819854579929d8d02b4870f232d9ceca6621458dc41cc22ae21ba03,cc572d03e87716bdb6e612c32f7eff691dc9c361f6deeb540582244dca9397f5,218602,343899
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,41,ab05ee7abe79809c1c9df4585a245de8caa572f8bec0538ebeb1f2e619d06b68,96b5d283da9f28439fb7789b1c46a2969a6304db100e3272c3915140b7c39065,210772,360677
