observation_version,observation_id,viewer_key,field,normalized_value,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,support_class,psm_support_count,psm_modes,isbn13_checksum_valid,extraction_source_version
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P2CI258:edition_history_statement:second_edition:2009,H2008P2CI258,edition_history_statement,second_edition:2009,4,4,42d0eefd8eedfc9e6383d90a35f9352be9caa2e6cae9a0bf0c437dfd51a8ffec,55789,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P2CI258:isbn_statement:978-607-469-110-8,H2008P2CI258,isbn_statement,978-607-469-110-8,4,4,42d0eefd8eedfc9e6383d90a35f9352be9caa2e6cae9a0bf0c437dfd51a8ffec,55789,strong_multipsm,5,3;4;6;11;12,1,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P3CI264:edition_history_statement:first_edition:2008,H2008P3CI264,edition_history_statement,first_edition:2008,2,2,ec23f8f9b238392d1ce6ffd43025af0ea95009cb92f3ed10d3e6417e78c2b357,85247,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P3CI264:edition_history_statement:second_edition:2009,H2008P3CI264,edition_history_statement,second_edition:2009,2,2,ec23f8f9b238392d1ce6ffd43025af0ea95009cb92f3ed10d3e6417e78c2b357,85247,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P4CI269:edition_history_statement:first_edition:2008,H2008P4CI269,edition_history_statement,first_edition:2008,2,2,4ebee1ca74cf5d45aa3bafc1434613e5f90b70d92e3c322c48825b1f0d32d559,84496,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P4CI269:edition_history_statement:second_edition:2009,H2008P4CI269,edition_history_statement,second_edition:2009,2,2,4ebee1ca74cf5d45aa3bafc1434613e5f90b70d92e3c322c48825b1f0d32d559,84496,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P4CI269:isbn_statement:978-607-469-112-2,H2008P4CI269,isbn_statement,978-607-469-112-2,2,2,4ebee1ca74cf5d45aa3bafc1434613e5f90b70d92e3c322c48825b1f0d32d559,84496,strong_multipsm,5,3;4;6;11;12,1,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P5CI278:school_cycle_statement:2008-2009,H2008P5CI278,school_cycle_statement,2008-2009,2,2,bd58bb2d1c5220bfcd3cfcfeda139d26a4b4478b81ca68647c3da440758131e0,230486,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P6CI286:edition_history_statement:first_edition:2008,H2008P6CI286,edition_history_statement,first_edition:2008,2,2,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d,198257,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P6CI286:isbn_statement:978-968-011-738-3,H2008P6CI286,isbn_statement,978-968-011-738-3,2,2,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d,198257,strong_multipsm,5,3;4;6;11;12,1,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
